waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
1.0,634.0,1.0,46.0,0.0,0.0,0.0,0.0,-6.093057524216938
1.0,685.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40911878061086
1.0,838.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40785163989836
1.0,848.0,1.0,46.0,0.0,0.0,0.0,0.0,-6.094494210559667
1.0,907.0,2.0,121.0,0.0,0.0,0.0,0.0,-77.02312724493393
1.0,927.0,0.0,0.0,0.0,0.0,0.0,0.0,37.34050428113514
1.0,973.0,1.0,61.0,0.0,0.0,0.0,0.0,-20.298230870790483
1.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,37.328441714140546
1.0,1175.0,0.0,0.0,1.0,8.0,0.0,0.0,33.2730894376042
1.0,1423.0,1.0,60.0,0.0,0.0,0.0,0.0,-19.558262007315662
1.0,695.0,1.0,50.0,0.0,0.0,0.0,0.0,-9.875974799019751
1.0,826.0,2.0,83.0,0.0,0.0,0.0,0.0,-41.08696101215215
1.0,826.0,0.0,0.0,0.0,0.0,0.0,0.0,37.376206217126835
1.0,1006.0,3.0,170.0,0.0,0.0,0.0,0.0,-123.36241152836001
1.0,1358.0,1.0,43.0,0.0,0.0,0.0,0.0,-3.423535140116698
1.0,1507.0,5.0,210.0,0.0,0.0,0.0,0.0,-161.39394595215458
1.0,1572.0,5.0,983.0,0.0,0.0,0.0,0.0,-892.4598241790728
1.0,1578.0,3.0,884.0,0.0,0.0,0.0,0.0,-798.8343235956377
1.0,1596.0,3.0,143.0,0.0,0.0,0.0,0.0,-98.05358286720161
1.0,2464.0,1.0,24.0,0.0,0.0,0.0,0.0,14.201048848223781
1.0,617.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41031729638102
1.0,681.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40895251586273
1.0,813.0,2.0,78.0,0.0,0.0,0.0,0.0,-36.357002411286075
1.0,961.0,2.0,215.0,0.0,0.0,0.0,0.0,-165.97477805190303
1.0,1030.0,2.0,102.0,0.0,0.0,0.0,0.0,-59.16572780756542
1.0,1359.0,4.0,246.0,0.0,0.0,0.0,0.0,-195.40617181811143
1.0,1417.0,2.0,135.0,0.0,0.0,0.0,0.0,-90.4851976079402
1.0,1565.0,1.0,57.0,0.0,0.0,0.0,0.0,-16.724355466183297
1.0,1910.0,6.0,404.0,0.0,0.0,0.0,0.0,-345.02544410293217
1.0,2234.0,1.0,57.0,0.0,0.0,0.0,0.0,-16.89445122887762
1.0,657.0,3.0,129.0,0.0,0.0,0.0,0.0,-84.58526433648937
1.0,695.0,2.0,115.0,0.0,0.0,0.0,0.0,-71.34720943926754
1.0,719.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4084486919938
1.0,752.0,1.0,53.0,0.0,0.0,0.0,0.0,-12.745876270550283
1.0,798.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40704669927357
1.0,835.0,2.0,107.0,0.0,0.0,0.0,0.0,-63.78566037664111
1.0,846.0,1.0,53.0,0.0,0.0,0.0,0.0,-12.737911768114223
1.0,859.0,1.0,60.0,0.0,0.0,0.0,0.0,-19.361117496578522
1.0,929.0,3.0,172.0,0.0,0.0,0.0,0.0,-125.30533046870676
1.0,1157.0,3.0,139.0,0.0,0.0,0.0,0.0,-94.14196932160846
1.0,642.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40951430224339
1.0,652.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40935127518578
1.0,764.0,1.0,57.0,0.0,0.0,0.0,0.0,-16.49717109032902
1.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40694272505448
1.0,882.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40675425401059
1.0,952.0,3.0,162.0,0.0,0.0,0.0,0.0,-115.85129787890531
1.0,980.0,1.0,59.0,0.0,0.0,0.0,0.0,-18.44381533305085
1.0,1035.0,0.0,0.0,1.0,5.0,0.0,0.0,34.87166228260413
1.0,1276.0,1.0,46.0,1.0,33.0,0.0,0.0,-22.72601196979093
1.0,1337.0,0.0,0.0,1.0,33.0,0.0,0.0,20.727654711749324
1.0,699.0,5.0,321.0,0.0,0.0,0.0,0.0,-266.1709127088254
1.0,745.0,1.0,35.0,0.0,0.0,0.0,0.0,4.308572534955097
1.0,748.0,1.0,59.0,0.0,0.0,0.0,0.0,-18.39093959850228
1.0,806.0,0.0,0.0,0.0,0.0,0.0,0.0,37.408514837253215
1.0,845.0,2.0,589.0,0.0,0.0,0.0,0.0,-519.6108425707984
1.0,889.0,2.0,181.0,0.0,0.0,0.0,0.0,-133.76449772354093
1.0,956.0,2.0,104.0,0.0,0.0,0.0,0.0,-60.94787593002648
1.0,997.0,1.0,477.0,0.0,0.0,0.0,0.0,-413.7179846306358
1.0,1028.0,1.0,477.0,0.0,0.0,0.0,0.0,-413.73663463613514
1.0,1208.0,3.0,685.0,0.0,0.0,0.0,0.0,-610.4540834350042
