rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100
1,5120,0,5120,0,0,50,10,23.54959890001919,217.41346940715104,
2,10240,0,10240,0,0,100,20,36.541653499996755,280.2281511426654,
3,15360,0,15360,2,20,150,30,49.816625399980694,308.3308007452057,-303.959802572717
4,20418,62,20480,2,21,200,40,62.55478289996972,326.4019001176948,-305.2538774206137
5,25362,238,25600,4,40,250,50,75.4221771999728,336.26714239176255,-466.28573695490365
6,30482,238,30720,4,40,300,60,88.58468530001119,344.10011049614405,-466.28573695490365
7,35602,238,35840,4,40,350,70,101.95898150000721,349.17963553801764,-466.28573695490365
8,40722,238,40960,6,60,400,80,115.02673390001291,354.02204878213473,-478.7007663784864
9,45674,406,46080,6,61,450,90,127.79878790001385,357.3899310823984,-474.21382195036114
10,50698,502,51200,8,80,500,100,140.7844144999981,360.1108842911066,-466.75735636154275
11,55818,502,56320,8,80,550,110,153.73985860001994,363.06785051246794,-466.75735636154275
12,60938,502,61440,10,100,600,120,167.01644009997835,364.8622851949285,-458.6758281229049
13,66058,502,66560,10,100,650,130,181.18654670001706,364.58556776497016,-458.6758281229049
14,70931,749,71680,10,101,700,140,196.8081194999977,360.4068784367447,-453.80459585552194
15,76035,765,76800,12,120,750,150,213.49982829997316,356.1361177919484,-465.7302429268817
16,81155,765,81920,12,120,800,160,234.550936500018,346.00160293964024,-465.7302429268817
17,86275,765,87040,14,140,850,170,251.52196809998713,343.0117880029598,-409.08224919996763
18,91196,964,92160,14,141,900,180,263.51754019997315,346.07183996478915,-405.06663481657347
19,96124,1156,97280,16,160,950,190,275.75500130001456,348.5847928299929,-371.0309057109222
20,101244,1156,102400,16,160,1000,200,289.10386729997117,350.1993970040888,-371.0309057109222
21,106364,1156,107520,16,160,1050,210,303.3657684000209,350.61305881996367,-371.0309057109222
22,111484,1156,112640,18,180,1100,220,318.320826900017,350.2252777039203,-359.6997546651239
23,116604,1156,117760,18,180,1150,230,332.6646639999817,350.5151361672919,-359.6997546651239
24,121724,1156,122880,20,200,1200,240,347.200173499994,350.5873824109771,-340.92946837944305
25,126233,1767,128000,20,203,1250,250,361.4800207000226,349.2115546401265,-337.181079589307
26,130753,2367,133120,22,220,1300,260,375.71335799997905,348.0126463856185,-333.8100421025772
27,135873,2367,138240,22,220,1350,270,393.32340569997905,345.4485495420575,-333.8100421025772
28,140993,2367,143360,22,220,1400,280,406.9939461000031,346.4253003049741,-333.8100421025772
29,146039,2441,148480,24,241,1450,290,420.1044937999686,347.62541737898187,-331.6716354740399
30,150903,2697,153600,24,241,1500,300,432.9964021000196,348.5086695134762,-331.6716354740399
31,155903,2817,158720,26,260,1550,310,446.28949469997315,349.3315479110904,-417.13775443409196
32,160578,3262,163840,26,262,1600,320,459.43340370000806,349.5131148645237,-410.6262186404048
33,165282,3678,168960,28,280,1650,330,473.5222551000188,349.0480082400533,-413.7710107188408
34,170402,3678,174080,28,280,1700,340,489.4757693000138,348.13163528745736,-413.7710107188408
35,175522,3678,179200,28,280,1750,350,506.26810350001324,346.6977255461155,-413.7710107188408
36,180642,3678,184320,30,300,1800,360,522.4493178999983,345.75985423063867,-462.285640124955
37,185762,3678,189440,30,300,1850,370,538.8151072000037,344.7601923511894,-462.285640124955
38,190882,3678,194560,32,320,1900,380,555.6519421999692,343.52799927999706,-474.50369598780094
39,196002,3678,199680,32,320,1950,390,568.3661066999775,344.85166812289043,-474.50369598780094
40,201122,3678,204800,34,340,2000,400,581.8462470999802,345.6617637433015,-551.9713271280511
41,206242,3678,209920,34,340,2050,410,601.5823517999961,342.8325305469863,-551.9713271280511
42,211362,3678,215040,34,340,2100,420,618.1625408999971,341.91978001816994,-551.9713271280511
43,216482,3678,220160,36,360,2150,430,632.718675000011,342.1457411542282,-476.9385099198817
44,221602,3678,225280,36,360,2200,440,649.0848739999929,341.4068157749158,-476.9385099198817
45,226603,3797,230400,38,380,2250,450,670.2833834000048,338.0704424605588,-478.44086391625655
46,231723,3797,235520,38,380,2300,460,687.5488976999768,337.02766563246837,-478.44086391625655
47,236843,3797,240640,40,400,2350,470,702.0335484999814,337.3670681494593,-442.21599549205894
48,241963,3797,245760,40,400,2400,480,719.4725298999692,336.30609918302366,-442.21599549205894
49,247083,3797,250880,40,400,2450,490,736.0591635999735,335.68361378934253,-442.21599549205894
50,252203,3797,256000,42,420,2500,500,751.8483911000076,335.44395783172337,-495.31760962186405
51,257323,3797,261120,42,420,2550,510,770.7288963000174,333.8696670584326,-495.31760962186405
52,262443,3797,266240,44,440,2600,520,792.7016745000146,331.0741082583586,-414.97677418368664
53,267138,4222,271360,44,442,2650,530,811.2165270000114,329.3054210666941,-408.9262101496926
54,271794,4686,276480,46,460,2700,540,824.3765939999721,329.6964057181968,-417.27378737197125
55,276914,4686,281600,46,460,2750,550,839.227052000002,329.96314804208595,-417.27378737197125
56,282034,4686,286720,46,460,2800,560,853.9983158999821,330.25123674018,-417.27378737197125
57,287154,4686,291840,48,480,2850,570,869.7800188999972,330.1455468742097,-468.5212544188674
58,292274,4686,296960,48,480,2900,580,883.9649471999728,330.6398075238169,-468.5212544188674
59,297394,4686,302080,50,500,2950,590,899.1996989999898,330.7318722756861,-482.48601788511195
60,302514,4686,307200,50,500,3000,600,922.9761245999835,327.75929077375554,-482.48601788511195
61,307634,4686,312320,52,520,3050,610,944.3726014000131,325.7548975308463,-458.5406175666475
62,312754,4686,317440,52,520,3100,620,963.9282638999866,324.4577544957745,-458.5406175666475
63,317874,4686,322560,52,520,3150,630,984.5128942999872,322.87438980270156,-458.5406175666475
64,322994,4686,327680,54,540,3200,640,1004.7645756999846,321.4623682119578,-506.6557510915799
65,328114,4686,332800,54,540,3250,650,1024.3166621999699,320.3247707552615,-506.6557510915799
66,333234,4686,337920,56,560,3300,660,1044.5734289999818,319.0144328283558,-512.3095989755805
67,338354,4686,343040,56,560,3350,670,1064.843921499967,317.74985344648974,-512.3095989755805
68,343474,4686,348160,58,580,3400,680,1086.1316326999804,316.2360708951721,-498.0125503373921
69,348495,4785,353280,58,582,3450,690,1105.0303188000107,315.3714373904621,-482.9556218295482
70,353103,5297,358400,58,582,3500,700,1123.573049700004,314.26795088604086,-482.9556218295482
71,358063,5457,363520,60,600,3550,710,1141.3684994999785,313.7137569127443,-505.6966895775549
72,363183,5457,368640,60,600,3600,720,1160.028348599968,313.0811418861648,-505.6966895775549
73,368303,5457,373760,62,620,3650,730,1179.910530299996,312.1448538190076,-480.8131667178729
74,373423,5457,378880,62,620,3700,740,1199.9775720000034,311.1916495052617,-480.8131667178729
75,378543,5457,384000,64,640,3750,750,1221.5655242999783,309.8834998776878,-444.49788466331404
76,383549,5571,389120,64,641,3800,760,1243.0036206999794,308.566277372555,-440.72977429413555
