rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100
1,5120,0,5120,0,0,50,10,23.721444300026633,215.83845971782804,
2,10240,0,10240,0,0,100,20,36.91961799998535,277.35931612304506,
3,15360,0,15360,2,20,150,30,50.44142779998947,304.51160226680196,-303.959802572717
4,20418,62,20480,2,21,200,40,64.02838929998688,318.88979596749255,-305.2538774206137
5,25362,238,25600,4,40,250,50,77.53354400000535,327.1100312401333,-466.28573695490365
6,30482,238,30720,4,40,300,60,90.7838836000301,335.7644417845757,-466.28573695490365
7,35602,238,35840,4,40,350,70,103.63089029997354,343.54621384555537,-466.28573695490365
8,40722,238,40960,6,60,400,80,116.70662210002774,348.92621573005255,-478.7007663784864
9,45674,406,46080,6,61,450,90,129.351891600003,353.0988177678798,-474.21382195036114
10,50698,502,51200,8,80,500,100,142.44324819999747,355.91718555039876,-466.75735636154275
11,55818,502,56320,8,80,550,110,155.61167620000197,358.70058958981446,-466.75735636154275
12,60938,502,61440,10,100,600,120,171.87280980002834,354.55288169723025,-458.6758281229049
13,66058,502,66560,10,100,650,130,186.25621010002214,354.66200007251274,-458.6758281229049
14,70931,749,71680,10,101,700,140,201.7832073000027,351.520827471747,-453.80459585552194
15,76035,765,76800,12,120,750,150,218.51518909999868,347.96208132334567,-465.7302429268817
16,81155,765,81920,12,120,800,160,234.69534440001007,345.7887083677341,-465.7302429268817
17,86275,765,87040,14,140,850,170,249.15731679997407,346.2671741214103,-409.08224919996763
18,91196,964,92160,14,141,900,180,263.41228799999226,346.21012061518815,-405.06663481657347
19,96124,1156,97280,16,160,950,190,280.03618739999365,343.2556373962481,-371.0309057109222
20,101244,1156,102400,16,160,1000,200,292.885130700015,345.6781836552101,-371.0309057109222
