rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction,rollout_live_samples,rollout_return_variance_live,rollout_value_mse_live,rollout_value_explained_variance_live,rollout_action_box_clip_fraction_live
1,2021,539,2560,0,8,1,1,42.68634550000206,47.34535075156299,0.09207608284137081,9.20760828413708,1.0,0.033716943114995956,0.06803383678197861,0.036773283034563065,0.2958984375,2021,0.08634312647624029,0.0733299988170385,0.15208723808109803,0.0
2,2462,2658,5120,0,9,11,11,53.50774889999957,46.01202724116132,0.1229858636363904,12.298586363639041,1.0,-0.006859125087268048,0.030504925549030303,0.012966346926987171,0.19886621460318565,441,0.08889566557941271,0.056407010178709055,0.4071810655239031,0.0
3,4191,3489,7680,1,12,42,19,75.38208400000076,55.59676487585509,-0.28254529966811254,-28.25452996681125,0.9166666666666666,0.0007152246034820564,0.03716415324015543,0.03140447288751602,0.19131706841289997,1729,0.11479089676383075,0.08454132123195397,0.3300317416179871,0.0
4,4895,5345,10240,1,19,62,29,86.26608390000183,56.7430417459798,-0.47747105233118314,-47.74710523311831,0.9473684210526315,-0.013098801003070547,0.0235993969719857,0.02126476727426052,0.19085286520421504,704,0.06841717859250239,0.053247958320779554,0.24685511088002776,0.0
5,6869,5931,12800,2,26,102,39,106.10226490000059,64.73942857368695,-0.5983029401140357,-59.83029401140357,0.9615384615384616,-0.008190863416530192,0.0310406660893932,0.01766934245824814,0.19435422103852035,1974,0.1320987243546266,0.0698471911470995,0.5526967665746693,0.0
6,8799,6561,15360,3,36,142,49,128.6834674999991,68.37708192779357,-0.7763247850014169,-77.63247850014169,0.9722222222222222,-0.014626166271045803,0.01609544325619936,0.014084352180361748,0.16625926978886127,1930,0.12887997476897714,0.03519770395030022,0.735556923420333,0.0
7,10560,7360,17920,4,49,182,59,150.57867540000007,70.12945207512428,-0.6093943502043818,-60.93943502043818,0.9795918367346939,-0.013131772537599317,0.012238279858138412,0.014544280245900154,0.17967838551849127,1761,0.10263964271349776,0.022594428741491677,0.7897197572931827,0.0
8,12575,7905,20480,6,60,222,69,176.3294105999994,71.31538611290546,-0.5058090551908053,-50.58090551908055,0.9833333333333333,-0.008290652061987203,0.016131618642248213,0.015821579843759537,0.19030991066247224,2015,0.0726352933624298,0.02657485363657692,0.64539376659831,0.0
9,14427,8613,23040,6,69,262,79,197.9603433000011,72.8782328798877,-0.4204184296636135,-42.04184296636136,0.9855072463768116,-0.011548702359141317,0.011069512914400548,0.014809629879891872,0.18788444455713033,1852,0.09414237280592226,0.020290495287452644,0.8035849673674136,0.0
10,15808,9792,25600,7,71,292,89,216.2482396000014,73.10117312048583,-0.39807935936705857,-39.80793593670587,0.9859154929577465,-0.012398993608076125,0.017870335405071578,0.027414312586188316,0.22862066899736722,1381,0.07914396137669573,0.025895664938519795,0.6870602885656574,0.0
