waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
1.0,675.0,0.0,0.0,0.0,0.0,0.0,0.0,37.39828246780816
1.0,726.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3969206075023
1.0,734.0,0.0,0.0,0.0,0.0,0.0,0.0,37.354254672587466
1.0,932.0,3.0,223.0,0.0,0.0,0.0,0.0,-173.57229161571195
1.0,1039.0,2.0,141.0,0.0,0.0,0.0,0.0,-96.0321832100569
1.0,1144.0,0.0,0.0,0.0,0.0,0.0,0.0,37.346398967551885
1.0,1151.0,1.0,59.0,0.0,0.0,0.0,0.0,-18.49949129947715
1.0,1154.0,2.0,99.0,0.0,0.0,0.0,0.0,-56.354062883815516
1.0,1822.0,0.0,0.0,0.0,0.0,0.0,0.0,37.1187841859875
0.0,3000.0,0.0,0.0,3.0,269.0,0.0,0.0,-135.3323447780354
1.0,755.0,2.0,389.0,0.0,0.0,0.0,0.0,-330.5009037759474
1.0,820.0,1.0,66.0,0.0,0.0,0.0,0.0,-25.034096635795812
1.0,885.0,3.0,146.0,0.0,0.0,0.0,0.0,-100.72587929980608
1.0,894.0,1.0,57.0,0.0,0.0,0.0,0.0,-16.510619663647986
1.0,1061.0,0.0,0.0,0.0,0.0,0.0,0.0,37.38482019572683
1.0,1284.0,2.0,167.0,0.0,0.0,0.0,0.0,-120.63243464263722
1.0,1448.0,2.0,442.0,0.0,0.0,0.0,0.0,-380.7487283055078
1.0,1448.0,2.0,165.0,0.0,0.0,0.0,0.0,-118.80447178217932
1.0,1506.0,2.0,129.0,0.0,0.0,0.0,0.0,-84.76752145425857
1.0,1897.0,3.0,193.0,0.0,0.0,0.0,0.0,-145.42560781801114
1.0,670.0,1.0,45.0,0.0,0.0,0.0,0.0,-5.157649594781596
1.0,734.0,0.0,0.0,0.0,0.0,0.0,0.0,37.39354957501084
1.0,755.0,3.0,199.0,0.0,0.0,0.0,0.0,-150.7944430548678
1.0,817.0,3.0,192.0,0.0,0.0,0.0,0.0,-144.1818385619396
1.0,1093.0,2.0,58.0,0.0,0.0,0.0,0.0,-17.475452612757863
1.0,1247.0,5.0,283.0,0.0,0.0,0.0,0.0,-230.41018340907323
1.0,1252.0,1.0,13.0,0.0,0.0,0.0,0.0,25.036902686820163
1.0,1284.0,4.0,219.0,0.0,0.0,0.0,0.0,-169.8918067457881
1.0,1309.0,2.0,114.0,0.0,0.0,0.0,0.0,-70.56559984881655
1.0,1509.0,3.0,247.0,0.0,0.0,0.0,0.0,-196.41961785047306
1.0,719.0,2.0,119.0,0.0,0.0,0.0,0.0,-75.17943811129437
1.0,789.0,2.0,125.0,0.0,0.0,0.0,0.0,-80.81709429570034
1.0,794.0,1.0,64.0,0.0,0.0,0.0,0.0,-23.129217021479278
1.0,943.0,1.0,65.0,0.0,0.0,0.0,0.0,-24.108016762830573
1.0,945.0,2.0,122.0,0.0,0.0,0.0,0.0,-78.0013820033804
1.0,1097.0,1.0,65.0,0.0,0.0,0.0,0.0,-24.08351830741318
1.0,1112.0,3.0,154.0,0.0,0.0,0.0,0.0,-108.25418898446654
1.0,1132.0,1.0,61.0,0.0,0.0,0.0,0.0,-20.31043432725933
1.0,1227.0,2.0,122.0,0.0,0.0,0.0,0.0,-78.09011227257827
1.0,1278.0,1.0,35.0,0.0,0.0,0.0,0.0,4.1328512815758245
1.0,643.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3993051381813
1.0,718.0,0.0,0.0,0.0,0.0,0.0,0.0,37.38359753569477
1.0,784.0,1.0,25.0,0.0,0.0,0.0,0.0,13.744113700721712
1.0,864.0,1.0,67.0,0.0,0.0,0.0,0.0,-25.972709004109568
1.0,908.0,1.0,25.0,0.0,0.0,0.0,0.0,13.748385837477024
