time/time_elapsed,time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/learning_rate,train/clip_range,train/entropy_loss,train/loss,train/std
32,1,158,5120,0.3440890519995934,181.92857142857142,,,,,,,,,,,
13,1,377,10240,0.3391212449504473,217.38888888888889,0.7422001361846924,-0.00758921435335651,0.02060115181375295,0.011619186,0.16782064829021692,10,0.0003,0.2,3.1525769948959352,0.02150293067097664,0.05005188286304474
39,1,128,15360,0.3031738536946935,246.72727272727272,0.9741233587265015,-0.009805620537385984,0.006508696498349309,0.009111788,0.17201405186206103,20,0.0003,0.2,3.1514609813690186,0.01913166232407093,0.05005909502506256
26,1,189,20480,0.29516288698747584,243.0,0.7994693517684937,-0.009366357752878685,0.013440635846927762,0.010924755,0.18319750316441058,30,0.0003,0.2,3.148848605155945,0.014249681495130062,0.05019887909293175
20,1,246,25600,0.19394197238481997,280.875,0.8659286499023438,-0.010674041765742003,0.0089044949815919,0.01078982,0.13826692712803682,40,0.0003,0.2,3.1402824481328326,0.029176859185099602,0.05050747096538544
39,1,129,30720,0.24057515263491003,254.87037037037038,0.936430811882019,-0.00908019427054872,0.005870089470408857,0.0151431365,0.1424921231965224,50,0.0003,0.2,3.1313732941945394,0.028329361230134964,0.050581738352775574
46,1,109,35840,0.2629291429886368,254.69230769230768,0.7141936421394348,-0.010534584903507494,0.007708828151226044,0.013497373,0.14463887135498227,60,0.0003,0.2,3.13034530878067,0.011493578553199768,0.050547219812870026
40,1,127,40960,0.22231267188473172,257.9047619047619,0.8196224570274353,-0.010761447933812935,0.005640364725453159,0.014353491,0.15677554793655873,70,0.0003,0.2,3.130778662363688,0.006174007896333933,0.050638288259506226
28,1,179,46080,0.23366492889075804,260.65934065934067,0.7998046875,-0.013912594027351588,0.004078699043020606,0.014386751,0.144155256357044,80,0.0003,0.2,3.1295545995235443,0.013141130097210407,0.05047762021422386
29,1,173,51200,0.2443680601034267,265.03,0.8691951632499695,-0.01181445445981808,0.0035019158327486365,0.014233343,0.16035889592021704,90,0.0003,0.2,3.135181838274002,0.015607105568051338,0.05045698583126068
34,1,146,56320,0.2369425940181479,278.19,0.8577887415885925,-0.011225375055801123,0.002683196953148581,0.010191973,0.15758171863853931,100,0.0003,0.2,3.1314907014369964,0.005371372681111097,0.05065525323152542
35,1,142,61440,0.2346900078181711,287.26,0.8205890655517578,-0.008117600724926888,0.0027885080256965012,0.011885238,0.14832091629505156,110,0.0003,0.2,3.1265084862709047,0.013593829236924648,0.050668515264987946
28,1,178,66560,0.26525538659340697,286.52,0.8390856981277466,-0.007974092022050173,0.002347232602187432,0.0192906,0.17182268537580966,120,0.0003,0.2,3.1301483273506165,-0.02260889858007431,0.050506457686424255
34,1,149,71680,0.28329510896892646,282.08,0.881433367729187,-0.010975866861796628,0.002510269071596364,0.011987441,0.172278610120217,130,0.0003,0.2,3.132788332303365,0.012400775216519833,0.050558749586343765
29,1,174,76800,0.2792963467583133,300.3,0.8317584991455078,-0.011362458792670319,0.002708084574745347,0.011880014,0.1371631567676862,140,0.0003,0.2,3.125449029604594,0.0015087564243003726,0.0508696511387825
