rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction,rollout_live_samples,rollout_return_variance_live,rollout_value_mse_live,rollout_value_explained_variance_live,rollout_action_box_clip_fraction_live
1,4504,616,5120,0,11,50,10,79.05323649999991,56.97426442496133,0.35900713729579115,35.90071372957912,1.0,-0.003676296700723469,0.01825706608593464,0.010577290318906307,0.1745247395336628,4504,0.11274897935653332,0.045801605254069615,0.5940250478158682,0.0
2,6790,3450,10240,1,16,80,20,104.48015779999696,64.98841639383701,0.3454768135401478,34.547681354014784,1.0,-0.011058949143625795,0.0066120174325381715,0.012705798260867596,0.13610846797625223,2286,0.03534302319831578,0.012670986985181444,0.6480040357625823,0.0
3,10179,5181,15360,2,32,120,30,144.06244909999805,70.65685793620274,0.33491026293557496,33.491026293557496,0.9375,-0.012650209649291356,0.006861750100506469,0.012381038628518581,0.1453446926549077,3389,0.0380658242533596,0.014176682773726789,0.6306660447473419,0.0
4,12334,8146,20480,3,45,150,40,169.80355169999893,72.63687877266042,0.34202784364576916,34.20278436457692,0.9555555555555556,-0.008456894452683628,0.005286197791186472,0.015382801182568073,0.1527504996707042,2155,0.024929822033103705,0.00868684634695797,0.6575328496446149,0.0
5,16408,9192,25600,5,59,190,50,211.03150789999927,77.75142282438317,0.3431147976638601,34.31147976638601,0.9491525423728814,-0.0071033878455637025,0.005512370250653475,0.014729585498571396,0.11319397371262312,4074,0.023394024160940725,0.011563443674881647,0.5331749465852536,0.0
6,19501,11219,30720,6,66,230,60,264.60914879999837,73.69737625640298,0.34623530492094623,34.623530492094616,0.9545454545454546,-0.010382490133633838,0.006145039026159793,0.010884281247854233,0.14649948934093118,3093,0.02393880409989597,0.009364203223653927,0.6289739723515155,0.0
7,22467,13373,35840,7,79,260,70,304.86496689999694,73.6949221435788,0.2762259555776625,27.622595557766257,0.9113924050632911,-0.009828605079868187,0.0050998229766264554,0.011519023217260838,0.1478830508887768,2966,0.01865444296667104,0.008375436850925636,0.552830424575864,0.0
8,24362,16598,40960,8,88,280,80,333.17054639999697,73.12170977668457,0.28091144764933856,28.091144764933855,0.9090909090909091,-0.011504296108614653,0.002929354674415663,0.016085539013147354,0.13545359075069427,1895,0.021574860348751446,0.004777651101380103,0.7834850185195699,0.0
9,28255,17825,46080,10,109,320,90,373.1237438999997,75.72554805724874,0.29271200236198514,29.27120023619851,0.92,-0.012895696063060314,0.0030864206084515898,0.011522135697305202,0.155460780672729,3893,0.013519591490954323,0.005213240767835813,0.6193576840398247,0.0
10,31550,19650,51200,11,123,360,100,406.55254459999924,77.60374499941098,0.30445033398522914,30.44503339852292,0.94,-0.010540671006310731,0.002672403128235601,0.014355756342411041,0.13295219670981168,3295,0.02059385731034184,0.004982777535075324,0.7605981040233225,0.0
11,33030,23290,56320,12,129,380,110,424.2768197999976,77.85011685429859,0.29677608036482156,29.677608036482148,0.92,-0.010827165003865958,0.0025059977313503625,0.01602616161108017,0.18644976555369794,1480,0.02019948244499199,0.004101246422127609,0.8030252247606608,0.0
12,36116,25324,61440,13,139,420,120,462.15962899999795,78.14615932193455,0.2948261127381753,29.482611273817525,0.91,-0.010950369737111032,0.0027618400519713758,0.013310863636434078,0.14723423607647418,3086,0.006528317935388482,0.004255299535444805,0.3493074941194336,0.0
13,39452,27108,66560,14,152,460,130,495.5867528999988,79.60664761344168,0.2958605650105104,29.58605650105104,0.92,-0.00654075667152938,0.00426500357571058,0.01224195770919323,0.1862718988209963,3336,0.014116109960667785,0.007947280162391978,0.464283685061072,0.0
14,43123,28557,71680,16,167,500,140,531.2050163999993,81.17957976422464,0.25739768197346896,25.739768197346894,0.87,-0.011476052831858397,0.002685997454682365,0.015549739822745323,0.14443086311221123,3671,0.011033270981753818,0.00470957904970516,0.5978518705345393,0.0
15,45365,31435,76800,16,176,530,150,560.8452562999992,80.88683908870225,0.30910614853481183,30.910614853481185,0.91,-0.01119005134096369,0.0024208416735442976,0.014017622917890549,0.14183982930456598,2242,0.014021910621514541,0.004753465903973791,0.6647508324964255,0.0
16,47415,34505,81920,17,180,560,160,588.0012734999982,80.63758045585278,0.3024900746310085,30.24900746310085,0.9,-0.002984021254815161,0.0031560275238007307,0.023145882412791252,0.20126953125,2050,0.01017950348478454,0.003776244829461516,0.6360941610944808,0.0
17,50455,36585,87040,18,194,590,170,621.4228732999982,81.19269851150513,0.30332030920495745,30.33203092049574,0.9,-0.011559231308638118,0.00176548840245232,0.011526882648468018,0.12685651816427707,3040,0.01049143558879595,0.0031733268833277293,0.7000478326941693,0.0
18,51639,40521,92160,19,199,610,180,641.6672256999991,80.4762935237446,0.2994348027586064,29.943480275860633,0.89,-0.012178636650787666,0.002033703221241012,0.014348892495036125,0.1344042955432087,1184,0.007561114627969054,0.0032650459208680726,0.5711628341863071,0.0
19,54573,42707,97280,20,209,640,190,683.2787262999991,79.86930940396245,0.295566953836973,29.556695383697303,0.88,-0.014226137334480882,0.002312954678200185,0.015888696536421776,0.17579315391679604,2934,0.006946409954363849,0.003627221375879607,0.4835103273994963,0.0
20,57778,44622,102400,21,223,680,200,721.1250385999992,80.1220272591989,0.2955809742009147,29.558097420091475,0.88,-0.01190517949871719,0.001899146128562279,0.012836428359150887,0.16734701730310916,3205,0.008828023187987066,0.0032734496266472856,0.633538555277718,0.0
21,59894,47626,107520,23,230,710,210,745.9465679999994,80.29261420236207,0.29474942234550505,29.474942234550507,0.89,-0.009479764887752632,0.001190720550948754,0.015315119177103043,0.17962239688883225,2116,0.011355140401964945,0.001833451932339283,0.83949228425839,0.0
22,63728,48912,112640,24,246,750,220,788.4742349999979,80.82445458728296,0.30133289593955076,30.133289593955084,0.9,-0.014227959932759405,0.00187731190235354,0.01203304622322321,0.14798881988972426,3834,0.006287806072204903,0.0029627715761718926,0.5430458286416295,0.0
23,65855,51905,117760,25,257,780,230,813.8943096000003,80.91345426946818,0.2980998981993539,29.80998981993539,0.89,-0.012896613435198863,0.0012330531899351627,0.019490094855427742,0.18837519759933155,2127,0.006281437356887206,0.0021371507455912706,0.6787907875283903,0.0
24,67965,54915,122880,25,268,810,240,843.1483206999983,80.6085932111851,0.33593852994422124,33.593852994422114,0.94,-0.007973852765280754,0.002205526850108678,0.015252026729285717,0.17748340765635173,2110,0.008169395910152474,0.002023231796369821,0.7574355042637322,0.0
25,70435,57565,128000,26,274,840,250,885.5479047999979,79.5383283255668,0.334552729465028,33.4552729465028,0.93,-0.017425868551557262,0.0015546654836119463,0.01600733958184719,0.17917083265880743,2470,0.004874728830537168,0.0021717086080226726,0.5545953092088035,0.0
26,73184,59936,133120,27,283,870,260,917.206367499999,79.7901133192908,0.3471346198546453,34.71346198546453,0.95,-0.015409910845725487,0.0018765742890536786,0.013686709105968475,0.1514100944933792,2749,0.00910252986447526,0.003093888382883358,0.6703733515145194,0.0
27,75492,62748,138240,29,292,900,270,951.7618167999972,79.31816413251201,0.3418750242565794,34.18750242565793,0.94,-0.01388658092667659,0.002093602728564292,0.014945750124752522,0.16452574220796426,2308,0.012514448081779832,0.004245026423642308,0.665140359201883,0.0
28,78820,64540,143360,29,305,940,280,986.9510706999972,79.86211509360514,0.34582969935245295,34.582969935245295,0.96,-0.008854126627556979,0.0011381726260879077,0.014327410608530045,0.16025390625,3328,0.021175458654376603,0.001920903254440322,0.9120096977243334,0.0
29,80329,68151,148480,30,309,960,290,1012.9253274000002,79.30397022077659,0.3303595565825777,33.03595565825778,0.93,-0.0169851186015876,0.0011206496361410244,0.02129562571644783,0.15635611325269566,1509,0.009089646289178287,0.0019387379028847687,0.7904606226112875,0.0
30,83787,69813,153600,31,321,1000,300,1060.8966279999986,78.97753446342381,0.3265583161830286,32.65583161830286,0.92,-0.015509246557485312,0.0016059784320532344,0.016354674473404884,0.15025400724262,3458,0.00963470879599893,0.002333046943475672,0.7689487809793556,0.0
31,86205,72515,158720,32,331,1030,310,1088.4441283999986,79.20020674531126,0.3330134317298221,33.30134317298222,0.93,-0.01708617196030294,0.001339156273752451,0.0226823091506958,0.21138970867420237,2418,0.011476382349120118,0.002149406858446729,0.8150699355730057,0.0
32,88758,75082,163840,33,343,1060,320,1120.7547414999972,79.19484675229475,0.3211563393517131,32.11563393517132,0.91,-0.013189719314944644,0.0014521706538895766,0.01609647087752819,0.17404084131121636,2553,0.010243419758781474,0.002140617240946422,0.7933156569562181,0.0
33,91474,77486,168960,34,350,1090,330,1157.8795092,79.00131168501379,0.3210312489928717,32.10312489928718,0.91,-0.015092328600925005,0.0011114272094952563,0.01221258845180273,0.16820967396100361,2716,0.010654530120094778,0.0016165708273667135,0.8516707499153358,0.0
34,94118,79962,174080,36,362,1120,340,1190.7935227999988,79.03805168396747,0.3205826571854526,32.05826571854526,0.91,-0.014871612230005363,0.001158410390295709,0.015319202095270157,0.16835609786212444,2644,0.012745763588044176,0.0017587402376366293,0.8620138474450891,0.0
35,97098,82102,179200,36,374,1150,350,1219.2875273999998,79.63503096521548,0.32445733330461524,32.44573333046153,0.92,-0.011354773514904081,0.0011894998276450982,0.014988447539508343,0.13364823646843432,2980,0.014197875349587039,0.0019715261193622184,0.8650684471257568,0.0
36,98624,85696,184320,37,379,1170,360,1234.9340655999986,79.86175355206763,0.3205169108747972,32.051691087479725,0.91,-0.008250192240666365,0.0011792032688390463,0.0187811478972435,0.19269348606467246,1526,0.008693355756618486,0.0018683931117604731,0.7868118579057367,0.0
37,102374,87066,189440,38,395,1210,370,1270.072917399997,80.60482087089359,0.3116650845850626,31.16650845850626,0.91,-0.013574220282316673,0.001995705597801134,0.014340069144964218,0.14866111539304255,3750,0.007524893944728049,0.003588373735422998,0.5290494871210285,0.0
