rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/entropy_loss,train/clip_range,train/n_updates,train/loss,train/approx_kl,train/std,train/learning_rate,train/clip_fraction,train/explained_variance,train/policy_gradient_loss
188.75,1,204,5120,25,0.3735506729661682,,,,,,,,,,,
240.3684210526316,1,278,10240,18,0.37288069029314785,0.03053036332130432,3.15620888710022,0.2,10,0.03434304520487785,0.013672635,0.04993367940187454,0.0003,0.18459335431456567,0.7788408398628235,-0.006530777825973928
249.06666666666666,1,219,15360,23,0.36023711419048376,0.00855563092045486,3.155582896868388,0.2,20,-0.002612550277262926,0.012863281,0.04997817054390907,0.0003,0.12644569650292398,0.9487614035606384,-0.008970337019612392
237.24,1,243,20480,21,0.3654467748429081,0.008054988862325748,3.1542509237925214,0.2,30,0.016070347279310226,0.013690843,0.05001010745763779,0.0003,0.13453213684260845,0.9211806058883667,-0.011457831004130033
225.44444444444446,1,218,25600,23,0.36713370001875717,0.00704201126160721,3.151909605662028,0.2,40,0.016659097746014595,0.009792965,0.0500856414437294,0.0003,0.12021872873107592,0.9038466215133667,-0.010148524409063005
229.2027027027027,1,272,30720,18,0.36785992259118155,0.0050334757193923,3.147520214319229,0.2,50,0.01416833233088255,0.011872053,0.050214216113090515,0.0003,0.13201087880879642,0.8503096103668213,-0.011478594603249802
232.0,1,212,35840,24,0.3640846975510033,0.003956426866352558,3.1449881315231325,0.2,60,0.009124601259827614,0.018049603,0.05018869787454605,0.0003,0.1778259466091792,0.9543125629425049,-0.014930604763018588
231.78,1,211,40960,24,0.36157662947007113,0.00700628895428963,3.147359699010849,0.2,70,-0.001448491821065545,0.011955171,0.05012540519237518,0.0003,0.14264518171548843,0.9152318239212036,-0.008290800004033372
233.03,1,141,46080,36,0.36156292496938996,0.004197195894084871,3.145838212966919,0.2,80,0.013494209386408329,0.013678287,0.05031037703156471,0.0003,0.15915460555503766,0.8722999095916748,-0.010445250418464032
240.49,1,198,51200,25,0.35194808848105874,0.003572769567836076,3.137249398231506,0.2,90,0.011425197124481201,0.014408543,0.05048865079879761,0.0003,0.15566730070859194,0.8100020885467529,-0.0121249906020239
231.37,1,135,56320,37,0.3510816529800424,0.003089691683029135,3.135154406229655,0.2,100,0.01965046487748623,0.016118294,0.050408028066158295,0.0003,0.16880936113496622,0.890112578868866,-0.01223258754471317
239.49,1,134,61440,38,0.34019064606229654,0.003280273168347776,3.1368675374984742,0.2,110,0.017630573362112045,0.014465833,0.050449520349502563,0.0003,0.16647063069045542,0.6430588364601135,-0.008075908972823526
248.09,1,102,66560,49,0.3400927736646934,0.003596549551002681,3.1324899017810823,0.2,120,0.014428159222006798,0.012499744,0.05062557011842728,0.0003,0.13740794640034437,0.6873953342437744,-0.01244928560918197
266.46,1,132,71680,38,0.31182829436501686,0.0037797409924678503,3.122958254814148,0.2,130,0.011150351725518703,0.012910668,0.050935037434101105,0.0003,0.14857850866392255,0.7342272996902466,-0.011291643022559583
267.41,1,111,76800,45,0.31555929259096316,0.0023594655562192202,3.1123034358024597,0.2,140,0.017551369965076447,0.013358783,0.05110775679349899,0.0003,0.14868381507694722,0.7015411853790283,-0.010608538825181313
279.03,1,130,81920,39,0.3058890722250364,0.0024281092017190533,3.106340783834457,0.2,150,0.013910732232034206,0.015672967,0.051266107708215714,0.0003,0.132136158272624,0.859123706817627,-0.012050708725655567
284.62,1,126,87040,40,0.2829287427620967,0.0034994451561942697,3.101845544576645,0.2,160,0.03156503289937973,0.013048841,0.05133537948131561,0.0003,0.12699864003807307,0.77686607837677,-0.008973284830307193
