episode,scenario_sha256,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL007,1.0,610.0,1.0,37.0,0.0,0.0,0.0,0.0,2.426345405334736
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL0010,1.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41716376846753
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL009,1.0,654.0,0.0,0.0,0.0,0.0,0.0,0.0,37.417163794411934
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL002,1.0,721.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41716378720367
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL005,1.0,806.0,1.0,39.0,0.0,0.0,0.0,0.0,0.5349498061741045
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL003,1.0,856.0,0.0,0.0,0.0,0.0,0.0,0.0,37.29912599062319
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL001,1.0,867.0,2.0,102.0,0.0,0.0,0.0,0.0,-59.13466028524811
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL006,1.0,1039.0,2.0,115.0,0.0,0.0,0.0,0.0,-71.40257223154099
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL008,1.0,1095.0,3.0,138.0,0.0,0.0,0.0,0.0,-93.1862845906351
0,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,KL004,1.0,1165.0,3.0,149.0,0.0,0.0,0.0,0.0,-103.58435899972964
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL003,1.0,654.0,4.0,184.0,0.0,0.0,0.0,0.0,-136.59873534845
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL007,1.0,652.0,3.0,110.0,0.0,0.0,0.0,0.0,-66.60959358771619
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL0010,1.0,653.0,2.0,110.0,0.0,0.0,0.0,0.0,-66.60959358769507
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL005,1.0,662.0,4.0,139.0,0.0,0.0,0.0,0.0,-94.034829619195
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL004,1.0,757.0,4.0,177.0,0.0,0.0,0.0,0.0,-129.97134580302296
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL001,1.0,785.0,3.0,164.0,0.0,0.0,0.0,0.0,-117.67727445955211
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL006,1.0,794.0,5.0,400.0,0.0,0.0,0.0,0.0,-340.86195386771135
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL009,1.0,829.0,2.0,266.0,0.0,0.0,0.0,0.0,-214.13844942193268
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL008,1.0,879.0,0.0,0.0,0.0,0.0,0.0,0.0,37.308858465357254
1,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,KL002,1.0,985.0,5.0,182.0,0.0,0.0,0.0,0.0,-134.69983475166512
2,07a72834afc7379c1010660987a6759a162efff1b4ea783c53ab2a58d863cbde,KL006,1.0,623.0,2.0,276.0,0.0,0.0,0.0,0.0,-223.60460308933818
2,07a72834afc7379c1010660987a6759a162efff1b4ea783c53ab2a58d863cbde,KL002,1.0,658.0,1.0,40.0,0.0,0.0,0.0,0.0,-0.41074795417627996
2,07a72834afc7379c1010660987a6759a162efff1b4ea783c53ab2a58d863cbde,KL007,1.0,660.0,1.0,58.0,0.0,0.0,0.0,0.0,-17.433308248758877
2,07a72834afc7379c1010660987a6759a162efff1b4ea783c53ab2a58d863cbde,KL004,1.0,676.0,2.0,273.0,0.0,0.0,0.0,0.0,-220.8024895802232
2,07a72834afc7379c1010660987a6759a162efff1b4ea783c53ab2a58d863cbde,KL005,1.0,1004.0,2.0,109.0,0.0,0.0,0.0,0.0,-65.69621340885325
