rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction,rollout_live_samples,rollout_return_variance_live,rollout_value_mse_live,rollout_value_explained_variance_live,rollout_action_box_clip_fraction_live
1,2140,420,2560,0,7,50,10,33.44329260000086,63.98891477569242,-0.4548335608643158,-45.48335608643158,1.0,-0.011582127129659057,0.038185104373842475,0.014323173090815544,0.16470108717679977,2140,0.07683317023053965,0.06575138571350103,0.36444506798270404,0.0
2,3986,1134,5120,1,17,90,20,47.376359700007015,84.13478843118902,-0.653504726538028,-65.3504726538028,1.0,-0.011345668890862725,0.04053733237087727,0.012456388212740421,0.1275544986128807,1846,0.13922703279648047,0.1648999932341663,0.17240758589882677,0.0
3,5484,2196,7680,2,20,120,30,59.1112945000059,92.77414826365295,-0.8354081173837867,-83.54081173837868,1.0,-0.011406486853957176,0.034819017599026364,0.015586203895509243,0.14878417352835338,1498,0.24943102944796886,0.09939471715715534,0.6872829336720468,0.0
4,7421,2819,10240,3,30,160,40,73.99110710000241,100.29583676819668,-0.8170122873437096,-81.70122873437094,1.0,-0.009953882405534386,0.012685316591523587,0.014811727218329906,0.1544226599857211,1937,0.05062151129704013,0.023121172037517974,0.5960093807853328,0.0
5,8866,3934,12800,3,37,190,50,86.03947060000064,103.04572933994707,-0.6937480639849726,-69.37480639849723,1.0,-0.010997524436485643,0.033697752219935255,0.012655195780098438,0.107764716198047,1445,0.18848864251458897,0.08747469803233675,0.6763519922946801,0.0
6,9879,5481,15360,4,40,210,60,95.73756730000605,103.18833325942862,-1.4083449042877667,-140.8344904287767,0.925,-0.01280755790648982,0.11551997251808643,0.015673194080591202,0.15504966606386006,1013,0.5095165934093067,0.2536378596817771,0.6461644607909569,0.0
7,11793,6127,17920,5,50,250,70,110.20390450000559,107.01072755547787,-1.2516876177312906,-125.16876177312906,0.94,-0.01080357096507214,0.03912572441622615,0.012857310473918915,0.12465432789176703,1914,0.19710676860691043,0.09343002798422187,0.6283950517606954,0.0
8,13481,6999,20480,6,60,290,80,124.49840420000692,108.28251242757095,-1.213436036110627,-121.34360361106269,0.95,-0.014144305323134177,0.033712396724149586,0.015418611466884613,0.1572265626862645,1688,0.16046986099948687,0.059669153973456956,0.6365744030189355,0.0
9,15394,7646,23040,7,70,330,90,140.86805870000535,109.27956374257478,-1.1053899435317602,-110.53899435317604,0.9571428571428572,-0.010409082740079612,0.02546141904313117,0.012514771893620491,0.14651714283972977,1913,0.2119813648230307,0.04773873633067192,0.7748180344925979,0.0
10,17275,8325,25600,7,79,370,100,155.09361750000244,111.38433855925585,-1.0470531057828514,-104.70531057828512,0.9620253164556962,-0.018715804337989538,0.02563130436465144,0.016885487362742424,0.16225784104317426,1881,0.20799962210990344,0.053230113206719304,0.7570615164092739,0.0
11,19277,8883,28160,8,84,410,110,170.48566640000354,113.07108924201971,-1.0073106774655634,-100.73106774655633,0.9642857142857143,-0.013648925893357955,0.04534602332860231,0.013827580958604813,0.14697139896452427,2002,0.4691195869200651,0.11616737739758996,0.7911612730101614,0.0
12,20453,10267,30720,9,90,440,120,180.67157410000073,113.20541209586948,-1.1194243234678716,-111.94243234678717,0.9666666666666667,-0.011031491837153832,0.009020343469455839,0.013952421955764294,0.17145696183045706,1176,0.08748545009781426,0.013024532938169648,0.8532834764939351,0.0
13,22580,10700,33280,10,100,490,130,196.60484890000225,114.849659743055,-0.9808859795905118,-98.08859795905123,0.97,-0.00754710502922535,0.020297683887183667,0.015998180955648422,0.20593057721853256,2127,0.18576526080221753,0.04639170940845147,0.7556273246145202,0.0
14,24085,11755,35840,11,110,520,140,208.8372387000054,115.32904835328766,-1.0771229091628682,-107.71229091628686,0.97,-0.016403296582090356,0.035531044130524,0.019492145627737045,0.18007636591792106,1505,0.3592345013969671,0.08136195694991438,0.7806357211581061,0.0
15,25855,12545,38400,11,116,560,150,223.08714340000006,115.89641431573413,-1.0379731912546128,-103.79731912546131,0.97,-0.011743985046632589,0.0165115772979334,0.013563385233283043,0.15577757880091667,1770,0.09630914350129405,0.03296864360737316,0.6618087583612453,0.0
16,26431,14529,40960,11,119,580,160,230.7404691000047,114.54860997333155,-0.9677969135085344,-96.77969135085343,0.97,-0.00825594828929752,0.004394221131224185,0.017668206244707108,0.19580078125,576,0.021688891033758415,0.008762887330633459,0.6813590452723288,0.0
17,28478,15042,43520,12,124,620,170,246.8889604000069,115.34740133321571,-1.0180470775454986,-101.80470775454987,0.96,-0.015949569770600646,0.044762150337919596,0.019010912626981735,0.17309293244034052,2047,0.4248261680807858,0.10237604131767834,0.7833665843809239,0.0
18,29871,16209,46080,13,130,650,180,258.52162540000427,115.54545950955291,-1.0712538406319114,-107.12538406319119,0.96,-0.018089988509503503,0.0329306879080832,0.017689034342765808,0.1547287846604983,1393,0.5706432070083914,0.06359050348453371,0.9027422599266705,0.0
19,31925,16715,48640,14,140,696,190,273.14853560000483,116.87780031429696,-0.8542804209986589,-85.42804209986589,0.99,-0.01697181615522726,0.028402230417494602,0.04706454277038574,0.231105940773132,2054,0.15378438223696242,0.03678777110094156,0.7685840593630079,0.0
20,33587,17613,51200,15,151,713,195,286.750397900003,117.1297415660871,-0.8207804754168015,-82.07804754168018,0.99,-0.00259483908303082,0.0489049938817819,0.043593816459178925,0.18138055420584148,1662,0.3777817315630319,0.08167693632328021,0.7876310523221743,0.0
21,34566,19194,53760,15,159,733,205,300.156501700003,115.15992425360699,-0.79681542061754,-79.68154206175399,0.99,-0.017813403543550523,0.012229456729255617,0.018827615305781364,0.13847969956696032,979,0.06082118127420551,0.024539985608112543,0.7156895710146058,0.0
22,36475,19845,56320,16,167,773,215,320.46221450000303,113.81997112174251,-1.0171054575843865,-101.71054575843866,0.99,-0.019050828230683693,0.08272671429440379,0.01853104680776596,0.16891598980873823,1909,0.818722402818115,0.268748243683187,0.7709336266529826,0.0
23,38388,20492,58880,17,175,813,225,347.1508752000009,110.58016194798262,-1.1593121602112215,-115.93121602112214,0.99,-0.019416856265161188,0.03502864195033908,0.02054215595126152,0.20400092788040639,1913,0.302178246844165,0.06713192846345091,0.78905607664135,0.0
24,39864,21576,61440,18,180,843,235,367.6518883000026,108.42865566209501,-1.1369241924944262,-113.69241924944262,0.99,-0.016626574337715284,0.01874455859263738,0.014873597770929337,0.14978970736265182,1476,0.17987844781111417,0.03416580062815383,0.8221800284840707,0.0
25,41973,22027,64000,19,190,893,245,384.74871330000315,109.0919827645325,-1.0153308103302148,-101.53308103302147,0.99,-0.013871826655231416,0.017077724784612655,0.027059685438871384,0.23289766833186148,2109,0.16846112422330298,0.023820480132610917,0.859659812529807,0.0
26,44006,22554,66560,20,205,933,255,401.7256197000024,109.54242856819155,-1.0890096692760043,-108.90096692760044,0.99,-0.013755766616668552,0.02727152155712247,0.017505493015050888,0.18107865899801254,2033,0.29428252725721604,0.042358073240034946,0.8671264266490412,0.0
