completion_index,native_return,unscaled_learning_return,learning_return,shaping_return
0,-65.67295955732823,-65.67295955732823,-0.6567295955732823,0.0
1,-304.0415219258632,-304.0415219258632,-3.040415219258632,0.0
2,-60.00205513270085,-60.00205513270086,-0.6000205513270086,-7.105427357601002e-15
3,-21.288638737292302,-21.288638737292302,-0.21288638737292304,0.0
4,-334.25537581001555,-334.25537581001555,-3.3425537581001556,0.0
5,-74.19157430001138,-74.19157430001138,-0.7419157430001139,0.0
6,-182.96389447731178,-182.96389447731178,-1.8296389447731178,0.0
7,-18.42138997085523,-18.42138997085523,-0.18421389970855231,0.0
8,-47.856693946916664,-47.856693946916664,-0.4785669394691667,0.0
9,37.19241996912985,37.19241996912985,0.37192419969129853,0.0
10,-7.0402372309631644,-7.0402372309631644,-0.07040237230963164,0.0
11,-1.3665579171695157,-1.3665579171695157,-0.013665579171695157,0.0
12,11.87248323823226,11.87248323823226,0.11872483238232259,0.0
13,22.25044946094487,22.25044946094487,0.2225044946094487,0.0
14,-1.4239553886324643,-1.4239553886324643,-0.014239553886324642,0.0
15,-55.274022164755074,-55.274022164755074,-0.5527402216475508,0.0
16,-41.088151308240846,-41.088151308240846,-0.41088151308240844,0.0
17,-64.81049773318273,-64.81049773318273,-0.6481049773318273,0.0
18,-54.33026138315675,-54.33026138315675,-0.5433026138315675,0.0
19,37.079126185349196,37.079126185349196,0.370791261853492,0.0
20,-70.40326616434021,-70.40326616434021,-0.7040326616434021,0.0
21,-54.32803710538959,-54.32803710538959,-0.5432803710538959,0.0
22,-81.75328803853557,-81.75328803853557,-0.8175328803853558,0.0
23,-10.842617328537472,-10.842617328537472,-0.10842617328537472,0.0
24,-195.23815777926177,-195.23815777926177,-1.9523815777926177,0.0
25,-135.6605841547194,-135.6605841547194,-1.356605841547194,0.0
26,-202.3585790241197,-202.3585790241197,-2.023585790241197,0.0
27,-164.54039056210956,-164.54039056210956,-1.6454039056210956,0.0
28,36.879433980232356,36.879433980232356,0.36879433980232357,0.0
29,-73.91577326769266,-73.91577326769266,-0.7391577326769266,0.0
30,37.40521398369757,37.40521398369757,0.3740521398369757,0.0
31,-124.31272010325105,-124.31272010325105,-1.2431272010325105,0.0
32,37.39751465124154,37.39751465124154,0.3739751465124154,0.0
33,37.40553697709907,37.40553697709907,0.3740553697709907,0.0
34,-26.902763394955855,-26.90276339495585,-0.26902763394955853,3.552713678800501e-15
35,37.39050172506975,37.39050172506975,0.37390501725069747,0.0
36,-68.51494545518702,-68.51494545518702,-0.6851494545518702,0.0
37,-22.21146252524175,-22.21146252524175,-0.2221146252524175,0.0
38,-88.55730422433174,-88.55730422433174,-0.8855730422433175,0.0
39,-20.512894119822754,-20.512894119822754,-0.20512894119822755,0.0
40,-20.29751610953472,-20.29751610953472,-0.2029751610953472,0.0
41,-47.76300207790638,-47.76300207790638,-0.4776300207790638,0.0
42,-44.90071004253188,-44.90071004253188,-0.4490071004253188,0.0
43,-20.284214330046623,-20.284214330046623,-0.20284214330046624,0.0
44,-73.34383984303304,-73.34383984303304,-0.7334383984303304,0.0
45,-29.792755918402875,-29.792755918402875,-0.29792755918402875,0.0
46,-80.81999743476135,-80.81999743476135,-0.8081999743476135,0.0
47,-39.33006782611433,-39.33006782611433,-0.3933006782611433,0.0
48,-78.02734688509757,-78.02734688509757,-0.7802734688509757,0.0
49,-82.93899753476447,-82.93899753476447,-0.8293899753476447,0.0
50,37.40797093449326,37.40797093449326,0.37407970934493256,0.0
51,-123.36513748540659,-123.36513748540658,-1.2336513748540658,1.4210854715202004e-14
52,37.40015465218329,37.40015465218329,0.37400154652183293,0.0
53,-103.51812499750794,-103.51812499750794,-1.0351812499750794,0.0
54,37.37855848230455,37.37855848230455,0.37378558482304547,0.0
55,-21.24341663690899,-21.24341663690899,-0.2124341663690899,0.0
56,-18.46952721105592,-18.46952721105592,-0.1846952721105592,0.0
57,-18.481499606645627,-18.481499606645627,-0.18481499606645627,0.0
58,-95.97392627097949,-95.97392627097949,-0.9597392627097949,0.0
59,-21.241942666756188,-21.241942666756188,-0.2124194266675619,0.0
