waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
1.0,620.0,3.0,129.0,0.0,0.0,0.0,0.0,-84.58869742404983
1.0,828.0,2.0,84.0,0.0,0.0,0.0,0.0,-42.09435425376903
1.0,841.0,2.0,314.0,0.0,0.0,0.0,0.0,-259.59540057011134
1.0,867.0,2.0,122.0,0.0,0.0,0.0,0.0,-77.97492607225178
1.0,913.0,2.0,350.0,0.0,0.0,0.0,0.0,-293.5945639962507
1.0,931.0,2.0,111.0,0.0,0.0,0.0,0.0,-67.57902096861572
1.0,1033.0,1.0,66.0,0.0,0.0,0.0,0.0,-25.04215246814067
1.0,1038.0,4.0,254.0,0.0,0.0,0.0,0.0,-202.82538163338916
1.0,1115.0,2.0,80.0,0.0,0.0,0.0,0.0,-38.38687360311362
1.0,1428.0,0.0,0.0,0.0,0.0,0.0,0.0,37.207208864234026
1.0,641.0,1.0,41.0,0.0,0.0,0.0,0.0,-1.3711363778068346
1.0,676.0,1.0,42.0,0.0,0.0,0.0,0.0,-2.3120678099890313
1.0,707.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40445601054307
1.0,749.0,1.0,22.0,0.0,0.0,0.0,0.0,16.547375749436586
1.0,764.0,0.0,0.0,0.0,0.0,0.0,0.0,37.38650666365734
1.0,867.0,2.0,72.0,0.0,0.0,0.0,0.0,-30.686791604830113
1.0,879.0,1.0,55.0,0.0,0.0,0.0,0.0,-14.61280946937508
1.0,883.0,2.0,53.0,0.0,0.0,0.0,0.0,-12.799473776596926
1.0,902.0,2.0,97.0,0.0,0.0,0.0,0.0,-54.33505887786079
1.0,1758.0,0.0,0.0,0.0,0.0,0.0,0.0,37.06276001636637
1.0,641.0,2.0,97.0,0.0,0.0,0.0,0.0,-54.32891442711999
1.0,771.0,1.0,41.0,0.0,0.0,0.0,0.0,-1.3701205627930761
1.0,869.0,2.0,131.0,0.0,0.0,0.0,0.0,-86.48247934478638
1.0,952.0,2.0,47.0,0.0,0.0,0.0,0.0,-7.067617360670511
1.0,967.0,2.0,216.0,0.0,0.0,0.0,0.0,-166.8748171884323
1.0,1039.0,3.0,162.0,0.0,0.0,0.0,0.0,-115.80337970218969
1.0,2405.0,2.0,245.0,0.0,0.0,0.0,0.0,-194.81072574366056
1.0,2499.0,4.0,185.0,0.0,0.0,0.0,0.0,-138.06710251753873
1.0,2512.0,0.0,0.0,0.0,0.0,0.0,0.0,36.88236428095696
1.0,2749.0,2.0,116.0,0.0,0.0,0.0,0.0,-72.93501592665186
1.0,635.0,3.0,136.0,0.0,0.0,0.0,0.0,-91.2077320874318
1.0,655.0,0.0,0.0,0.0,0.0,0.0,0.0,37.403872838142725
1.0,701.0,0.0,0.0,0.0,0.0,0.0,0.0,37.39659222745387
1.0,705.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40650249665917
1.0,796.0,1.0,50.0,0.0,0.0,0.0,0.0,-9.885332633924463
1.0,853.0,2.0,89.0,0.0,0.0,0.0,0.0,-46.7683037954285
1.0,871.0,1.0,32.0,0.0,0.0,0.0,0.0,7.125212173483142
1.0,1057.0,1.0,65.0,0.0,0.0,0.0,0.0,-24.10632170737496
1.0,1293.0,3.0,162.0,0.0,0.0,0.0,0.0,-115.95774655278755
1.0,1520.0,1.0,62.0,0.0,0.0,0.0,0.0,-21.462165161462096
