rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction,rollout_live_samples,rollout_return_variance_live,rollout_value_mse_live,rollout_value_explained_variance_live,rollout_action_box_clip_fraction_live
1,2079,481,2560,0,8,1,1,37.231855600002746,55.83927973764076,-1.3146406881765285,-131.46406881765284,1.0,0.023991895839571953,0.1426561363041401,0.029006900265812874,0.2734375,2079,0.10158219159135103,0.10048011295647244,0.09240569170217061,0.0
2,3906,1214,5120,1,17,41,11,51.63050170000497,75.65295457897176,-0.6817951201300609,-68.17951201300609,1.0,-0.011965567359584383,0.028766099829226732,0.01842503622174263,0.1727262199856341,1827,0.09923332209057414,0.0744333477444071,0.3312346406343556,0.0
3,4794,2886,7680,2,20,61,21,65.55863580000005,73.1253776333155,-0.6575135895427209,-65.75135895427208,1.0,-0.00992242775973864,0.00797117545735091,0.008568156510591507,0.13349401541054248,888,0.09382075802317064,0.014081728997483708,0.8669260926922315,0.0
4,6831,3409,10240,2,26,101,31,83.16063220000069,82.14223268014001,-0.4928037027551099,-49.28037027551099,1.0,-0.009727217793260934,0.01595930161420256,0.010595117695629597,0.12611758848652244,2037,0.10549754222142961,0.03887396790752669,0.6331808715437164,0.0
5,8661,4139,12800,3,34,141,41,98.3430956000011,88.06922282808334,-0.5425421565910001,-54.254215659100005,1.0,-0.012603256872353086,0.02691567342262715,0.014375442638993263,0.13579167984426022,1830,0.29883364363862525,0.08653211029579307,0.7105219657866498,0.0
6,10844,4516,15360,4,44,191,51,117.54196750000119,92.25641046037357,-0.5616832942993119,-56.168329429931184,1.0,-0.011538406582549215,0.016623941855505107,0.014084775932133198,0.1451727432012558,2183,0.08338184671898542,0.029336556975181702,0.666413960793278,0.0
7,12604,5316,17920,5,50,231,61,134.12149270000373,93.9744983914845,-0.4783163669310089,-47.83163669310088,1.0,-0.008667754841735587,0.015717300400137902,0.011874750256538391,0.1448451453819871,1760,0.15206638467192893,0.0380733112370207,0.7508779552442437,0.0
8,13499,6981,20480,5,59,251,71,143.1896689999994,94.27356103463062,-0.44010527738681904,-44.01052773868192,1.0,-0.018416127166710795,0.025900592654943468,0.015844417735934258,0.17418305352330207,895,0.10023641041504397,0.050211472555704774,0.6337504491046474,0.0
9,15197,7843,23040,6,61,291,81,160.32555720000528,94.78838100055266,-0.41349811378452384,-41.3498113784524,1.0,-0.01072781957755069,0.03219155485276133,0.01837945356965065,0.12814187863841653,1698,0.2946320210658693,0.11330362754048458,0.6951431191724261,0.0
10,16603,8997,25600,7,70,321,91,172.96471040000324,95.99067903275424,-0.6807017088256837,-68.07017088256836,1.0,-0.012705306010320782,0.02916261749342084,0.017748024314641953,0.1657933848599593,1406,0.34780532127511676,0.06561799995338789,0.8203217720147684,0.0
11,18521,9639,28160,7,75,361,101,188.35525720000442,98.33014631672073,-0.6156871790600789,-61.56871790600789,1.0,-0.010688005184056238,0.014513818034902214,0.013190537691116333,0.1388881504535675,1918,0.11754291428601574,0.03160287522885782,0.7312018993505149,0.0
12,19680,11040,30720,7,77,365,103,198.85094430000026,98.96860218229286,-0.7498929192784234,-74.98929192784233,1.0,-0.001066964492201805,0.15705152750015258,0.04410576447844505,0.20863136500120164,1159,0.2660277545687782,0.21417317535962424,0.4612340240837516,0.0
13,21691,11589,33280,8,85,405,113,216.4000709000029,100.23564183591822,-0.8069195312865565,-80.69195312865564,0.9764705882352941,-0.015415906225098298,0.027626898419111968,0.01719379611313343,0.1658585522323847,2011,0.45461960969250964,0.04654626619899924,0.8976153628244269,0.0
14,23904,11936,35840,9,94,455,123,238.31000590000622,100.30632121267291,-0.8010536755466388,-80.10536755466391,0.9787234042553191,-0.010889823439065367,0.0147263802587986,0.014932435937225819,0.1723487213253975,2213,0.0946363237005136,0.031445804514470696,0.693811700188007,0.0
15,25789,12611,38400,10,104,495,133,251.95754010000383,102.35454747559511,-0.7123906382743037,-71.23906382743034,0.98,-0.016361320327268912,0.027371010510250926,0.01806899905204773,0.17190899876877666,1885,0.28186678876125204,0.0511168188475872,0.8229840748491958,0.0
16,27483,13477,40960,11,110,535,143,264.84246659999917,103.77112233102909,-0.7106892484073788,-71.06892484073785,0.98,-0.009484946132579353,0.01319661249872297,0.016345176845788956,0.1643202387727797,1694,0.2412699048828924,0.02522223255223466,0.9010670536630506,0.0
17,29332,14188,43520,12,120,575,153,277.6184007000047,105.65582081749778,-0.7846313845309186,-78.46313845309186,0.98,-0.015569113452511375,0.02956333584152162,0.017833471298217773,0.18568431120365858,1849,0.3146509936930068,0.05274887217681804,0.8327560924430571,0.0
18,30299,15781,46080,13,130,595,163,284.6676510000034,106.43640010926158,-0.7909385305788286,-79.09385305788285,0.98,-0.015698366542346777,0.029647023417055607,0.020604219287633896,0.1732273798668757,967,0.19471072567750164,0.04502483903919142,0.7930638889269224,0.0
19,32346,16294,48640,14,140,635,173,296.8354135000045,108.96947779446643,-0.7084781391678007,-70.84781391678007,0.98,-0.010120983759679802,0.01840313805732876,0.015035917051136494,0.19360877126455306,2047,0.13962514917651295,0.029144706425040915,0.7944017071475427,0.0
20,33883,17317,51200,14,147,638,174,305.80544830000144,110.7992031808409,-0.7723918130759343,-77.2391813075934,0.98,0.20385525352321565,0.09548952057957649,0.015577955171465874,0.26611328125,1537,0.3570991909420903,0.11280437191978702,0.7411274402325445,0.0
21,35523,18237,53760,15,153,678,184,316.29812830000446,112.30860008854343,-0.8917634817773314,-89.17634817773315,0.98,-0.01511196838109754,0.01803471550811082,0.03220057487487793,0.22086463356390595,1640,0.24878811718004284,0.025207032780055316,0.9002192360906679,0.0
22,37424,18896,56320,16,165,718,194,329.6215150000062,113.53627811582413,-0.9066736999503656,-90.66736999503657,0.98,-0.017164352454710752,0.018510425509884954,0.017833109945058823,0.1864251120015979,1901,0.17214641957672927,0.03896447166296816,0.7977352467626916,0.0
23,39402,19478,58880,17,173,743,201,342.0051639000012,115.20878676416926,-0.7358939480659693,-73.58939480659691,0.98,-0.011350297875021799,0.024154178117616817,0.04421164095401764,0.19358881623842394,1978,0.2795059217368146,0.03998676119196185,0.8583032457285085,0.0
24,41344,20096,61440,18,182,783,211,354.1071777000034,116.7556113054175,-0.5678436210293056,-56.78436210293055,1.0,-0.015652982058236377,0.04053588188253343,0.01711173541843891,0.16973209492862223,1942,0.4339381285582309,0.10801233633552386,0.7780741749184776,0.0
25,42489,21511,64000,19,190,813,221,362.11607870000444,117.33530350967948,-0.7473759211881945,-74.73759211881944,1.0,-0.020256924613689383,0.041627277713269,0.029441453516483307,0.16302459873259068,1145,0.656349781086716,0.11403708656581107,0.8385410539424202,0.0
26,44461,22099,66560,19,199,853,231,373.53886450000573,119.0264366721587,-0.7690672491155888,-76.90672491155888,1.0,-0.014138266179907077,0.017715872218832373,0.01490201335400343,0.146252328902483,1972,0.2054993051314849,0.03250972909866943,0.841929277297057,0.0
27,46349,22771,69120,20,204,893,241,386.46429130000615,119.93087341676285,-0.7711681563119971,-77.11681563119971,1.0,-0.016553372920316178,0.01681744840461761,0.018483659252524376,0.17968749925494193,1888,0.13360453838920594,0.03338440460973747,0.7511877595766956,0.0
28,47694,23986,71680,21,210,923,251,394.66584780000267,120.84653451992882,-0.7297666322165165,-72.97666322165165,1.0,-0.016112597504009802,0.015169556035349767,0.015061985701322556,0.14584164867798488,1345,0.16347201170642148,0.029598251212184026,0.8192428547096662,0.0
