waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
1.0,660.0,2.0,141.0,0.0,0.0,0.0,0.0,-95.93698507597652
1.0,659.0,2.0,81.0,0.0,0.0,0.0,0.0,-39.1940472182212
1.0,672.0,1.0,116.0,0.0,0.0,0.0,0.0,-72.3054645724169
1.0,691.0,1.0,21.0,0.0,0.0,0.0,0.0,17.547262726945174
1.0,962.0,1.0,25.0,0.0,0.0,0.0,0.0,13.707579142722956
1.0,970.0,1.0,60.0,0.0,0.0,0.0,0.0,-19.366034941477714
1.0,984.0,0.0,0.0,0.0,0.0,0.0,0.0,37.39242976385721
1.0,1767.0,0.0,0.0,1.0,137.0,0.0,0.0,-31.359276701839633
1.0,2568.0,0.0,0.0,5.0,198.0,0.0,0.0,-62.205548574275525
0.0,3000.0,0.0,0.0,1.0,69.0,0.0,0.0,-35.209499931048356
1.0,650.0,2.0,115.0,0.0,0.0,0.0,0.0,-71.34941722492373
1.0,743.0,1.0,65.0,0.0,0.0,0.0,0.0,-24.06427050551148
1.0,789.0,1.0,72.0,0.0,0.0,0.0,0.0,-30.684640726946576
1.0,888.0,4.0,249.0,0.0,0.0,0.0,0.0,-198.14505306796022
1.0,926.0,3.0,206.0,0.0,0.0,0.0,0.0,-157.44672261478055
1.0,936.0,2.0,114.0,0.0,0.0,0.0,0.0,-70.40616824211781
1.0,1023.0,3.0,237.0,0.0,0.0,0.0,0.0,-186.73165736921663
1.0,1128.0,1.0,28.0,0.0,0.0,0.0,0.0,10.92167668587323
1.0,1136.0,2.0,102.0,0.0,0.0,0.0,0.0,-59.060828362925605
1.0,1200.0,1.0,126.0,0.0,0.0,0.0,0.0,-81.75893631748013
1.0,790.0,2.0,125.0,0.0,0.0,0.0,0.0,-80.83594735680276
1.0,865.0,2.0,117.0,0.0,0.0,0.0,0.0,-73.2644520227153
1.0,868.0,1.0,60.0,0.0,0.0,0.0,0.0,-19.383392007320438
1.0,1082.0,3.0,196.0,0.0,0.0,0.0,0.0,-147.9863760846861
1.0,1118.0,2.0,705.0,0.0,0.0,0.0,0.0,-629.3794582933481
1.0,1289.0,1.0,68.0,0.0,0.0,0.0,0.0,-26.966620047500733
1.0,1291.0,2.0,701.0,0.0,0.0,0.0,0.0,-625.596235445824
1.0,1356.0,1.0,78.0,0.0,0.0,0.0,0.0,-36.454925076574064
1.0,1466.0,2.0,127.0,0.0,0.0,0.0,0.0,-82.83657792243716
1.0,1657.0,2.0,153.0,0.0,0.0,0.0,0.0,-107.4426910206688
1.0,694.0,0.0,0.0,0.0,0.0,0.0,0.0,37.406770447897046
1.0,709.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40591618172426
1.0,742.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40589333639856
1.0,831.0,4.0,239.0,0.0,0.0,0.0,0.0,-188.62326792010174
1.0,888.0,3.0,201.0,0.0,0.0,0.0,0.0,-152.6981881520366
1.0,980.0,1.0,79.0,0.0,0.0,0.0,0.0,-37.315227829369974
1.0,1166.0,3.0,212.0,0.0,0.0,0.0,0.0,-163.20724314559473
1.0,1205.0,1.0,37.0,0.0,0.0,0.0,0.0,2.4063845256118057
1.0,1374.0,2.0,142.0,0.0,0.0,0.0,0.0,-97.01353688238353
0.0,3000.0,2.0,148.0,0.0,0.0,0.0,0.0,-140.66729877096103
1.0,727.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40654345205606
1.0,769.0,2.0,185.0,0.0,0.0,0.0,0.0,-137.54878342183207
1.0,777.0,1.0,58.0,0.0,0.0,0.0,0.0,-17.445739285961366
1.0,901.0,3.0,225.0,0.0,0.0,0.0,0.0,-175.38169067415922
1.0,940.0,3.0,321.0,0.0,0.0,0.0,0.0,-266.16608516876914
1.0,960.0,2.0,116.0,0.0,0.0,0.0,0.0,-72.29862020651721
1.0,957.0,2.0,105.0,0.0,0.0,0.0,0.0,-61.89492048897492
1.0,1034.0,2.0,245.0,0.0,0.0,0.0,0.0,-194.29398900249282
1.0,1089.0,2.0,105.0,0.0,0.0,0.0,0.0,-61.89733093867025
1.0,1189.0,3.0,194.0,0.0,0.0,0.0,0.0,-146.06801616590047
1.0,698.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40612078976026
1.0,851.0,3.0,211.0,0.0,0.0,0.0,0.0,-162.17727770963916
1.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,37.401291410068545
1.0,1061.0,4.0,259.0,0.0,0.0,0.0,0.0,-207.57167114645702
1.0,1607.0,4.0,291.0,0.0,0.0,0.0,0.0,-237.95228390748693
1.0,1657.0,3.0,215.0,0.0,0.0,0.0,0.0,-166.07331583374832
1.0,1763.0,3.0,207.0,0.0,0.0,0.0,0.0,-158.60464206719303
1.0,1931.0,4.0,313.0,0.0,0.0,0.0,0.0,-258.7992224155805
1.0,2075.0,3.0,230.0,0.0,0.0,0.0,0.0,-180.37001985265846
0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5335759737904484
1.0,893.0,3.0,123.0,0.0,0.0,0.0,0.0,-78.91907565227098
1.0,893.0,2.0,101.0,0.0,0.0,0.0,0.0,-58.116650890715725
1.0,939.0,1.0,29.0,0.0,0.0,0.0,0.0,9.971802702563373
1.0,1043.0,3.0,760.0,0.0,0.0,0.0,0.0,-681.3953209443029
1.0,1263.0,2.0,694.0,0.0,0.0,0.0,0.0,-619.0220067202235
1.0,1342.0,3.0,205.0,0.0,0.0,0.0,0.0,-156.5394930064798
1.0,1675.0,0.0,0.0,0.0,0.0,0.0,0.0,37.27985573593153
1.0,1765.0,1.0,69.0,0.0,0.0,0.0,0.0,-28.147392934668034
1.0,2129.0,1.0,71.0,0.0,0.0,0.0,0.0,-30.132896660516373
1.0,2307.0,2.0,140.0,0.0,0.0,0.0,0.0,-95.37045741362063
1.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,37.39960598287414
1.0,1191.0,1.0,293.0,0.0,0.0,0.0,0.0,-239.6941195920616
1.0,1274.0,1.0,75.0,0.0,0.0,0.0,0.0,-33.632792401711164
1.0,1278.0,0.0,0.0,0.0,0.0,0.0,0.0,37.395826991256186
1.0,1331.0,2.0,91.0,0.0,0.0,0.0,0.0,-48.71757182836754
1.0,1451.0,1.0,293.0,0.0,0.0,0.0,0.0,-239.7015002236908
1.0,1562.0,2.0,142.0,0.0,0.0,0.0,0.0,-97.01358674034762
1.0,1588.0,2.0,95.0,0.0,0.0,0.0,0.0,-52.617470251238245
1.0,1618.0,2.0,153.0,0.0,0.0,0.0,0.0,-107.39407813268323
1.0,1917.0,1.0,90.0,0.0,0.0,0.0,0.0,-47.96899669485683
1.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40344783184523
1.0,773.0,1.0,14.0,0.0,0.0,0.0,0.0,24.1609396585274
1.0,808.0,1.0,197.0,0.0,0.0,0.0,0.0,-148.90084522646248
1.0,889.0,2.0,238.0,0.0,0.0,0.0,0.0,-187.67566933375568
1.0,1062.0,0.0,0.0,0.0,0.0,0.0,0.0,37.38377175912205
1.0,1107.0,1.0,74.0,0.0,0.0,0.0,0.0,-32.599097378194955
1.0,1137.0,0.0,0.0,0.0,0.0,0.0,0.0,37.398260484415964
1.0,1230.0,2.0,55.0,0.0,0.0,0.0,0.0,-14.615794280438713
1.0,1269.0,2.0,128.0,0.0,0.0,0.0,0.0,-83.65596361935965
1.0,2145.0,1.0,54.0,0.0,0.0,0.0,0.0,-13.906763978425857
1.0,888.0,2.0,240.0,0.0,0.0,0.0,0.0,-189.57293745406412
1.0,1033.0,4.0,235.0,0.0,0.0,0.0,0.0,-184.89303326972237
1.0,1087.0,3.0,267.0,0.0,0.0,0.0,0.0,-215.15844033470597
1.0,1149.0,2.0,595.0,0.0,0.0,0.0,0.0,-525.3803038898989
1.0,1193.0,0.0,0.0,0.0,0.0,0.0,0.0,37.325524885926164
1.0,1307.0,1.0,67.0,0.0,0.0,0.0,0.0,-25.97979667137551
1.0,1456.0,2.0,608.0,0.0,0.0,0.0,0.0,-537.7043343903144
1.0,1774.0,0.0,0.0,0.0,0.0,0.0,0.0,37.23248290375841
1.0,1831.0,2.0,124.0,0.0,0.0,0.0,0.0,-80.03713397533312
1.0,2189.0,0.0,0.0,0.0,0.0,0.0,0.0,37.17888322496654
1.0,785.0,1.0,68.0,0.0,0.0,0.0,0.0,-26.903901662800557
1.0,862.0,2.0,147.0,0.0,0.0,0.0,0.0,-101.68551831997283
1.0,1053.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4001012125806
1.0,1120.0,3.0,188.0,0.0,0.0,0.0,0.0,-140.43636014802618
