rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction,rollout_live_samples,rollout_return_variance_live,rollout_value_mse_live,rollout_value_explained_variance_live,rollout_action_box_clip_fraction_live
1,1921,639,2560,0,7,9,3,30.48832599999878,63.00772302159446,-0.3448422036229298,-34.48422036229299,1.0,-0.03530540987849236,0.09253847301006317,0.042742129415273666,0.310847707092762,1921,0.16543793275307403,0.08919958793493765,0.5088344882366587,0.0
2,2578,2542,5120,0,9,29,13,40.085002100000565,64.31333079560855,-0.37670287416448794,-37.6702874164488,1.0,-0.041258553054649386,0.013230664446018637,0.028915198519825935,0.23687298111617566,657,0.03428017114109292,0.01885808724952468,0.49134003496156475,0.0
3,4289,3391,7680,1,13,45,18,52.48835959999997,81.71335573611644,-0.4026205090098954,-40.26205090098954,0.9230769230769231,-0.035466890343848395,0.07379446748424978,0.04823944717645645,0.25916031879537244,1711,0.19652869359061714,0.13032531966029287,0.3468584485251571,0.0
4,6261,3979,10240,2,22,62,23,66.99192309999489,93.45902774957773,-0.7044274969152542,-70.44274969152542,0.9545454545454546,-0.03716163101813032,0.07949499723811944,0.040525250136852264,0.20342463793026078,1972,0.5059352862042126,0.13160096243876276,0.7440817624123661,0.0
5,8083,4717,12800,3,32,84,29,80.6062901999976,100.27753392377609,-0.8637818756118922,-86.37818756118924,0.96875,-0.03612045597527986,0.046188686690900635,0.041748929768800735,0.2898926825627037,1822,0.4063260952200617,0.06966593943565463,0.8555193937757027,0.0
6,8711,6649,15360,3,39,90,33,86.10196970000106,101.17074011606371,-0.826466020089545,-82.64660200895452,0.9743589743589743,-0.028021071505333697,0.0351248098803418,0.05218812823295593,0.1790621168911457,628,0.10698887971998815,0.039502691967503736,0.663261740872795,0.0
7,9453,8467,17920,4,40,98,38,93.46074789999693,101.14406542214617,-0.8277346796836991,-82.77346796836989,0.95,-0.03393789559292296,0.02981220268540912,0.056455355137586594,0.20856166879336038,742,0.36995841940749213,0.04483415778263674,0.8795131285713177,0.0
8,11458,9022,20480,5,50,119,44,105.03808569999819,109.0842423835243,-0.7958231546101036,-79.58231546101037,0.96,-0.037116588643667375,0.05176795460283756,0.04228568822145462,0.28165641223842447,2005,0.41207336326427463,0.06541455632696196,0.8624990251764741,0.0
9,13293,9747,23040,5,56,129,47,116.14153319999605,114.45517924332388,-0.8002487917685863,-80.02487917685862,0.9642857142857143,-0.021118313836103134,0.03323473341085694,0.03534475713968277,0.19907622987573798,1835,0.4028834789580981,0.04032054678483859,0.9041663006543756,0.0
10,14933,10667,25600,6,60,143,51,127.22007339999982,117.37927514825677,-0.8346829990015677,-83.46829990015677,0.9666666666666667,-0.02527593293537696,0.04410568090776602,0.03477776423096657,0.23636819024880726,1640,0.47643617496652074,0.06071875743254627,0.8725817915591761,0.0
11,16302,11858,28160,6,67,161,58,136.45091410000168,119.4715338297598,-0.9269643749732582,-92.69643749732583,0.9701492537313433,-0.04836878920660207,0.09111516079620312,0.04578368365764618,0.2549902267361942,1369,0.2954748788179638,0.16431223107393308,0.5822681439185482,0.0
12,18094,12626,30720,7,70,197,68,148.09807129999535,122.17579770737073,-1.1164375126748076,-111.64375126748077,0.9714285714285714,-0.05166427102695043,0.04602758088023276,0.04538310319185257,0.322265625,1792,0.3001570948461829,0.07638015168696811,0.7781191529358242,0.0
13,19716,13564,33280,8,80,202,70,159.10355569999956,123.91929214439331,-1.0817786332038353,-108.17786332038354,0.975,-0.012588820032154521,0.050801134978731476,0.039192792028188705,0.1640019379556179,1622,0.3286987722037647,0.05443323484154013,0.8344754379475279,0.0
14,21010,14830,35840,9,90,206,72,168.00060239999584,125.05907538341374,-0.9946588916487049,-99.46588916487052,0.9777777777777777,-0.015072470158338546,0.06457870528101921,0.05318598449230194,0.24927951395511627,1294,0.12412974091016801,0.07574107459155562,0.4644020611311779,0.0
15,22904,15496,38400,9,99,224,77,179.86394799999835,127.34069420070892,-1.080645410881042,-108.06454108810422,0.9797979797979798,-0.03226206576647727,0.07628062308618896,0.040006447583436966,0.2424815312812203,1894,0.48778717327215687,0.1211904554016266,0.7828295251410253,0.0
16,25005,15955,40960,10,105,245,82,194.98516079999536,128.24052813767045,-1.0700096194223447,-107.00096194223448,0.98,-0.0392174714837562,0.04212814391675321,0.04825817048549652,0.24549910290674729,2101,0.3287606378877842,0.06834275680966916,0.7960010907923644,0.0
17,25977,17543,43520,11,110,257,89,203.29200200000196,127.78171174682883,-1.1033839619031847,-110.33839619031848,0.99,-0.04695945605635643,0.017671098574422874,0.046483542770147324,0.2793007935755528,972,0.05531019085198705,0.02376961866662511,0.5843665990061707,0.0
18,27852,18228,46080,12,120,267,92,217.2153468999968,128.2229842296673,-0.9816347496579219,-98.1634749657922,0.99,-0.03642184283076362,0.03724385831843723,0.044186413288116455,0.283987205136906,1875,0.12261954393835994,0.0427384294472752,0.6579872292705238,0.0
19,30032,18608,48640,13,130,276,94,234.6017070999951,128.01270873617025,-0.8367399907407339,-83.6739990740734,0.99,-0.025473647750914097,0.040406209602952006,0.026884350925683975,0.21890388280153275,2180,0.09605241476410764,0.04778909210509905,0.5050240247892042,0.0
20,31891,19309,51200,13,138,286,97,247.92926449999504,128.62943010908918,-0.822930364355327,-82.29303643553268,0.99,-0.022730557904155416,0.019543481990695,0.034555692225694656,0.25874480876055633,1859,0.10091580291349553,0.023686023829651525,0.7683543994341727,0.0
21,33304,20456,53760,14,140,303,103,262.13338099999964,127.04982430299499,-0.8011369313761376,-80.11369313761377,1.0,-0.045684478607856564,0.044564964870611824,0.042419806122779846,0.2663181618683868,1413,0.17985840705056283,0.07767368381575716,0.5887465836782678,0.0
22,34342,21978,56320,14,149,307,105,272.80092370000057,125.88667052229607,-0.8399758204959115,-83.99758204959116,1.0,-0.01907372511923313,0.0486474234610796,0.046706486493349075,0.2718191981315613,1038,0.06941835144612366,0.05099052477420868,0.2928774711845704,0.0
23,36036,22844,58880,15,158,318,108,286.6440619999994,125.71688995950691,-0.7860561868471712,-78.6056186847171,1.0,-0.03378895569282273,0.052821713499724865,0.04517204314470291,0.31525662541389465,1694,0.29534472023647873,0.06619488317332546,0.7761518555952218,0.0
24,37880,23560,61440,16,166,326,111,300.8796985000008,125.8974938782714,-0.6745973459158798,-67.45973459158799,1.0,-0.022399479523301125,0.04477063649230533,0.050475090742111206,0.21055984000364938,1844,0.3391733491678554,0.05093580793511366,0.8500897416787924,0.0
25,40008,23992,64000,17,171,336,114,315.94684369999595,126.62889596070528,-0.529637174400582,-52.96371744005821,1.0,-0.021536381491883236,0.10740134932778099,0.0474935807287693,0.24591619318181818,2128,0.46610600505138094,0.1815623459919535,0.7021047995732237,0.0
