rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction,rollout_live_samples,rollout_return_variance_live,rollout_value_mse_live,rollout_value_explained_variance_live,rollout_action_box_clip_fraction_live
1,4309,811,5120,2,20,1,1,32.905289999998786,130.95158863514527,-0.9916474095137644,-99.16474095137644,1.0,0.016201150603592396,0.17953728884458542,0.023031746968626976,0.23828125,4309,0.14781836213013222,0.17697013904814812,-0.040064458511835044,0.0
2,7462,2778,10240,2,35,41,11,44.26687799999854,168.56847234630473,-0.554969103524623,-55.49691035246232,1.0,-0.008779504327685572,0.03846505538094789,0.01815103366971016,0.17525890935212374,3153,0.13816375783644186,0.08247034667673843,0.4043394947933888,0.0
3,11399,3961,15360,4,44,81,21,61.505260799996904,185.3337397766237,-0.6513794325416914,-65.13794325416914,1.0,-0.009385083161760122,0.11478335233405232,0.008708938956260681,0.10638138428330421,3937,0.23527324717030473,0.2507994677020909,0.23096121039320883,0.0
4,13974,6506,20480,4,57,111,31,73.0572848999982,191.27455967091853,-1.5840682353887523,-158.40682353887522,1.0,-0.009062101331073791,0.07725640485684077,0.010010093450546265,0.11209504430492719,2575,0.31440827527366927,0.19069877460366813,0.45217528195777046,0.0
5,17596,8004,25600,7,77,151,41,87.48409309999988,201.1337075859797,-1.5277634860664553,-152.77634860664554,1.0,-0.008776402159128338,0.041480220900848505,0.010105907917022705,0.1401500353589654,3622,0.2059000261613526,0.06949257451308256,0.6793411901465037,0.0
6,21224,9496,30720,9,99,191,51,101.98461999999927,208.1098110675919,-1.2395048411274945,-123.95048411274946,1.0,-0.0078090739494655285,0.03179161534644663,0.013677090406417847,0.13995159342885016,3628,0.1861282458163014,0.05000919667830901,0.7457682523698896,0.0
7,25609,10231,35840,12,120,241,61,119.69519749999745,213.95177529992836,-1.3532934672368357,-135.32934672368359,1.0,-0.00737653031013906,0.07062024757266044,0.010303555056452751,0.1657189391553402,4385,0.29892296598594054,0.13110557457747782,0.5695856571317389,0.0
8,29267,11693,40960,13,139,281,71,137.78913329999705,212.40426802220568,-1.5928564177641906,-159.28564177641903,1.0,-0.00843795739565394,0.06351478109136224,0.01567581668496132,0.175094573199749,3658,0.27762311355805014,0.10445800456554714,0.634779140426336,0.0
9,32674,13406,46080,15,157,321,81,155.60004259999914,209.9870890395256,-1.0559430205506053,-105.59430205506051,1.0,-0.010893594913068228,0.049556776555255054,0.010459198616445065,0.1295160183683038,3407,0.1688603322800788,0.11198402166721994,0.35692943922598275,0.0
10,36386,14814,51200,16,175,361,91,171.5570090000001,212.0927627037376,-0.9168418233914528,-91.6841823391453,1.0,-0.012796528520993888,0.02934233848936856,0.01333538256585598,0.13074218751862646,3712,0.20864429307389856,0.054421272801201966,0.740443795070119,0.0
11,38844,17476,56320,18,186,391,101,185.14641800000027,209.8015204377324,-0.9275652160383737,-92.75652160383736,1.0,-0.013453647154771412,0.018176123220473527,0.013239346444606781,0.1293992944682638,2458,0.17053498880210458,0.02874851846932907,0.85629447562325,0.0
12,42571,18869,61440,19,199,431,111,202.4085309000002,210.3221628589962,-0.9582653568044204,-95.82653568044203,1.0,-0.010033620096510276,0.0471280780620873,0.010094884783029556,0.1285742934793234,3727,0.20558316250861672,0.10929696184655642,0.48205334708288194,0.0
13,46404,20156,66560,21,212,471,121,218.53960879999795,212.33679448226613,-0.9374249596516124,-93.74249596516125,1.0,-0.011686629342875676,0.020023559546098114,0.012981904670596123,0.1523075945675373,3833,0.11125736737158831,0.03199258279661043,0.714670451267202,0.0
