waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
1.0,632.0,3.0,248.0,0.0,0.0,0.0,0.0,-197.12334362666488
1.0,646.0,1.0,46.0,0.0,0.0,0.0,0.0,-6.092702205180366
1.0,656.0,0.0,0.0,0.0,0.0,0.0,0.0,37.402199808834055
1.0,691.0,1.0,61.0,0.0,0.0,0.0,0.0,-20.281120639413665
1.0,706.0,6.0,350.0,0.0,0.0,0.0,0.0,-293.58559911998697
1.0,719.0,1.0,61.0,0.0,0.0,0.0,0.0,-20.279640752881917
1.0,744.0,2.0,151.0,0.0,0.0,0.0,0.0,-105.39222297133043
1.0,769.0,3.0,271.0,0.0,0.0,0.0,0.0,-218.8750334794964
1.0,782.0,1.0,46.0,0.0,0.0,0.0,0.0,-6.094475230961315
1.0,804.0,1.0,59.0,0.0,0.0,0.0,0.0,-18.388188661654148
1.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0,37.37662549974506
1.0,830.0,0.0,0.0,0.0,0.0,0.0,0.0,37.33151042898627
1.0,886.0,3.0,606.0,0.0,0.0,0.0,0.0,-535.6861511553578
1.0,891.0,4.0,552.0,0.0,0.0,0.0,0.0,-484.61867489943984
1.0,899.0,2.0,207.0,0.0,0.0,0.0,0.0,-158.3526556276611
1.0,899.0,2.0,230.0,0.0,0.0,0.0,0.0,-180.10326298675045
1.0,949.0,0.0,0.0,0.0,0.0,0.0,0.0,37.400888913015095
1.0,960.0,0.0,0.0,0.0,0.0,0.0,0.0,37.33826342301373
1.0,982.0,0.0,0.0,0.0,0.0,0.0,0.0,37.32785549470318
1.0,1085.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40090876095289
1.0,646.0,0.0,0.0,0.0,0.0,0.0,0.0,37.409749600091935
1.0,710.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40887289947307
1.0,723.0,0.0,0.0,0.0,0.0,0.0,0.0,37.38368996690204
1.0,640.0,2.0,121.0,0.0,0.0,0.0,0.0,-77.03361103853598
1.0,701.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40835917101958
1.0,837.0,0.0,0.0,0.0,0.0,0.0,0.0,37.37767948424471
1.0,749.0,2.0,90.0,0.0,0.0,0.0,0.0,-47.72309485674771
1.0,934.0,1.0,57.0,0.0,0.0,0.0,0.0,-16.499564797100163
1.0,966.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40648471163952
1.0,850.0,2.0,91.0,0.0,0.0,0.0,0.0,-48.713083931597005
1.0,875.0,0.0,0.0,0.0,0.0,0.0,0.0,37.35358999978726
1.0,1002.0,0.0,0.0,0.0,0.0,0.0,0.0,37.390319214435024
1.0,940.0,3.0,181.0,0.0,0.0,0.0,0.0,-133.83125605123575
1.0,1241.0,0.0,0.0,0.0,0.0,0.0,0.0,37.317624134946634
1.0,1322.0,0.0,0.0,1.0,18.0,0.0,0.0,28.24719818402509
1.0,1687.0,2.0,107.0,0.0,0.0,0.0,0.0,-64.11453440934275
1.0,1726.0,1.0,56.0,0.0,0.0,0.0,0.0,-15.813591526942787
1.0,1704.0,1.0,23.0,0.0,0.0,0.0,0.0,15.39194434611019
1.0,1847.0,2.0,108.0,0.0,0.0,0.0,0.0,-65.04353676681922
1.0,1909.0,2.0,82.0,0.0,0.0,0.0,0.0,-40.46897558239537
1.0,904.0,1.0,322.0,0.0,0.0,0.0,0.0,-267.10831284178084
1.0,803.0,4.0,178.0,0.0,0.0,0.0,0.0,-131.0079986145543
1.0,814.0,0.0,0.0,0.0,0.0,0.0,0.0,37.387950288747405
1.0,838.0,5.0,455.0,0.0,0.0,0.0,0.0,-392.90058574028365
1.0,910.0,5.0,484.0,0.0,0.0,0.0,0.0,-420.40351836431086
1.0,1133.0,3.0,126.0,0.0,0.0,0.0,0.0,-81.88290793186573
1.0,1203.0,4.0,180.0,0.0,0.0,0.0,0.0,-132.945482170515
1.0,1276.0,5.0,280.0,0.0,0.0,0.0,0.0,-227.51692821751882
1.0,1303.0,5.0,225.0,0.0,0.0,0.0,0.0,-175.53612536417057
1.0,1316.0,4.0,174.0,0.0,0.0,0.0,0.0,-127.32445457078288
1.0,1620.0,5.0,850.0,0.0,0.0,0.0,0.0,-766.7286792581957
1.0,1861.0,7.0,1073.0,2.0,160.0,0.0,0.0,-1057.6743754972617
1.0,1938.0,3.0,1223.0,1.0,370.0,0.0,0.0,-1304.5603719424282
1.0,2047.0,4.0,221.0,2.0,180.0,0.0,0.0,-262.05368721794315
1.0,2173.0,2.0,108.0,0.0,0.0,0.0,0.0,-65.16935418499185
1.0,2235.0,3.0,437.0,0.0,0.0,0.0,0.0,-376.35970984057565
1.0,2275.0,5.0,1254.0,2.0,32.0,0.0,0.0,-1164.9638439718851
1.0,2342.0,4.0,1342.0,2.0,160.0,0.0,0.0,-1312.2844421784837
1.0,2160.0,5.0,236.0,0.0,0.0,0.0,0.0,-186.20055641388336
