rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction,rollout_live_samples,rollout_return_variance_live,rollout_value_mse_live,rollout_value_explained_variance_live,rollout_action_box_clip_fraction_live
1,4412,708,5120,1,13,50,10,52.94652970000243,83.32935180074318,-2.1638044818238407,-216.38044818238404,1.0,-0.008986962798517198,0.13072240576148034,0.010237904265522957,0.1751950651407242,4412,0.3267025229829433,0.25811118233902874,0.3858043278601604,0.0
2,7878,2362,10240,2,28,90,20,72.09062930000073,109.27911264605815,-1.5679453023447245,-156.79453023447243,1.0,-0.011007857317463277,0.017751678172498942,0.011312974616885185,0.12544155977666377,3466,0.09202064459773361,0.03292437595254232,0.642505929190639,0.0
3,11469,3891,15360,4,46,130,30,89.37107649999962,128.3301091265254,-1.1227205496567556,-112.27205496567554,1.0,-0.009986043785465882,0.021847458998672666,0.01210126280784607,0.12787973005324602,3591,0.06820756879184867,0.04233495888986729,0.41269973471008214,0.0
4,15242,5238,20480,6,63,170,40,113.0524800000021,134.82234091635775,-1.001338533870199,-100.1338533870199,1.0,-0.010392816935200245,0.03565208525396883,0.010525555349886417,0.11669437754899263,3773,0.08974564266217333,0.07460979903063407,0.2761726888666268,0.0
5,17557,8043,25600,6,77,200,50,137.6045763000002,127.59023334894695,-1.0179187441394846,-101.79187441394846,1.0,-0.009796448051929474,0.05836800541728735,0.010651773773133755,0.13880293642481167,2315,0.2019892577431416,0.19696749880529987,0.3330520054068591,0.0
6,20173,10547,30720,9,90,230,60,165.63661870000215,121.79070158717107,-1.2712907636138326,-127.12907636138324,1.0,-0.011987666917654375,0.032213623511294524,0.013207701034843922,0.12312894289692243,2616,0.14917301616750533,0.05518735609937985,0.6527642466613532,0.0
7,23905,11935,35840,11,110,270,70,194.27588699999978,123.04666507583633,-1.025330593524751,-102.53305935247512,1.0,-0.012133818538859486,0.02645343658514321,0.011011024937033653,0.1478913649916649,3732,0.11023208690549778,0.04600967438688639,0.5844269483255917,0.0
8,27438,13522,40960,13,130,310,80,220.40685660000236,124.48796023526116,-0.8784090335644319,-87.84090335644318,1.0,-0.007261946427752264,0.04108616202138364,0.017507970333099365,0.18369569536298513,3533,0.17025414274342107,0.06692901982800514,0.6188438478834279,0.0
9,31190,14890,46080,14,148,350,90,243.34115050000037,128.17396455927397,-0.8714647647807722,-87.14647647807723,1.0,-0.006258513175998815,0.021365469391457736,0.010731800459325314,0.17294634664431213,3752,0.11163205204295719,0.03303831387383356,0.7071358826165909,0.0
10,34621,16579,51200,16,166,390,100,263.55188500000077,131.3631279852159,-0.8165200395306335,-81.65200395306334,1.0,-0.007287389959674329,0.027471313904970884,0.010139216668903828,0.14210548549890517,3431,0.08434122561712273,0.05696624074568271,0.3405719247992881,0.0
11,38271,18049,56320,17,185,430,110,286.0372215000025,133.7972722546519,-0.5619726926417502,-56.19726926417503,1.0,-0.010306647943798453,0.01693129863124341,0.010630989447236061,0.13125194255262612,3650,0.07889319554517299,0.027827987048262153,0.6477281591501295,0.0
12,41706,19734,61440,19,196,470,120,310.61599240000214,134.26868229724707,-0.4068926399481652,-40.689263994816514,1.0,-0.009417587236384861,0.019436859246343374,0.00986204482614994,0.1423242324963212,3435,0.09734521234984031,0.03261629785905523,0.6651668059233972,0.0
13,44451,22109,66560,20,209,500,130,329.02221140000256,135.10030162054784,-0.39878141207921947,-39.87814120792195,1.0,-0.010139540575134257,0.025283642423649628,0.014574428088963032,0.17116399096945922,2745,0.11304228322004488,0.0410198485290986,0.6373605606832866,0.0
14,48166,23514,71680,23,230,540,140,349.3129359000013,137.88782220704417,-0.41367432233222956,-41.367432233222964,1.0,-0.009593543212395162,0.035313326958566905,0.012169948779046535,0.11300984779372811,3715,0.14565425361341613,0.07294313081678837,0.5212045352194068,0.0
