waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
1.0,643.0,5.0,511.0,0.0,0.0,0.0,0.0,-445.8434134994883
1.0,657.0,6.0,509.0,0.0,0.0,0.0,0.0,-443.9515512800684
1.0,823.0,0.0,0.0,0.0,0.0,0.0,0.0,37.36897740799165
1.0,901.0,0.0,0.0,0.0,0.0,0.0,0.0,37.405703666156214
1.0,931.0,0.0,0.0,0.0,0.0,0.0,0.0,37.362445241614324
1.0,978.0,2.0,108.0,0.0,0.0,0.0,0.0,-64.80628206642541
1.0,990.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4047055419571
1.0,1033.0,4.0,233.0,0.0,0.0,0.0,0.0,-182.94252725242228
1.0,1081.0,5.0,650.0,0.0,0.0,0.0,0.0,-577.3099722628979
1.0,1140.0,3.0,122.0,0.0,0.0,0.0,0.0,-78.05557313862805
1.0,1162.0,4.0,420.0,0.0,0.0,0.0,0.0,-359.8909441000499
1.0,1181.0,2.0,62.0,0.0,0.0,0.0,0.0,-21.392451616997327
1.0,1246.0,6.0,873.0,0.0,0.0,0.0,0.0,-788.2949430117344
1.0,1430.0,2.0,615.0,0.0,0.0,0.0,0.0,-544.3948063027376
1.0,682.0,0.0,0.0,0.0,0.0,0.0,0.0,37.409069012473786
1.0,1980.0,5.0,773.0,0.0,0.0,0.0,0.0,-693.9816231269739
1.0,783.0,1.0,18.0,0.0,0.0,0.0,0.0,20.385346191530342
1.0,2056.0,4.0,256.0,0.0,0.0,0.0,0.0,-205.07448076278547
1.0,830.0,1.0,18.0,0.0,0.0,0.0,0.0,20.38441754501338
1.0,849.0,0.0,0.0,0.0,0.0,0.0,0.0,37.407820248374556
1.0,887.0,1.0,60.0,0.0,0.0,0.0,0.0,-19.35300860856311
1.0,931.0,1.0,51.0,0.0,0.0,0.0,0.0,-10.824665430389906
1.0,2192.0,3.0,179.0,0.0,0.0,0.0,0.0,-132.34756467525722
1.0,1054.0,1.0,51.0,0.0,0.0,0.0,0.0,-10.859892824792638
1.0,1071.0,0.0,0.0,0.0,0.0,0.0,0.0,37.39085614311498
1.0,1080.0,1.0,60.0,0.0,0.0,0.0,0.0,-19.34161022311401
1.0,1098.0,0.0,0.0,0.0,0.0,0.0,0.0,37.404223555627674
1.0,2420.0,3.0,178.0,0.0,0.0,0.0,0.0,-131.50510093575662
1.0,2712.0,3.0,182.0,0.0,0.0,0.0,0.0,-135.3388262144329
1.0,2802.0,3.0,183.0,0.0,0.0,0.0,0.0,-136.28372897474975
1.0,634.0,1.0,96.0,0.0,0.0,0.0,0.0,-53.37825349455063
1.0,662.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4081909839446
1.0,781.0,1.0,65.0,0.0,0.0,0.0,0.0,-24.063349448596036
1.0,798.0,1.0,96.0,0.0,0.0,0.0,0.0,-53.37927407278857
1.0,798.0,3.0,148.0,0.0,0.0,0.0,0.0,-102.6101053300211
