rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction
1,5043,77,5120,0,1,50,10,25.467951000027824,198.01357400108435,4.862842103812653,4.862842103812653,1.0,-0.003983622055966407,378.02837646484375,0.010801935568451881,0.14093378767371179
2,9907,333,10240,0,1,100,20,38.87436880002497,254.84658158600473,4.862842103812653,4.862842103812653,1.0,-0.0056858940236270425,58.74079967498779,0.00918562151491642,0.06561197906732559
3,14917,443,15360,2,21,150,30,53.25832279998576,280.08767861544425,-362.3198626795811,-362.3198626795811,0.09523809523809523,-0.0044887424330227075,624.0928735351563,0.005053606815636158,0.055086031649261714
4,19781,699,20480,2,21,200,40,66.68258660001447,296.6441616707728,-362.3198626795811,-362.3198626795811,0.09523809523809523,-0.006112456337141339,161.40831466674805,0.005577114410698414,0.04583333346992731
5,24725,875,25600,4,40,250,50,79.8380425000214,309.6894566270631,-434.8494060971956,-434.8494060971956,0.05,-0.006640714379027485,344.467392578125,0.009523069486021996,0.08637676894664764
6,29845,875,30720,4,40,300,60,93.4302774000098,319.4360632391408,-434.8494060971956,-434.8494060971956,0.05,-0.005474330000579357,677.3895300292969,0.005153262987732887,0.04091796875
7,34965,875,35840,4,40,350,70,106.55145620001713,328.15131061525915,-434.8494060971956,-434.8494060971956,0.05,-0.0040321611566469075,62.05887351989746,0.0071601890958845615,0.05671875
8,40085,875,40960,6,60,400,80,120.13645859999815,333.662240981029,-450.54322849612873,-450.54322849612873,0.03333333333333333,-0.005663521643728017,310.7680981445312,0.008420092985033989,0.0790625
9,45205,875,46080,6,60,450,90,132.96301370003494,339.9817644174541,-450.54322849612873,-450.54322849612873,0.03333333333333333,-0.004247062117792666,75.31435813903809,0.006240597926080227,0.08099609375
10,50325,875,51200,8,80,457,92,145.07249290001346,346.8955347357606,-434.30332841446824,-434.30332841446824,0.025,0.01071665482595563,158.9341983795166,0.03481948375701904,0.206787109375
11,55445,875,56320,8,80,507,102,159.2898741000099,348.07611163776136,-434.30332841446824,-434.30332841446824,0.025,-0.0014144273940473796,512.2590423583985,0.004939073696732521,0.05595703125
12,60565,875,61440,10,100,557,112,174.75134780001827,346.57815669215495,-438.64092552196786,-438.64092552196786,0.02,-0.0033562783664092422,549.229497680664,0.006759838201105595,0.0753515625
13,65685,875,66560,10,100,607,122,191.9235689000343,342.2456156711676,-438.64092552196786,-438.64092552196786,0.02,-0.0049367094412446026,941.0275805664063,0.006704391445964575,0.060703125
14,70805,875,71680,10,100,657,132,207.32000499998685,341.5251702314231,-438.64092552196786,-438.64092552196786,0.02,-0.0012732995976693928,294.9300506591797,0.008682247251272202,0.05322265625
15,75925,875,76800,12,120,707,142,222.56472989998292,341.13671125752717,-470.8884437523669,-470.8884437523669,0.01,-0.004802092965692281,525.3466204833984,0.015593503601849079,0.11287109375
16,81045,875,81920,12,120,757,152,236.97919720003847,341.99204384842454,-470.8884437523669,-470.8884437523669,0.01,0.0009868054743856192,530.6781109619141,0.0042267912067472935,0.12033203125
17,86165,875,87040,14,140,793,160,249.54249670001445,345.2918887141799,-481.50757456156583,-481.50757456156583,0.0,0.0022651282598491053,553.9479848500845,0.040684930980205536,0.15503589527027026
18,91285,875,92160,14,140,797,161,261.58739350002725,348.96559340498374,-481.50757456156583,-481.50757456156583,0.0,0.007207147404551506,452.9212707519531,0.024001365527510643,0.2478515625
19,96405,875,97280,16,160,847,171,274.65459530003136,351.00450401963104,-490.3092898530652,-490.3092898530652,0.0,-0.0039020199701189995,717.7699304199218,0.014306338503956795,0.1412109375
20,101525,875,102400,16,160,897,181,288.4811242999858,351.92943817851375,-490.3092898530652,-490.3092898530652,0.0,0.0013387174159288405,89.12555191040039,0.0296352319419384,0.19830078125
