waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
1.0,895.0,0.0,0.0,2.0,65.0,0.0,0.0,4.862842103812653
0.0,3000.0,3.0,279.0,0.0,0.0,1.0,2069.0,-542.969038040078
0.0,3000.0,1.0,78.0,2.0,379.0,1.0,1549.0,-472.5508481944807
0.0,3000.0,1.0,74.0,2.0,519.0,1.0,1445.0,-524.9845899439906
0.0,3000.0,1.0,52.0,1.0,125.0,1.0,1805.0,-355.44737823628753
0.0,3000.0,1.0,98.0,0.0,0.0,1.0,1578.0,-305.90402251340885
0.0,3000.0,1.0,74.0,0.0,0.0,1.0,2155.0,-360.6985880104837
0.0,3000.0,1.0,354.0,1.0,64.0,1.0,1157.0,-523.2805830864195
0.0,3000.0,2.0,406.0,1.0,50.0,1.0,1286.0,-582.7783261037017
0.0,3000.0,1.0,103.0,0.0,0.0,2.0,1603.0,-313.68211340562414
0.0,3000.0,0.0,0.0,2.0,272.0,1.0,1619.0,-354.51191828922254
0.0,3000.0,0.0,0.0,1.0,167.0,1.0,1668.0,-308.686355774459
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,1884.0,-253.9737739643862
0.0,3000.0,0.0,0.0,2.0,480.0,1.0,1803.0,-483.02916175760026
0.0,3000.0,1.0,41.0,0.0,0.0,1.0,1336.0,-219.44150903414106
0.0,3000.0,0.0,0.0,1.0,399.0,1.0,1927.0,-459.38732047900595
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,2458.0,-331.28138222164023
0.0,3000.0,0.0,0.0,1.0,404.0,1.0,2049.0,-478.5177116580722
0.0,3000.0,0.0,0.0,1.0,148.0,1.0,1657.0,-297.7030816631368
0.0,3000.0,1.0,41.0,0.0,0.0,1.0,2071.0,-318.14268350744464
1.0,730.0,0.0,0.0,1.0,328.0,0.0,0.0,-126.60957249143173
0.0,3000.0,2.0,79.0,1.0,29.0,1.0,1773.0,-328.5185536996784
0.0,3000.0,0.0,0.0,1.0,104.0,1.0,1873.0,-304.7364590948281
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,2030.0,-273.7628529303065
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,1691.0,-228.4841599506208
0.0,3000.0,2.0,272.0,1.0,86.0,1.0,1686.0,-527.7228028156676
0.0,3000.0,1.0,35.0,1.0,220.0,1.0,2111.0,-427.90436495697435
0.0,3000.0,1.0,213.0,3.0,666.0,1.0,1362.0,-718.3390179655545
0.0,3000.0,2.0,126.0,0.0,0.0,1.0,2249.0,-422.25268423162726
0.0,3000.0,2.0,111.0,1.0,35.0,1.0,1279.0,-295.55678954548296
0.0,3000.0,1.0,57.0,2.0,555.0,1.0,1607.0,-548.4700001603535
0.0,3000.0,3.0,201.0,1.0,642.0,1.0,1607.0,-728.0887270835791
0.0,3000.0,1.0,102.0,2.0,707.0,1.0,1516.0,-654.7332278523147
0.0,3000.0,1.0,43.0,4.0,643.0,1.0,1755.0,-599.0292980018422
0.0,3000.0,2.0,116.0,1.0,132.0,1.0,1780.0,-416.0409400158893
0.0,3000.0,2.0,178.0,3.0,1009.0,1.0,976.0,-805.4100469058287
0.0,3000.0,1.0,52.0,1.0,300.0,1.0,1584.0,-413.2484070526862
0.0,3000.0,1.0,48.0,4.0,983.0,1.0,1245.0,-705.5989510199544
0.0,3000.0,2.0,105.0,3.0,872.0,1.0,1404.0,-725.1406083336724
0.0,3000.0,2.0,170.0,2.0,478.0,1.0,1944.0,-662.2212359997594
0.0,3000.0,0.0,0.0,1.0,13.0,1.0,1353.0,-189.48173327306864
0.0,3000.0,1.0,25.0,1.0,16.0,1.0,1444.0,-226.98090146842188
0.0,3000.0,1.0,113.0,1.0,28.0,2.0,1878.0,-374.45345974025724
0.0,3000.0,0.0,0.0,3.0,120.0,1.0,1731.0,-293.845797721688
0.0,3000.0,2.0,86.0,3.0,496.0,1.0,1770.0,-568.4503548803167
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,2264.0,-305.21931957305566
0.0,3000.0,0.0,0.0,2.0,516.0,1.0,2032.0,-532.1442076716017
0.0,3000.0,1.0,113.0,1.0,36.0,1.0,1024.0,-263.80223003312074
0.0,3000.0,0.0,0.0,2.0,921.0,1.0,1302.0,-636.7596117000077
0.0,3000.0,1.0,61.0,1.0,290.0,1.0,1833.0,-450.1213746306527
0.0,3000.0,0.0,0.0,4.0,566.0,1.0,1768.0,-521.6061235226829
0.0,3000.0,2.0,191.0,3.0,814.0,1.0,1545.0,-796.610589585472
0.0,3000.0,0.0,0.0,4.0,888.0,1.0,1443.0,-639.4076918529126
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,2403.0,-324.23185446932155
0.0,3000.0,4.0,353.0,5.0,793.0,1.0,1584.0,-944.5876691982145
0.0,3000.0,2.0,139.0,4.0,776.0,1.0,1486.0,-720.5030734109358
0.0,3000.0,2.0,136.0,2.0,371.0,1.0,1366.0,-498.87702949387864
0.0,3000.0,1.0,81.0,1.0,126.0,1.0,1878.0,-393.0378440050715
0.0,3000.0,1.0,81.0,3.0,571.0,1.0,1252.0,-531.686059910315
0.0,3000.0,2.0,105.0,2.0,190.0,1.0,1722.0,-426.8105397389049
0.0,3000.0,1.0,70.0,0.0,0.0,1.0,2468.0,-398.98314167664796
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,2014.0,-271.9154893333649
0.0,3000.0,1.0,81.0,1.0,175.0,1.0,2012.0,-435.76312046458185
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,1675.0,-226.29317121022822
0.0,3000.0,1.0,106.0,0.0,0.0,1.0,2372.0,-420.24227371686214
0.0,3000.0,1.0,70.0,0.0,0.0,1.0,2447.0,-396.3532781025054
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,1861.0,-251.22899192611175
0.0,3000.0,1.0,106.0,0.0,0.0,1.0,2409.0,-425.3248036340709
0.0,3000.0,1.0,81.0,1.0,420.0,1.0,1722.0,-519.3177375665299
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,2305.0,-311.0330060215223
0.0,3000.0,1.0,133.0,2.0,866.0,1.0,931.0,-685.132111660101
0.0,3000.0,2.0,166.0,1.0,20.0,1.0,1863.0,-418.70916882297774
