completion_index,native_return,unscaled_learning_return,learning_return,shaping_return
0,4.862842103812653,4.862842103812653,4.862842103812653,0.0
1,-542.969038040078,-542.969038040078,-542.969038040078,0.0
2,-472.5508481944807,-472.5508481944807,-472.5508481944807,0.0
3,-524.9845899439906,-524.9845899439906,-524.9845899439906,0.0
4,-355.44737823628753,-355.44737823628753,-355.44737823628753,0.0
5,-305.90402251340885,-305.90402251340885,-305.90402251340885,0.0
6,-360.6985880104837,-360.6985880104837,-360.6985880104837,0.0
7,-523.2805830864195,-523.2805830864195,-523.2805830864195,0.0
8,-582.7783261037017,-582.7783261037017,-582.7783261037017,0.0
9,-313.68211340562414,-313.68211340562414,-313.68211340562414,0.0
10,-354.51191828922254,-354.51191828922254,-354.51191828922254,0.0
11,-308.686355774459,-308.686355774459,-308.686355774459,0.0
12,-253.9737739643862,-253.9737739643862,-253.9737739643862,0.0
13,-483.02916175760026,-483.02916175760026,-483.02916175760026,0.0
14,-219.44150903414106,-219.44150903414106,-219.44150903414106,0.0
15,-459.38732047900595,-459.38732047900595,-459.38732047900595,0.0
16,-331.28138222164023,-331.28138222164023,-331.28138222164023,0.0
17,-478.5177116580722,-478.5177116580722,-478.5177116580722,0.0
18,-297.7030816631368,-297.7030816631368,-297.7030816631368,0.0
19,-318.14268350744464,-318.14268350744464,-318.14268350744464,0.0
20,-126.60957249143173,-126.60957249143173,-126.60957249143173,0.0
21,-328.5185536996784,-328.5185536996784,-328.5185536996784,0.0
22,-304.7364590948281,-304.7364590948281,-304.7364590948281,0.0
23,-273.7628529303065,-273.7628529303065,-273.7628529303065,0.0
24,-228.4841599506208,-228.4841599506208,-228.4841599506208,0.0
25,-527.7228028156676,-527.7228028156676,-527.7228028156676,0.0
26,-427.90436495697435,-427.90436495697435,-427.90436495697435,0.0
27,-718.3390179655545,-718.3390179655545,-718.3390179655545,0.0
28,-422.25268423162726,-422.25268423162726,-422.25268423162726,0.0
29,-295.55678954548296,-295.55678954548296,-295.55678954548296,0.0
30,-548.4700001603535,-548.4700001603535,-548.4700001603535,0.0
31,-728.0887270835791,-728.0887270835791,-728.0887270835791,0.0
32,-654.7332278523147,-654.7332278523147,-654.7332278523147,0.0
33,-599.0292980018422,-599.0292980018422,-599.0292980018422,0.0
34,-416.0409400158893,-416.0409400158893,-416.0409400158893,0.0
35,-805.4100469058287,-805.4100469058287,-805.4100469058287,0.0
36,-413.2484070526862,-413.2484070526862,-413.2484070526862,0.0
37,-705.5989510199544,-705.5989510199544,-705.5989510199544,0.0
38,-725.1406083336724,-725.1406083336724,-725.1406083336724,0.0
39,-662.2212359997594,-662.2212359997594,-662.2212359997594,0.0
40,-189.48173327306864,-189.48173327306864,-189.48173327306864,0.0
41,-226.98090146842188,-226.98090146842188,-226.98090146842188,0.0
42,-374.45345974025724,-374.45345974025724,-374.45345974025724,0.0
43,-293.845797721688,-293.845797721688,-293.845797721688,0.0
44,-568.4503548803167,-568.4503548803167,-568.4503548803167,0.0
45,-305.21931957305566,-305.21931957305566,-305.21931957305566,0.0
46,-532.1442076716017,-532.1442076716017,-532.1442076716017,0.0
47,-263.80223003312074,-263.80223003312074,-263.80223003312074,0.0
