episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL006,1,958.0,0,0.0,0,0.0,0,0.0,0.9200039294104002
0,KL0010,1,1059.0,0,0.0,0,0.0,0,0.0,0.8182889890670136
0,KL001,0,3000.0,0,0.0,0,0.0,1,2491.0,-2496.9528690949264
0,KL002,0,3000.0,0,0.0,0,0.0,1,944.0,-949.5588223032809
0,KL003,0,3000.0,1,254.0,3,304.0,1,473.0,-1036.8847311950742
0,KL004,0,3000.0,0,0.0,3,614.0,1,839.0,-1459.2743168546565
0,KL005,0,3000.0,1,391.0,1,329.0,1,1951.0,-2676.5343131845857
0,KL007,0,3000.0,0,0.0,0,0.0,1,2142.0,-2146.95980560893
0,KL008,0,3000.0,1,391.0,2,124.0,1,2080.0,-2600.307655478106
0,KL009,0,3000.0,1,254.0,5,341.0,1,1081.0,-1681.5825761051617
