rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100
1,1280,0,1280,0,0,20,2,32.70014979998814,39.14355156869845,
2,2560,0,2560,0,0,40,4,37.55726639996283,68.16257532530466,
3,3840,0,3840,0,0,60,6,43.18484699999681,88.92007884155024,
4,5120,0,5120,0,0,80,8,49.385550900013186,103.67404851605357,
5,6400,0,6400,0,0,100,10,53.1563676999649,120.39949825247795,
6,7680,0,7680,0,0,120,12,57.64050069998484,133.23964758692702,
7,8960,0,8960,0,0,140,14,62.18443309998838,144.08750797153562,
8,10240,0,10240,0,0,160,16,68.0435672000167,150.49181607276884,
9,11520,0,11520,0,0,180,18,73.25967369996943,157.24885763454893,
10,12800,0,12800,2,20,200,20,77.9489643999841,164.21000713131488,-383.780881672446
