waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0.0,3000.0,1.0,64.0,0.0,0.0,1.0,2255.0,-364.3017117752874
0.0,3000.0,1.0,105.0,4.0,669.0,1.0,636.0,-520.2336379749768
0.0,3000.0,0.0,0.0,2.0,395.0,1.0,1934.0,-458.7090321771342
0.0,3000.0,1.0,92.0,0.0,0.0,1.0,1944.0,-349.0739580185098
0.0,3000.0,1.0,64.0,4.0,452.0,1.0,85.0,-299.0534838843228
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,2612.0,-351.92134433475474
0.0,3000.0,1.0,105.0,1.0,124.0,0.0,0.0,-162.46125839749692
0.0,3000.0,0.0,0.0,3.0,851.0,1.0,1369.0,-610.5951441374882
0.0,3000.0,2.0,123.0,1.0,267.0,1.0,1788.0,-491.1811658258623
0.0,3000.0,1.0,31.0,3.0,928.0,0.0,0.0,-494.35809041551124
0.0,3000.0,1.0,50.0,0.0,0.0,1.0,1571.0,-259.4826792733244
0.0,3000.0,1.0,72.0,0.0,0.0,1.0,1753.0,-304.71161195527884
0.0,3000.0,1.0,103.0,0.0,0.0,1.0,1553.0,-306.9564781110005
0.0,3000.0,1.0,65.0,5.0,679.0,0.0,0.0,-401.8110769609789
0.0,3000.0,1.0,50.0,0.0,0.0,1.0,2041.0,-322.5439004324289
0.0,3000.0,1.0,65.0,0.0,0.0,1.0,1727.0,-294.4347414765345
0.0,3000.0,1.0,72.0,2.0,434.0,1.0,1408.0,-475.1418052107417
0.0,3000.0,1.0,103.0,1.0,80.0,1.0,1447.0,-332.51615336652145
0.0,3000.0,1.0,19.0,1.0,111.0,1.0,1631.0,-293.70237398279085
0.0,3000.0,1.0,19.0,7.0,1127.0,0.0,0.0,-582.427985737975
