rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction,rollout_live_samples,rollout_return_variance_live,rollout_value_mse_live,rollout_value_explained_variance_live,rollout_action_box_clip_fraction_live
1,1672,888,2560,0,9,1,1,32.941661299999396,50.75639582269734,-1.2735385222655158,-127.35385222655158,1.0,0.03145678015425801,0.1792965680360794,0.03968130797147751,0.2978515625,1672,0.17852559928461312,0.1667747049225419,0.13133846204445565,0.0
2,3026,2094,5120,1,10,31,11,45.69483570000011,66.22192538050842,-1.1090905507701918,-110.90905507701919,1.0,-0.010313175820435087,0.05443814406171441,0.01481503713876009,0.20331794569889705,1354,0.1060585598779568,0.03754339808057775,0.7081564417036457,0.0
3,5116,2564,7680,2,20,81,21,68.98747880000155,74.15838481112728,-0.6939061492733349,-69.3906149273335,1.0,-0.01065389103256166,0.031531950924545527,0.013902041129767895,0.18194940574467183,2090,0.14534101266453783,0.09038153524909827,0.38325791330939607,0.0
4,6285,3955,10240,2,29,104,29,84.54856870000367,74.33597157984447,-1.0016048883664979,-100.16048883664978,1.0,-0.010598839328546697,0.02059831020111839,0.034480541944503784,0.21357253566384315,1169,0.1485418134542203,0.0384478050107329,0.7412047084029122,0.0
5,8247,4553,12800,3,39,144,39,99.8374130000011,82.60430385951516,-1.0091633192937812,-100.9163319293781,1.0,-0.012495156436125398,0.029509272100403904,0.015012126415967941,0.17454977259039878,1962,0.22676740449278585,0.06859559436440421,0.7074862182067586,0.0
6,9969,5391,15360,4,43,184,49,114.20616249999875,87.28951031867574,-1.0533966218535047,-105.33966218535043,1.0,-0.016230785177322106,0.03556834473274648,0.013812439516186714,0.1594731812365353,1722,0.36665164050530896,0.07645324202591326,0.8114942052000131,0.0
7,11779,6141,17920,5,50,224,59,131.4333540000007,89.61956490891907,-1.0284127990638825,-102.84127990638825,1.0,-0.015231526875868439,0.010892392264213412,0.016510123386979103,0.2062735227867961,1810,0.13185158954397194,0.018130184677343262,0.862600789366325,0.0
8,13045,7435,20480,6,60,254,69,142.30472900000314,91.6694764233711,-0.8688493343799178,-86.88493343799178,1.0,-0.017336617254962525,0.009172188428541025,0.01803424395620823,0.19101831515630086,1266,0.1765919526451447,0.016578470453400655,0.9074948541305797,0.0
9,15161,7879,23040,7,70,304,79,159.35835300000326,95.13778044631077,-0.7972115715183486,-79.72115715183486,1.0,-0.011754527250304818,0.029013187941163778,0.02950125001370907,0.2228262872993946,2116,0.367383630341693,0.07385282393059213,0.7996487377092898,0.0
10,16667,8933,25600,8,80,334,89,171.06587890000083,97.43030057877849,-0.8475683212775756,-84.75683212775756,1.0,-0.017087078009111186,0.014186646416783332,0.021569959819316864,0.1820323326314489,1506,0.21239817887792417,0.024437650011432117,0.8898283995213563,0.0
