time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/std,train/clip_fraction,train/entropy_loss,train/explained_variance,train/approx_kl,train/loss,train/clip_range,train/n_updates,train/value_loss,train/policy_gradient_loss,train/learning_rate
2560,157.33333333333334,202,12,1,-1.2735385222655158,,,,,,,,,,,
5120,180.6,210,12,1,-1.1090905507701918,0.05001496151089668,0.2978515625,3.1532881259918213,0.13434553146362305,0.039681308,0.1884688138961792,0.2,1,0.1792965680360794,0.03145678015425801,0.0003
7680,191.8,115,22,1,-0.6939061492733349,0.05018731206655502,0.20331794569889705,3.149827782313029,0.8430805802345276,0.014815037,0.030101574957370758,0.2,11,0.05443814406171441,-0.010313175820435087,0.0003
10240,203.48275862068965,169,15,1,-1.0016048883664979,0.05039674788713455,0.18194940574467183,3.1419870328903197,0.49133843183517456,0.013902041,-0.013541363179683685,0.2,21,0.031531950924545527,-0.01065389103256166,0.0003
12800,205.05128205128204,175,14,1,-1.0091633192937812,0.050380200147628784,0.21357253566384315,3.1383527417977652,0.7427346706390381,0.034480542,0.04618949815630913,0.2,29,0.02059831020111839,-0.010598839328546697,0.0003
15360,203.8372093023256,186,13,1,-1.0533966218535047,0.050456851720809937,0.17454977259039878,3.1369427382946014,0.7161750793457031,0.015012126,0.03897898644208908,0.2,39,0.029509272100403904,-0.012495156436125398,0.0003
17920,207.58,154,16,1,-1.0284127990638825,0.05054999887943268,0.1594731812365353,3.133265030384064,0.82616126537323,0.0138124395,0.01424623467028141,0.2,49,0.03556834473274648,-0.016230785177322106,0.0003
20480,209.75,246,10,1,-0.8688493343799178,0.05082090571522713,0.2062735227867961,3.127209949493408,0.8699132800102234,0.016510123,0.017612574622035027,0.2,59,0.010892392264213412,-0.015231526875868439,0.0003
23040,205.3,155,16,1,-0.7972115715183486,0.05088365077972412,0.19101831515630086,3.118763009707133,0.9077622890472412,0.018034244,-0.0018061024602502584,0.2,69,0.009172188428541025,-0.017336617254962525,0.0003
25600,206.5875,227,11,1,-0.8475683212775756,0.05095218867063522,0.2228262872993946,3.1178297185897828,0.8202515244483948,0.02950125,0.025763466954231262,0.2,79,0.029013187941163778,-0.011754527250304818,0.0003
28160,205.92045454545453,158,16,1,-0.821459883645693,0.05113782733678818,0.1820323326314489,3.112679855028788,0.889413058757782,0.02156996,0.015018750913441181,0.2,89,0.014186646416783332,-0.017087078009111186,0.0003
30720,205.5408163265306,155,16,1,-0.7840471808716152,0.05090370029211044,0.17213534568436445,3.1120083808898924,0.8534818291664124,0.017014245,0.026214618235826492,0.2,99,0.019723804062232377,-0.010794554368476383,0.0003
33280,206.81,159,16,1,-0.7578831882352633,0.050960391759872437,0.2188548520207405,3.117447054386139,0.852947473526001,0.029503353,0.031610019505023956,0.2,109,0.014414039812982083,-0.005987490643747151,0.0003
35840,214.83,239,10,1,-0.722710197172173,0.05125683918595314,0.18073090329766273,3.1097447538375853,0.8119931817054749,0.014820424,0.01699436642229557,0.2,119,0.012974513713270425,-0.008008052916266025,0.0003
38400,221.09,132,19,1,-0.7323163793959272,0.05127175897359848,0.1702996009029448,3.103379964828491,0.7776780128479004,0.019097649,0.009866342879831791,0.2,129,0.008253215416334569,-0.01514612019618653,0.0003
40960,219.55,90,28,1,-0.7431131612240535,0.05150827020406723,0.16089409763614337,3.0990317742029827,0.8735378384590149,0.01815983,0.006607642397284508,0.2,139,0.019472843781113625,-0.010454437408285836,0.0003
43520,217.13,226,11,1,-0.6776922719563152,0.05152539163827896,0.1665206978097558,3.0933557510375977,0.8371672630310059,0.014906519,0.012410664930939674,0.2,149,0.0294605509378016,-0.01331895752955461,0.0003
46080,219.23,245,10,1,-0.6723223287324609,0.05168992280960083,0.17175520807504654,3.091203010082245,0.7913769483566284,0.0199062,0.015478743240237236,0.2,159,0.00702511704294011,-0.01913672322407365,0.0003
48640,222.18,127,20,1,-0.6739348999929762,0.051832228899002075,0.21907952874898912,3.0839494943618773,0.7424283027648926,0.029457714,-0.0003866981714963913,0.2,169,0.00666248828638345,-0.01794774665904697,0.0003
