waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
1.0,629.0,3.0,144.0,0.0,0.0,0.0,0.0,-98.77084565618175
1.0,651.0,0.0,0.0,0.0,0.0,0.0,0.0,37.409183235927756
1.0,675.0,3.0,285.0,0.0,0.0,0.0,0.0,-232.1153669786255
1.0,722.0,3.0,180.0,0.0,0.0,0.0,0.0,-132.81758104647753
1.0,810.0,3.0,205.0,0.0,0.0,0.0,0.0,-156.46072654132718
1.0,836.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40726409654572
1.0,904.0,5.0,384.0,0.0,0.0,0.0,0.0,-325.7409852600778
1.0,916.0,3.0,235.0,0.0,0.0,0.0,0.0,-184.832528396653
1.0,918.0,2.0,135.0,0.0,0.0,0.0,0.0,-90.26308349209489
1.0,1947.0,0.0,0.0,0.0,0.0,0.0,0.0,37.094119268772474
1.0,722.0,1.0,57.0,0.0,0.0,0.0,0.0,-16.496797554285813
1.0,887.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40480237960578
1.0,978.0,1.0,62.0,0.0,0.0,0.0,0.0,-21.271399549288226
1.0,982.0,3.0,171.0,0.0,0.0,0.0,0.0,-124.34487735107041
1.0,993.0,2.0,115.0,0.0,0.0,0.0,0.0,-71.35519666573498
1.0,1037.0,3.0,168.0,0.0,0.0,0.0,0.0,-121.47228528470102
1.0,1075.0,1.0,63.0,0.0,0.0,0.0,0.0,-22.19330025765614
1.0,1077.0,1.0,54.0,0.0,0.0,0.0,0.0,-13.686420943745567
1.0,1129.0,0.0,0.0,0.0,0.0,0.0,0.0,37.38078402799174
1.0,1246.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3129434224063
1.0,680.0,1.0,65.0,0.0,0.0,0.0,0.0,-24.060888416109137
1.0,789.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40703076487546
1.0,927.0,0.0,0.0,0.0,0.0,0.0,0.0,37.35774198338044
1.0,967.0,2.0,109.0,0.0,0.0,0.0,0.0,-65.73755956896845
1.0,1185.0,6.0,353.0,0.0,0.0,0.0,0.0,-296.53435972759763
1.0,1253.0,2.0,543.0,0.0,0.0,0.0,0.0,-476.2965376097761
1.0,1411.0,2.0,127.0,0.0,0.0,0.0,0.0,-82.84962130902844
1.0,1440.0,3.0,628.0,0.0,0.0,0.0,0.0,-556.6125437644648
1.0,1658.0,2.0,134.0,0.0,0.0,0.0,0.0,-89.51514006848507
1.0,1947.0,4.0,239.0,0.0,0.0,0.0,0.0,-188.89042010386783
1.0,652.0,2.0,95.0,0.0,0.0,0.0,0.0,-52.44292228436699
1.0,656.0,0.0,0.0,0.0,0.0,0.0,0.0,37.409475449123605
1.0,864.0,0.0,0.0,0.0,0.0,0.0,0.0,37.406289502935515
1.0,868.0,4.0,422.0,0.0,0.0,0.0,0.0,-361.7564568314673
1.0,921.0,0.0,0.0,0.0,0.0,0.0,0.0,37.36176912011863
1.0,1000.0,3.0,158.0,0.0,0.0,0.0,0.0,-112.08925051221651
1.0,1116.0,1.0,20.0,0.0,0.0,0.0,0.0,18.48065465109149
1.0,1181.0,3.0,164.0,0.0,0.0,0.0,0.0,-117.79776766526014
1.0,1249.0,3.0,387.0,0.0,0.0,0.0,0.0,-328.76414030899264
1.0,1666.0,0.0,0.0,0.0,0.0,0.0,0.0,37.226447192839686
