rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction,rollout_live_samples,rollout_return_variance_live,rollout_value_mse_live,rollout_value_explained_variance_live,rollout_action_box_clip_fraction_live
1,1672,888,2560,0,9,2,1,25.030070499997237,66.79965204253757,-1.2735385222655158,-127.35385222655158,1.0,0.014250827642778555,0.16140155494213104,0.02810039557516575,0.2981770833333333,1672,0.21877143744802752,0.16823209301841485,0.2674062162146589,0.0
2,3053,2067,5120,1,10,32,11,35.54354299999977,85.89464477415827,-1.1090902035850618,-110.90902035850618,1.0,-0.016489182435907423,0.017613320766637724,0.013860774226486683,0.17952993810176848,1381,0.08162744027336867,0.04884682241927406,0.43419508692545816,0.0
3,5185,2495,7680,2,21,48,15,45.62092949999351,113.65397541934647,-0.6570014930481842,-65.70014930481842,1.0,0.001649433171705288,0.05752003192901611,0.04086723178625107,0.1552542895078659,2132,0.17229324698706278,0.10556767235989412,0.40723601630430883,0.0
4,6525,3715,10240,3,30,78,25,52.34457389999443,124.65475432976434,-0.9731652135932589,-97.31652135932589,1.0,-0.017405026219785215,0.015978632603461544,0.02096940018236637,0.17948971490065257,1340,0.15515151163013863,0.03133839468192043,0.798410465649636,0.0
5,7991,4809,12800,3,39,108,35,59.969651699997485,133.25073221994944,-0.9490118922617694,-94.90118922617695,1.0,-0.013905813616778081,0.028009980854888757,0.014794643968343735,0.1677080397804578,1466,0.2464187527681168,0.07367298698615858,0.7079283851773195,0.0
6,9896,5464,15360,4,47,148,45,68.99680289999378,143.42693551096252,-0.9441801057723378,-94.41801057723376,1.0,-0.013185620843432843,0.03175320215523243,0.013821762055158615,0.15700359372422099,1905,0.325410994898856,0.06900475330499792,0.8042825648549383,0.0
7,11904,6016,17920,5,58,188,55,79.72342819999903,149.3162081557369,-0.8428172744112116,-84.28172744112116,1.0,-0.01686668683687458,0.013713915995322169,0.016299841925501823,0.16004535257816316,2008,0.11085385909497272,0.02647964215982229,0.7648243555885246,0.0
8,13676,6804,20480,6,69,228,65,88.31563879999885,154.8536610936021,-0.7560360509287793,-75.60360509287793,1.0,-0.017736637583584524,0.025299099902622402,0.02270675264298916,0.19091052068397402,1772,0.30747915958114846,0.05612860599187804,0.8174557253309904,0.0
9,15658,7382,23040,7,78,268,75,98.12831549999828,159.56658300121615,-0.7933537165905563,-79.33537165905561,1.0,-0.013797775626881049,0.030224491842091084,0.016831399872899055,0.17047256035730243,1982,0.3187515094081664,0.06899497591994559,0.8004766375226157,0.0
10,17635,7965,25600,8,87,308,85,108.86008749999746,161.9969302339612,-0.8942936973655964,-89.42936973655962,1.0,-0.011306844087084756,0.03836550009436905,0.0143116544932127,0.15145465731620789,1977,0.38291331532200945,0.09073832442679877,0.7741048991160762,0.0
11,19494,8666,28160,9,98,348,95,118.15518439999869,164.9864125640535,-0.8332292760077908,-83.32292760077908,1.0,-0.016206344799138607,0.01985400039702654,0.015078848227858543,0.20125184468925,1859,0.2587725203085018,0.04709467907561199,0.828193836943007,0.0
12,21579,9141,30720,10,105,398,105,130.25544309999532,165.66678126022032,-0.77499924968266,-77.499924968266,1.0,-0.014737597743514925,0.02336806394159794,0.02018030919134617,0.24258023560047148,2085,0.187145165866927,0.047893140336188654,0.7455251656822831,0.0
13,22377,10903,33280,10,108,418,115,135.72682050000003,164.8679304323643,-0.8147818377765449,-81.47818377765451,1.0,-0.008484796508491854,0.07982600880786776,0.010768366977572441,0.12249166946858167,798,0.27398754204415565,0.11230299804499388,0.6490708332272388,0.0
14,23913,11927,35840,11,110,448,125,144.51826909999363,165.4669693245105,-0.8769595151636012,-87.69595151636011,0.98,-0.012370226004471381,0.03478077845647931,0.018293535336852074,0.19720052083333334,1536,0.17913796205700985,0.04217501661393166,0.7670384008865156,0.0
15,25908,12492,38400,12,122,488,135,157.97634179999295,163.99924004317688,-0.8701679591708594,-87.01679591708594,0.98,-0.017795861528429668,0.03524774257093668,0.022101078182458878,0.23261963464319707,1995,0.405116525944729,0.06793191570538608,0.8477622482503862,0.0
16,26757,14203,40960,12,128,508,145,165.591113399998,161.5847580864223,-0.8231561560833875,-82.31561560833877,0.98,-0.015533995369332842,0.01123523828573525,0.02238571085035801,0.15995282419025897,849,0.018066399364324692,0.02051445793568437,-0.003962671814612184,0.0
17,27677,15843,43520,13,130,528,155,172.95615549999638,160.02321466957318,-0.816842297454329,-81.6842297454329,0.96,-0.017374329385347664,0.014592208852991461,0.020506292581558228,0.23522518398240208,920,0.07037271393225633,0.02630882503946767,0.6328562312349333,0.0
18,29578,16502,46080,13,136,568,165,183.51089729999512,161.17843918362655,-0.8094666512300129,-80.94666512300128,0.96,-0.017093197943177076,0.01438148554880172,0.018601542338728905,0.20419373381882905,1901,0.13917936611311169,0.03616508477579463,0.7557845866952508,0.0
19,31106,17534,48640,14,140,598,175,192.7167141999962,161.40789930508586,-0.7831987578250224,-78.31987578250225,0.96,-0.014928706815893141,0.02284292262047529,0.023051833733916283,0.21708932667970657,1528,0.1952072787216613,0.04587420643781059,0.7919487546428157,0.0
20,32652,18548,51200,15,150,638,185,201.12317299999995,162.34827401017588,-0.7993258547511641,-79.93258547511641,0.96,-0.008741044283669907,0.021730687899980693,0.026491673663258553,0.2400390636175871,1546,0.29347341773090874,0.05249509465192257,0.8283829505244696,0.0
21,34718,19042,53760,16,160,688,195,210.74127829999634,164.7422862766255,-0.8286298566795623,-82.86298566795625,0.96,-0.011369092524982988,0.020553347719833255,0.0194231066852808,0.2288020845502615,2066,0.16370309527312407,0.04365417791380167,0.7334563355656438,0.0
22,36869,19451,56320,17,170,738,205,220.7750126999963,166.99806535669885,-0.8069211276747602,-80.692112767476,0.96,-0.017045508676674218,0.01430073320865631,0.024691415950655937,0.22583813726902008,2151,0.17418023501288385,0.0282396325836194,0.8380253275590278,0.0
23,38275,20605,58880,18,180,768,215,228.20560579999437,167.72155909940818,-0.7367288998069721,-73.6728899806972,0.96,-0.021473774081096055,0.011411936689789097,0.02338610589504242,0.17836223728954792,1406,0.0717153143432965,0.022156752070896537,0.7071075617137492,0.0
24,40259,21181,61440,19,190,808,225,237.85560219999752,169.2581533822726,-0.6290631451318979,-62.9063145131898,0.96,-0.01106119669857435,0.01628493967000395,0.021529201418161392,0.2443289626389742,1984,0.39762124303530083,0.03380675311252855,0.9181525076933978,0.0
25,41644,22356,64000,19,199,838,235,244.9449439999953,170.01371540863812,-0.954221747003123,-95.4221747003123,0.96,-0.015780416273143298,0.1205741452674071,0.0135965496301651,0.16447152035931747,1385,1.1264982157159555,0.3576081713548782,0.7702876678625589,0.0
26,43544,23016,66560,21,210,856,240,254.15686309999728,171.32726407182537,-0.9850873883353688,-98.50873883353687,0.98,-0.004100449181063787,0.045214638898247166,0.026822969317436218,0.16326046538980385,1900,0.2734387081960535,0.07358181397830792,0.7408196493147899,0.0
27,45359,23761,69120,21,218,896,250,263.2089371999973,172.3307744886121,-0.9765740199257269,-97.65740199257267,0.98,-0.015150157606694848,0.01613874773029238,0.024510882794857025,0.20974234901368619,1815,0.12617616982563898,0.028247709709522305,0.7763822738025042,0.0
28,47314,24366,71680,22,227,936,260,272.99777229999745,173.31276955625341,-0.9298351915044456,-92.98351915044458,0.98,-0.0066969246865483,0.03357460987754166,0.025433339178562164,0.2383967362344265,1955,0.3075551492142949,0.0706030190585538,0.7762126071963139,0.0
29,49286,24954,74240,23,238,976,270,282.96513059999415,174.17693796933514,-0.972107670449831,-97.21076704498306,1.0,-0.017220261367037894,0.022595848818309606,0.021207142621278763,0.20531285740435123,1972,0.2463722027071368,0.043040404194647434,0.8265475186253861,0.0
30,51322,25478,76800,24,243,1016,280,293.3170613999973,174.97106971903023,-1.0344013331214499,-103.440133312145,1.0,-0.021317119436571375,0.02017188025638461,0.027035493403673172,0.22650820445269346,2036,0.23367025203741787,0.04004189582032587,0.8292265114938588,0.0
31,52415,26945,79360,25,250,1046,290,300.14894029999414,174.6299685336621,-0.9486383855250905,-94.86383855250904,1.0,-0.015009780216496437,0.006863617082126438,0.02286161296069622,0.22828162610530853,1093,0.15956103311006115,0.012260619939124013,0.9236886191729738,0.0
32,53992,27928,81920,25,257,1059,294,308.4823144999973,175.02462041466714,-0.9423969238867929,-94.23969238867927,1.0,-0.003721466820154871,0.030262632561581477,0.036940477788448334,0.15992827181305205,1577,0.16591288434396909,0.04109937786140798,0.7679316081824648,0.0
33,56065,28415,84480,26,266,1083,299,320.8713476999983,174.7273491443633,-1.0013364617811316,-100.13364617811314,1.0,-0.0036559441313147546,0.04189811274409294,0.03339492529630661,0.2083843743801117,2073,0.30497091538111654,0.069702389646863,0.8032894815914349,0.0
34,57502,29538,87040,27,270,1113,309,331.6276620999997,173.39325566472414,-1.048782971764075,-104.87829717640749,1.0,-0.013284387936194738,0.0200182916286091,0.023509003221988678,0.21508934944868088,1437,0.19686879454682282,0.035369468654387955,0.8204400308947304,0.0
35,59113,30487,89600,28,280,1153,319,341.95204759999615,172.86926753293892,-1.0482305683035746,-104.82305683035747,1.0,-0.019968187937047334,0.00829466303694062,0.024206602945923805,0.2453053392469883,1611,0.11459208999727692,0.0151558925939672,0.8687748899417467,0.0
36,60516,31644,92160,28,288,1183,329,348.96026589999383,173.41802466800868,-1.026098247860862,-102.6098247860862,1.0,-0.020005419625279804,0.007883770981182654,0.025681601837277412,0.262168467293183,1403,0.03893032137475946,0.013559785800593699,0.7154201463002956,0.0
