waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
1.0,629.0,3.0,144.0,0.0,0.0,0.0,0.0,-98.77084565618175
1.0,651.0,0.0,0.0,0.0,0.0,0.0,0.0,37.409183235927756
1.0,675.0,3.0,285.0,0.0,0.0,0.0,0.0,-232.1153669786255
1.0,722.0,3.0,180.0,0.0,0.0,0.0,0.0,-132.81758104647753
1.0,810.0,3.0,205.0,0.0,0.0,0.0,0.0,-156.46072654132718
1.0,836.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40726409654572
1.0,904.0,5.0,384.0,0.0,0.0,0.0,0.0,-325.7409852600778
1.0,916.0,3.0,235.0,0.0,0.0,0.0,0.0,-184.832528396653
1.0,918.0,2.0,135.0,0.0,0.0,0.0,0.0,-90.26308349209489
1.0,1935.0,0.0,0.0,0.0,0.0,0.0,0.0,37.09446645390246
1.0,695.0,1.0,54.0,0.0,0.0,0.0,0.0,-13.658896745707509
1.0,844.0,0.0,0.0,0.0,0.0,0.0,0.0,37.406040814334446
1.0,934.0,1.0,59.0,0.0,0.0,0.0,0.0,-18.43312421813522
1.0,936.0,4.0,160.0,0.0,0.0,0.0,0.0,-113.94069227981458
1.0,950.0,2.0,109.0,0.0,0.0,0.0,0.0,-65.67984116373606
1.0,981.0,3.0,157.0,0.0,0.0,0.0,0.0,-111.06843295461077
1.0,1013.0,1.0,60.0,0.0,0.0,0.0,0.0,-19.354119304359735
1.0,1020.0,1.0,55.0,0.0,0.0,0.0,0.0,-14.630544601947832
1.0,1064.0,1.0,4.0,0.0,0.0,0.0,0.0,33.60030284607974
1.0,1166.0,0.0,0.0,0.0,0.0,0.0,0.0,37.316257747556925
1.0,673.0,1.0,63.0,0.0,0.0,0.0,0.0,-22.169881955784554
1.0,756.0,0.0,0.0,0.0,0.0,0.0,0.0,37.407643897615934
1.0,875.0,0.0,0.0,0.0,0.0,0.0,0.0,37.359760856387446
1.0,916.0,2.0,97.0,0.0,0.0,0.0,0.0,-54.38695055846645
1.0,1127.0,6.0,337.0,0.0,0.0,0.0,0.0,-281.39908999745853
1.0,1190.0,2.0,503.0,0.0,0.0,0.0,0.0,-438.4631823269727
1.0,1323.0,2.0,119.0,0.0,0.0,0.0,0.0,-75.27621662744089
1.0,1374.0,3.0,585.0,0.0,0.0,0.0,0.0,-515.9457564213758
1.0,1609.0,2.0,124.0,0.0,0.0,0.0,0.0,-80.07420253986578
1.0,1778.0,4.0,218.0,0.0,0.0,0.0,0.0,-169.01451166101273
1.0,637.0,2.0,102.0,0.0,0.0,0.0,0.0,-59.06244706741022
1.0,644.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40895766637129
1.0,836.0,0.0,0.0,0.0,0.0,0.0,0.0,37.406401661196
1.0,853.0,4.0,419.0,0.0,0.0,0.0,0.0,-358.9171055673178
1.0,870.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3639753995813
1.0,957.0,3.0,160.0,0.0,0.0,0.0,0.0,-113.97837138965589
1.0,1050.0,1.0,32.0,0.0,0.0,0.0,0.0,7.1336280727024
1.0,1096.0,3.0,124.0,0.0,0.0,0.0,0.0,-79.96627323410038
1.0,1202.0,3.0,345.0,0.0,0.0,0.0,0.0,-289.0395045824911
1.0,1545.0,0.0,0.0,0.0,0.0,0.0,0.0,37.22445639823575
1.0,647.0,4.0,334.0,0.0,0.0,0.0,0.0,-278.4541237036107
