rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction
1,5120,0,5120,0,0,50,10,39.55768430000171,129.43123670158263,,,,-0.011113206422887743,0.04655364204198122,0.007941227406263351,0.073125
2,10240,0,10240,0,0,100,20,60.944518900010735,168.02167257732174,,,,-0.009224848719313741,0.048381066247820854,0.006965756416320801,0.07353515625
3,15360,0,15360,2,20,150,30,84.33874710003147,182.12269601043513,-4.037293969001731,-403.7293969001731,0.0,-0.005807607970200479,0.049802441485226154,0.00443038297817111,0.0329296875
4,20403,77,20480,2,21,200,40,103.83615079999436,196.49226057406116,-4.003772497551577,-400.3772497551578,0.047619047619047616,-0.007270269374130294,0.04756869565695524,0.005854264833033085,0.04822209933772683
5,25347,253,25600,4,40,250,50,124.65485140000237,203.33745309811118,-5.569279789669842,-556.9279789669843,0.025,-0.009304695863975213,0.02526096349582076,0.006982852704823017,0.0721296431683004
6,30467,253,30720,4,40,300,60,145.22125170001527,209.79711745589364,-5.569279789669842,-556.9279789669843,0.025,-0.009147735578007996,0.018890015948563814,0.0058090100064873695,0.04369140625
7,35587,253,35840,4,40,350,70,162.01944470003946,219.64647555659306,-5.569279789669842,-556.9279789669843,0.025,-0.006614253190346062,0.011142831305041909,0.006063865032047033,0.05
8,40707,253,40960,6,60,400,80,183.21725059999153,222.17886070604467,-4.9921829775874835,-499.2182977587483,0.016666666666666666,-0.01009920866927132,0.025156185906380416,0.007734925486147404,0.06443359375
9,45613,467,46080,6,62,450,90,201.00495560001582,226.92475349098513,-4.904763636432388,-490.4763636432387,0.04838709677419355,-0.009961619117821102,0.011947496626526118,0.00776488846167922,0.06994198460131884
10,50541,659,51200,8,80,500,100,218.6975013000192,231.10003406333183,-4.518125501332574,-451.81255013325733,0.0375,-0.010586481406353414,0.014602208901196718,0.007341376040130854,0.06469200736144558
11,55661,659,56320,8,80,550,110,232.52368470001966,239.3777652018917,-4.518125501332574,-451.81255013325733,0.0375,-0.010186131079681218,0.011144860722124577,0.008967201225459576,0.07083984375
12,60781,659,61440,10,100,600,120,254.524926699989,238.80175819338572,-4.239863678286976,-423.9863678286976,0.03,-0.00915667881257832,0.011506723500788211,0.0065625556744635105,0.0665625
13,65835,725,66560,10,101,650,130,273.00033160002204,241.1535532361774,-4.148278493570571,-414.8278493570572,0.04,-0.01103183116298169,0.010046520177274943,0.006058691535145044,0.07343448262661695
14,70699,981,71680,10,101,700,140,292.2390874000266,241.92177928349759,-4.148278493570571,-414.8278493570572,0.04,-0.008331627589213894,0.00981314449571073,0.006967190653085709,0.06154296889901161
15,75803,997,76800,12,120,750,150,312.2500411000219,242.7637790949667,-3.9787970775894905,-397.87970775894894,0.04,-0.010533752794290195,0.016718231718987227,0.007920389994978905,0.07397228427231312
16,80893,1027,81920,12,121,800,160,333.7330044999835,242.38837306845988,-3.9565240155015484,-395.65240155015476,0.04,-0.008110010833479463,0.010183833464980125,0.006220571231096983,0.05544006235897541
17,85813,1227,87040,14,140,850,170,355.76822790002916,241.20478803439818,-3.0958664856829547,-309.5866485682954,0.05,-0.011218610302312299,0.013094465220347047,0.007115418557077646,0.06857952838763595
18,90933,1227,92160,14,140,900,180,377.43621940002777,240.92282437691594,-3.0958664856829547,-309.5866485682954,0.05,-0.008949954775162042,0.011966998660936952,0.007650516927242279,0.08126953125
19,96053,1227,97280,16,160,950,190,401.37871359998826,239.30765819267106,-2.783436908383501,-278.34369083835,0.05,-0.009536497364751994,0.013895038347691298,0.008051524870097637,0.0680078125
20,101160,1240,102400,16,161,1000,200,426.16283139999723,237.37405645555006,-2.778386002078242,-277.83860020782424,0.05,-0.010373026821762324,0.012316774157807232,0.008829346857964993,0.07009446854703129
