time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/loss,train/learning_rate,train/clip_range,train/value_loss,train/clip_fraction,train/std,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
5120,18,278,1,,,,,,,,,,,,,
10240,19,262,1,-0.018926989287137985,0.0003,0.2,0.04655364204198122,0.073125,0.6067379713058472,0.007941227,-1.8395819211006164,-0.011113206422887743,0.44975489377975464,10,,
15360,21,237,1,-0.02257378399372101,0.0003,0.2,0.048381066247820854,0.07353515625,0.6031644344329834,0.0069657564,-1.8333073210716249,-0.009224848719313741,0.16476589441299438,20,600.0,-4.037293969001731
20480,17,288,1,-0.01646752469241619,0.0003,0.2,0.049802441485226154,0.0329296875,0.6018368601799011,0.004430383,-1.8248298954963684,-0.005807607970200479,0.4455774426460266,30,587.952380952381,-4.003772497551577
25600,18,276,1,-0.019466565921902657,0.0003,0.2,0.04756869565695524,0.04822209933772683,0.6040202975273132,0.005854265,-1.8249848127365111,-0.007270269374130294,0.4494606852531433,40,593.675,-5.569279789669842
30720,18,277,1,-0.022655079141259193,0.0003,0.2,0.02526096349582076,0.0721296431683004,0.6058506965637207,0.0069828527,-1.8334985423088073,-0.009304695863975213,0.6050516366958618,50,593.675,-5.569279789669842
35840,15,331,1,-0.026844507083296776,0.0003,0.2,0.018890015948563814,0.04369140625,0.6045242547988892,0.00580901,-1.8341733288764954,-0.009147735578007996,0.6722729206085205,60,593.675,-5.569279789669842
40960,19,265,1,-0.024997446686029434,0.0003,0.2,0.011142831305041909,0.05,0.6047567129135132,0.006063865,-1.8315826725959778,-0.006614253190346062,0.7560045123100281,70,595.7833333333333,-4.9921829775874835
46080,16,315,1,-0.031858768314123154,0.0003,0.2,0.025156185906380416,0.06443359375,0.6056500673294067,0.0077349255,-1.8332216954231262,-0.01009920866927132,0.4812275767326355,80,589.3709677419355,-4.904763636432388
51200,16,309,1,-0.032005518674850464,0.0003,0.2,0.011947496626526118,0.06994198460131884,0.6077576279640198,0.0077648885,-1.8385843849182129,-0.009961619117821102,0.6974430680274963,90,591.7625,-4.518125501332574
56320,12,404,1,-0.0315166637301445,0.0003,0.2,0.014602208901196718,0.06469200736144558,0.6089986562728882,0.007341376,-1.8434919929504394,-0.010586481406353414,0.695422351360321,100,591.7625,-4.518125501332574
61440,20,252,1,-0.030227452516555786,0.0003,0.2,0.011144860722124577,0.07083984375,0.6096101403236389,0.008967201,-1.8473092889785767,-0.010186131079681218,0.6698404550552368,110,593.41,-4.239863678286976
66560,16,306,1,-0.027329208329319954,0.0003,0.2,0.011506723500788211,0.0665625,0.6087076663970947,0.0065625557,-1.847124960422516,-0.00915667881257832,0.6196452379226685,120,590.03,-4.148278493570571
71680,17,290,1,-0.03447788208723068,0.0003,0.2,0.010046520177274943,0.07343448262661695,0.6092492341995239,0.0060586915,-1.844472279548645,-0.01103183116298169,0.5560404658317566,130,590.03,-4.148278493570571
76800,18,282,1,-0.022644979879260063,0.0003,0.2,0.00981314449571073,0.06154296889901161,0.6112755537033081,0.0069671907,-1.850590524673462,-0.008331627589213894,0.7499831914901733,140,590.03,-3.9787970775894905
81920,18,269,1,-0.031046807765960693,0.0003,0.2,0.016718231718987227,0.07397228427231312,0.6093452572822571,0.00792039,-1.8514211201667785,-0.010533752794290195,0.642693281173706,150,591.22,-3.9565240155015484
87040,20,253,1,-0.0331372432410717,0.0003,0.2,0.010183833464980125,0.05544006235897541,0.6086739301681519,0.006220571,-1.844959328174591,-0.008110010833479463,0.7727798819541931,160,590.26,-3.0958664856829547
92160,19,258,1,-0.02999413199722767,0.0003,0.2,0.013094465220347047,0.06857952838763595,0.6118508577346802,0.0071154186,-1.8496422004699706,-0.011218610302312299,0.6610637307167053,170,590.26,-3.0958664856829547
97280,22,232,1,-0.02167673408985138,0.0003,0.2,0.011966998660936952,0.08126953125,0.6134531497955322,0.007650517,-1.8583039140701294,-0.008949954775162042,0.541947066783905,180,590.26,-2.783436908383501
102400,22,223,1,-0.029367484152317047,0.0003,0.2,0.013895038347691298,0.0680078125,0.6161850690841675,0.008051525,-1.8654379391670226,-0.009536497364751994,0.6065510511398315,190,590.0,-2.778386002078242
