waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0.0,3000.0,6.0,916.0,0.0,0.0,1.0,315.0,-909.5811513941542
0.0,3000.0,0.0,0.0,1.0,273.0,1.0,1098.0,-284.91164126636863
0.0,3000.0,4.0,474.0,0.0,0.0,1.0,458.0,-510.684450677454
0.0,3000.0,0.0,0.0,1.0,396.0,0.0,0.0,-198.84676946504857
0.0,3000.0,7.0,1000.0,0.0,0.0,2.0,322.0,-989.9491133366339
0.0,3000.0,3.0,295.0,0.0,0.0,0.0,0.0,-280.0189619147002
0.0,3000.0,0.0,0.0,2.0,264.0,0.0,0.0,-133.11936661355227
0.0,3000.0,8.0,943.0,0.0,0.0,1.0,751.0,-993.5928372341147
0.0,3000.0,0.0,0.0,2.0,535.0,2.0,519.0,-338.1130731395962
0.0,3000.0,2.0,144.0,0.0,0.0,1.0,108.0,-151.6535977088413
0.0,3000.0,1.0,170.0,0.0,0.0,2.0,1326.0,-339.80082429058837
0.0,3000.0,0.0,0.0,3.0,920.0,0.0,0.0,-460.8166366920808
0.0,3000.0,1.0,60.0,1.0,9.0,2.0,1748.0,-296.9732461625652
0.0,3000.0,2.0,103.0,0.0,0.0,1.0,2309.0,-408.7136454800964
0.0,3000.0,2.0,101.0,1.0,32.0,1.0,756.0,-213.98456461534698
0.0,3000.0,2.0,135.0,1.0,73.0,1.0,1044.0,-305.35146761135695
0.0,3000.0,1.0,26.0,0.0,0.0,1.0,2407.0,-348.56327659633274
0.0,3000.0,1.0,30.0,1.0,234.0,1.0,793.0,-252.77613539892533
0.0,3000.0,0.0,0.0,2.0,326.0,2.0,954.0,-292.200533310798
0.0,3000.0,2.0,243.0,0.0,0.0,1.0,999.0,-364.9366450949085
1.0,1735.0,2.0,185.0,1.0,391.0,0.0,0.0,-333.3343068548505
0.0,3000.0,0.0,0.0,1.0,200.0,1.0,2083.0,-380.52057222946365
0.0,3000.0,2.0,185.0,5.0,1760.0,0.0,0.0,-1055.8041887497347
0.0,3000.0,0.0,0.0,3.0,529.0,0.0,0.0,-265.6418891675144
0.0,3000.0,1.0,84.0,6.0,1556.0,0.0,0.0,-858.4413091612613
0.0,3000.0,1.0,73.0,2.0,612.0,1.0,329.0,-419.9290487954118
0.0,3000.0,3.0,152.0,5.0,1390.0,2.0,94.0,-852.5947397085727
0.0,3000.0,1.0,9.0,0.0,0.0,0.0,0.0,-9.263795659494802
0.0,3000.0,1.0,59.0,1.0,170.0,0.0,0.0,-141.70876058332533
0.0,3000.0,1.0,73.0,8.0,1246.0,0.0,0.0,-692.8310027987249
0.0,3000.0,2.0,154.0,3.0,961.0,0.0,0.0,-626.9876347309904
0.0,3000.0,1.0,78.0,1.0,583.0,2.0,335.0,-411.4898857494521
0.0,3000.0,1.0,67.0,3.0,1034.0,0.0,0.0,-581.2074489308251
0.0,3000.0,3.0,437.0,5.0,1215.0,0.0,0.0,-1021.8434469841632
0.0,3000.0,1.0,78.0,6.0,1326.0,0.0,0.0,-737.6123570847557
0.0,3000.0,3.0,201.0,5.0,1690.0,0.0,0.0,-1036.3235369621707
0.0,3000.0,6.0,773.0,5.0,1231.0,1.0,512.0,-1416.2891893601084
0.0,3000.0,3.0,166.0,5.0,1152.0,1.0,1231.0,-899.2351415088226
0.0,3000.0,5.0,699.0,6.0,1634.0,0.0,0.0,-1478.8765633490318
0.0,3000.0,3.0,453.0,3.0,1106.0,0.0,0.0,-982.596402307231
0.0,3000.0,0.0,0.0,1.0,41.0,2.0,1307.0,-196.96190643873533
0.0,3000.0,0.0,0.0,2.0,549.0,1.0,396.0,-328.6921663785388
0.0,3000.0,2.0,247.0,1.0,43.0,1.0,2240.0,-556.9571633075957
0.0,3000.0,1.0,53.0,4.0,548.0,1.0,1050.0,-466.00486369036713
0.0,3000.0,1.0,77.0,2.0,164.0,1.0,1564.0,-365.8092106762013
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,2356.0,-317.2980941767689
0.0,3000.0,1.0,53.0,3.0,449.0,1.0,1677.0,-501.043166570913
0.0,3000.0,0.0,0.0,1.0,45.0,2.0,2141.0,-311.2353578624063
0.0,3000.0,2.0,247.0,1.0,16.0,1.0,2290.0,-550.2309185226503
0.0,3000.0,1.0,77.0,2.0,521.0,1.0,1315.0,-510.9968282209207
0.0,3000.0,1.0,91.0,4.0,654.0,1.0,1219.0,-577.7371519826354
0.0,3000.0,1.0,307.0,1.0,207.0,1.0,1696.0,-622.7528314282031
0.0,3000.0,1.0,68.0,0.0,0.0,1.0,1246.0,-232.84064938411547
0.0,3000.0,1.0,307.0,0.0,0.0,1.0,1583.0,-504.00731750908466
0.0,3000.0,0.0,0.0,2.0,212.0,1.0,435.0,-165.67437955033031
0.0,3000.0,2.0,153.0,2.0,657.0,0.0,0.0,-474.4616178828501
0.0,3000.0,0.0,0.0,0.0,0.0,2.0,377.0,-51.54479115409236
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,1702.0,-229.5705347900068
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,2056.0,-277.34661551833483
0.0,3000.0,2.0,130.0,2.0,225.0,1.0,1476.0,-434.8131418007789
1.0,1662.0,2.0,55.0,0.0,0.0,0.0,0.0,-14.84761399013103
1.0,2302.0,1.0,506.0,0.0,0.0,0.0,0.0,-441.5890663657707
0.0,3000.0,2.0,294.0,0.0,0.0,2.0,2072.0,-557.5622999692422
0.0,3000.0,0.0,0.0,2.0,190.0,0.0,0.0,-95.57898679049983
0.0,3000.0,0.0,0.0,1.0,62.0,0.0,0.0,-31.961961021413995
0.0,3000.0,1.0,124.0,0.0,0.0,1.0,892.0,-238.0973330064087
0.0,3000.0,1.0,170.0,0.0,0.0,1.0,2268.0,-466.60929744539095
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,2070.0,-278.9298099089123
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,1366.0,-184.30129228271144
0.0,3000.0,0.0,0.0,1.0,65.0,1.0,2095.0,-315.02210688790126
0.0,3000.0,0.0,0.0,3.0,806.0,1.0,907.0,-526.0625746006137
0.0,3000.0,0.0,0.0,0.0,0.0,2.0,1663.0,-224.29408785991652
0.0,3000.0,4.0,437.0,2.0,526.0,0.0,0.0,-677.1933039313625
0.0,3000.0,0.0,0.0,2.0,84.0,2.0,917.0,-166.28600046265788
0.0,3000.0,4.0,377.0,1.0,104.0,0.0,0.0,-409.5677719948894
0.0,3000.0,1.0,17.0,0.0,0.0,1.0,1138.0,-170.11537349989624
0.0,3000.0,1.0,17.0,0.0,0.0,1.0,1694.0,-244.62435539692234
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,314.0,-43.276667040246515
0.0,3000.0,4.0,534.0,1.0,138.0,0.0,0.0,-574.8025255489265
0.0,3000.0,3.0,561.0,0.0,0.0,0.0,0.0,-531.1837171318823
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,2175.0,-293.05319736322383
0.0,3000.0,1.0,37.0,2.0,185.0,1.0,993.0,-261.7056798099693
0.0,3000.0,0.0,0.0,3.0,429.0,2.0,725.0,-312.9973207338514
0.0,3000.0,0.0,0.0,1.0,27.0,3.0,1567.0,-224.83435915702387
0.0,3000.0,0.0,0.0,1.0,222.0,3.0,1024.0,-249.48401828798197
0.0,3000.0,0.0,0.0,2.0,349.0,0.0,0.0,-175.33554414885873
0.0,3000.0,1.0,115.0,1.0,25.0,1.0,2575.0,-467.97017891676194
0.0,3000.0,0.0,0.0,1.0,132.0,1.0,1170.0,-224.1951447765154
0.0,3000.0,1.0,115.0,1.0,92.0,1.0,2253.0,-458.3275093028177
0.0,3000.0,1.0,37.0,1.0,9.0,2.0,606.0,-121.9179807591312
0.0,3000.0,0.0,0.0,0.0,0.0,2.0,1591.0,-214.52751900654312
0.0,3000.0,0.0,0.0,0.0,0.0,2.0,1992.0,-268.54616484593714
0.0,3000.0,1.0,94.0,0.0,0.0,0.0,0.0,-89.91699559378182
0.0,3000.0,0.0,0.0,1.0,394.0,2.0,697.0,-291.57048065096245
0.0,3000.0,0.0,0.0,2.0,324.0,0.0,0.0,-162.79310789543533
0.0,3000.0,1.0,94.0,1.0,53.0,1.0,1513.0,-319.5334193929928
0.0,3000.0,0.0,0.0,1.0,59.0,1.0,2181.0,-323.57688348228055
0.0,3000.0,2.0,425.0,0.0,0.0,1.0,2466.0,-734.4083326398518
0.0,3000.0,1.0,329.0,1.0,23.0,1.0,2389.0,-644.8230974562033
0.0,3000.0,1.0,96.0,0.0,0.0,1.0,2398.0,-414.11583798903723
1.0,1308.0,0.0,0.0,1.0,62.0,0.0,0.0,6.270695769886405
0.0,3000.0,1.0,2.0,1.0,177.0,0.0,0.0,-91.3635819843531
