completion_index,native_return,unscaled_learning_return,learning_return,shaping_return
0,-909.5811513941542,-909.5811513941541,-9.095811513941541,1.1368683772161603e-13
1,-284.91164126636863,-284.91164126636863,-2.8491164126636863,0.0
2,-510.684450677454,-510.68445067745404,-5.10684450677454,-5.684341886080802e-14
3,-198.84676946504857,-198.84676946504857,-1.9884676946504858,0.0
4,-989.9491133366339,-989.9491133366339,-9.89949113336634,0.0
5,-280.0189619147002,-280.0189619147002,-2.8001896191470017,0.0
6,-133.11936661355227,-133.11936661355227,-1.3311936661355228,0.0
7,-993.5928372341147,-993.5928372341147,-9.935928372341147,0.0
8,-338.1130731395962,-338.1130731395962,-3.381130731395962,0.0
9,-151.6535977088413,-151.6535977088413,-1.516535977088413,0.0
10,-339.80082429058837,-339.80082429058837,-3.3980082429058838,0.0
11,-460.8166366920808,-460.8166366920808,-4.608166366920808,0.0
12,-296.9732461625652,-296.9732461625652,-2.969732461625652,0.0
13,-408.7136454800964,-408.7136454800964,-4.087136454800964,0.0
14,-213.98456461534698,-213.984564615347,-2.13984564615347,-2.842170943040401e-14
15,-305.35146761135695,-305.35146761135695,-3.0535146761135694,0.0
16,-348.56327659633274,-348.56327659633274,-3.4856327659633273,0.0
17,-252.77613539892533,-252.77613539892533,-2.5277613539892534,0.0
18,-292.200533310798,-292.200533310798,-2.92200533310798,0.0
19,-364.9366450949085,-364.9366450949085,-3.649366450949085,0.0
20,-333.3343068548505,-333.3343068548505,-3.3333430685485053,0.0
21,-380.52057222946365,-380.52057222946365,-3.8052057222946365,0.0
22,-1055.8041887497347,-1055.8041887497347,-10.558041887497348,0.0
23,-265.6418891675144,-265.6418891675144,-2.6564188916751443,0.0
24,-858.4413091612613,-858.4413091612614,-8.584413091612614,-1.1368683772161603e-13
25,-419.9290487954118,-419.92904879541186,-4.199290487954118,-5.684341886080802e-14
26,-852.5947397085727,-852.5947397085727,-8.525947397085726,0.0
27,-9.263795659494802,-9.263795659494802,-0.09263795659494801,0.0
28,-141.70876058332533,-141.70876058332533,-1.4170876058332533,0.0
29,-692.8310027987249,-692.8310027987249,-6.928310027987249,0.0
30,-626.9876347309904,-626.9876347309904,-6.269876347309904,0.0
31,-411.4898857494521,-411.4898857494522,-4.114898857494522,-5.684341886080802e-14
32,-581.2074489308251,-581.2074489308251,-5.812074489308251,0.0
33,-1021.8434469841632,-1021.8434469841633,-10.218434469841633,-1.1368683772161603e-13
34,-737.6123570847557,-737.6123570847557,-7.3761235708475565,0.0
35,-1036.3235369621707,-1036.3235369621707,-10.363235369621707,0.0
36,-1416.2891893601084,-1416.2891893601084,-14.162891893601085,0.0
37,-899.2351415088226,-899.2351415088226,-8.992351415088226,0.0
38,-1478.8765633490318,-1478.8765633490318,-14.788765633490318,0.0
39,-982.596402307231,-982.596402307231,-9.82596402307231,0.0
40,-196.96190643873533,-196.96190643873533,-1.9696190643873532,0.0
41,-328.6921663785388,-328.6921663785388,-3.286921663785388,0.0
42,-556.9571633075957,-556.9571633075957,-5.569571633075957,0.0
43,-466.00486369036713,-466.0048636903672,-4.660048636903672,-5.684341886080802e-14
44,-365.8092106762013,-365.8092106762013,-3.658092106762013,0.0
45,-317.2980941767689,-317.2980941767689,-3.1729809417676895,0.0
46,-501.043166570913,-501.043166570913,-5.01043166570913,0.0
47,-311.2353578624063,-311.2353578624063,-3.112353578624063,0.0
48,-550.2309185226503,-550.2309185226503,-5.502309185226503,0.0
49,-510.9968282209207,-510.99682822092075,-5.109968282209207,-5.684341886080802e-14
50,-577.7371519826354,-577.7371519826354,-5.777371519826354,0.0
51,-622.7528314282031,-622.7528314282031,-6.227528314282031,0.0
52,-232.84064938411547,-232.84064938411547,-2.328406493841155,0.0
53,-504.00731750908466,-504.0073175090846,-5.040073175090846,5.684341886080802e-14
54,-165.67437955033031,-165.67437955033031,-1.656743795503303,0.0
55,-474.4616178828501,-474.4616178828501,-4.744616178828501,0.0
56,-51.54479115409236,-51.54479115409236,-0.5154479115409236,0.0
57,-229.5705347900068,-229.5705347900068,-2.295705347900068,0.0
58,-277.34661551833483,-277.34661551833483,-2.7734661551833484,0.0
59,-434.8131418007789,-434.81314180077885,-4.348131418007789,5.684341886080802e-14
60,-14.84761399013103,-14.84761399013103,-0.1484761399013103,0.0
61,-441.5890663657707,-441.58906636577063,-4.415890663657707,5.684341886080802e-14
62,-557.5622999692422,-557.5622999692422,-5.575622999692422,0.0
63,-95.57898679049983,-95.57898679049983,-0.9557898679049983,0.0
64,-31.961961021413995,-31.96196102141399,-0.3196196102141399,3.552713678800501e-15
65,-238.0973330064087,-238.09733300640866,-2.3809733300640867,2.842170943040401e-14
66,-466.60929744539095,-466.60929744539095,-4.6660929744539095,0.0
67,-278.9298099089123,-278.9298099089123,-2.789298099089123,0.0
68,-184.30129228271144,-184.30129228271144,-1.8430129228271144,0.0
69,-315.02210688790126,-315.02210688790126,-3.150221068879013,0.0
70,-526.0625746006137,-526.0625746006137,-5.260625746006138,0.0
71,-224.29408785991652,-224.29408785991654,-2.2429408785991654,-2.842170943040401e-14
72,-677.1933039313625,-677.1933039313625,-6.771933039313625,0.0
73,-166.28600046265788,-166.28600046265788,-1.662860004626579,0.0
74,-409.5677719948894,-409.5677719948894,-4.0956777199488945,0.0
75,-170.11537349989624,-170.11537349989624,-1.7011537349989625,0.0
76,-244.62435539692234,-244.62435539692234,-2.4462435539692233,0.0
77,-43.276667040246515,-43.276667040246515,-0.43276667040246514,0.0
78,-574.8025255489265,-574.8025255489265,-5.7480252554892655,0.0
79,-531.1837171318823,-531.1837171318823,-5.311837171318823,0.0
80,-293.05319736322383,-293.05319736322383,-2.930531973632238,0.0
81,-261.7056798099693,-261.7056798099693,-2.617056798099693,0.0
82,-312.9973207338514,-312.9973207338514,-3.129973207338514,0.0
83,-224.83435915702387,-224.83435915702387,-2.2483435915702388,0.0
84,-249.48401828798197,-249.48401828798197,-2.4948401828798197,0.0
85,-175.33554414885873,-175.33554414885873,-1.7533554414885872,0.0
86,-467.97017891676194,-467.970178916762,-4.67970178916762,-5.684341886080802e-14
87,-224.1951447765154,-224.1951447765154,-2.241951447765154,0.0
88,-458.3275093028177,-458.32750930281765,-4.583275093028177,5.684341886080802e-14
89,-121.9179807591312,-121.9179807591312,-1.219179807591312,0.0
90,-214.52751900654312,-214.52751900654312,-2.145275190065431,0.0
91,-268.54616484593714,-268.54616484593714,-2.6854616484593716,0.0
92,-89.91699559378182,-89.91699559378182,-0.8991699559378182,0.0
93,-291.57048065096245,-291.57048065096245,-2.9157048065096247,0.0
94,-162.79310789543533,-162.79310789543533,-1.6279310789543533,0.0
95,-319.5334193929928,-319.5334193929928,-3.195334193929928,0.0
96,-323.57688348228055,-323.57688348228055,-3.2357688348228058,0.0
97,-734.4083326398518,-734.4083326398518,-7.344083326398518,0.0
98,-644.8230974562033,-644.8230974562033,-6.448230974562033,0.0
99,-414.11583798903723,-414.11583798903723,-4.141158379890372,0.0
100,6.270695769886405,6.270695769886405,0.06270695769886406,0.0
101,-91.3635819843531,-91.3635819843531,-0.913635819843531,0.0
102,-226.91699663897938,-226.91699663897936,-2.2691699663897937,2.842170943040401e-14
103,-631.7385834417545,-631.7385834417545,-6.317385834417545,0.0
104,-386.59602695630764,-386.59602695630764,-3.8659602695630766,0.0
