time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/std,train/clip_fraction,train/value_loss,train/learning_rate,train/clip_range
1,14,5120,-0.8366309644123027,360,180.0,,,,,,,,,,,
1,14,10240,-1.1728778869473322,353,184.95,0.017663147300481796,3.1471374940872194,0.012280976,0.6769057512283325,10,-0.008005123051116243,0.05031821131706238,0.16814067140221595,0.0342162916995585,0.0003,0.2
1,14,15360,-1.2087744089420378,356,182.98333333333332,0.04050726443529129,3.1372885656356813,0.008673212,0.49244141578674316,20,-0.008950037884060293,0.05050714313983917,0.10069433242082595,0.039826841056346894,0.0003,0.2
1,15,20480,-1.088854408038395,332,175.1978021978022,0.0215277299284935,3.1357300806045534,0.014666522,0.3415740728378296,30,-0.006718764090910554,0.050402939319610596,0.17181175217032432,0.03691619537770748,0.0003,0.2
1,13,25600,-1.1586651476678353,377,177.32,0.0289412010461092,3.1369871616363527,0.0111181345,0.5610707998275757,40,-0.009272650380444248,0.0504743792116642,0.11714716050773859,0.04207434244453907,0.0003,0.2
1,12,30720,-1.1827624865532969,421,175.36,0.024535182863473892,3.1334291279315947,0.010893298,0.6470141410827637,50,-0.011459800369630102,0.05050109699368477,0.126261574216187,0.029313923348672687,0.0003,0.2
1,12,35840,-1.0570891876897632,423,173.05,0.04910653829574585,3.13007276058197,0.01142994,0.6386160850524902,60,-0.007227241462096572,0.050698526203632355,0.1422421875037253,0.03883636925369501,0.0003,0.2
1,13,40960,-1.0444099861749345,387,173.95,0.022171134129166603,3.1226726722717286,0.01648857,0.7600847482681274,70,-0.009992196056991816,0.050831083208322525,0.17685478299856186,0.021090327333658933,0.0003,0.2
1,13,46080,-1.0376637660949901,390,174.52,0.04250055551528931,3.1223771524429322,0.011810846,0.7136733531951904,80,-0.009188652979792095,0.05071772634983063,0.14685546901077032,0.03152415331453085,0.0003,0.2
1,12,51200,-0.8955301762650181,395,174.71,0.019059907644987106,3.1232318544387816,0.0119580515,0.7885448932647705,90,-0.010277964365668595,0.050826843827962875,0.1503632228076458,0.023461227603256703,0.0003,0.2
1,14,56320,-0.8765911495971562,344,175.55,0.030703557655215263,3.123211407661438,0.010661837,0.792026162147522,100,-0.010034870769595727,0.05067022889852524,0.11886915471404791,0.03854895830154419,0.0003,0.2
1,16,61440,-0.9093286860165479,312,174.58,0.014366301707923412,3.125270998477936,0.013256513,0.8711407780647278,110,-0.012641324271680788,0.05080927163362503,0.14147014189511536,0.02114381983410567,0.0003,0.2
1,18,66560,-0.9825327913938967,276,174.62,0.010994132608175278,3.1206161880493166,0.01938958,0.8908430933952332,120,-0.012149451924487948,0.05081813782453537,0.1705673624575138,0.01840607574209571,0.0003,0.2
1,22,71680,-1.0232887307396439,228,172.65,0.021410983055830002,3.1228409385681153,0.01194994,0.8280258178710938,130,-0.00986737055471167,0.050743184983730316,0.12542741909623145,0.030431809015572072,0.0003,0.2
1,18,76800,-0.9093360259711364,280,171.63,0.02175544761121273,3.128466486930847,0.010629443,0.8359825015068054,140,-0.011892469407757743,0.050485000014305115,0.12665465855970978,0.027983457734808325,0.0003,0.2
1,16,81920,-1.0459948304802018,317,171.19,0.028488872572779655,3.1342166900634765,0.0101410365,0.713934063911438,150,-0.009587664062564727,0.05054978281259537,0.13427510354667901,0.049680145969614384,0.0003,0.2
1,17,87040,-0.8836337640621338,287,172.25,0.07523128390312195,3.130788884162903,0.013541542,0.8393553495407104,160,-0.005339006981812417,0.05060085654258728,0.1890234386920929,0.02698899643495679,0.0003,0.2
1,16,92160,-0.9584569556554458,318,171.76,0.029624715447425842,3.1282398223876955,0.010808154,0.8180240392684937,170,-0.00929621706600301,0.05068565160036087,0.14990561455488205,0.03241992914117873,0.0003,0.2
1,18,97280,-1.0796402393354527,279,172.05,0.02498127892613411,3.1195117950439455,0.011019213,0.795197606086731,180,-0.010560969542711972,0.0509948655962944,0.138569968752563,0.02483715652488172,0.0003,0.2
1,19,102400,-0.9486199919571192,267,171.13,0.01897522620856762,3.111092462539673,0.011283939,0.7931541800498962,190,-0.010596493912744335,0.051106929779052734,0.12516329154372216,0.026924067102372648,0.0003,0.2
1,16,107520,-0.7224241763162443,312,171.32,0.014530130662024021,3.1086819767951965,0.010938043,0.870979368686676,200,-0.009846651810221374,0.051164351403713226,0.14788373636547475,0.020173494005575776,0.0003,0.2
1,16,112640,-0.6129440337209591,318,169.9,0.029192393645644188,3.1086789846420286,0.011958941,0.8376423120498657,210,-0.009014161097002215,0.0510905496776104,0.12205617800354958,0.015266843582503497,0.0003,0.2
1,16,117760,-0.7650214777941617,312,170.67,0.028022093698382378,3.1089356660842897,0.011641068,0.8474656939506531,220,-0.012320478272158653,0.05119628459215164,0.15548035819083453,0.02473511886782944,0.0003,0.2
1,16,122880,-0.8524507030321022,301,170.45,0.037677329033613205,3.103653602600098,0.012552014,0.7639102339744568,230,-0.009586154426215217,0.051328517496585846,0.14382006734609604,0.04518578726798296,0.0003,0.2
1,16,128000,-0.914742797462884,316,171.73,-0.007930854335427284,3.1012210273742675,0.017825399,0.834956169128418,240,-0.00863217080477625,0.05132991820573807,0.20914590366184713,0.019262194223701953,0.0003,0.2
