rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction,rollout_live_samples,rollout_return_variance_live,rollout_value_mse_live,rollout_value_explained_variance_live,rollout_action_box_clip_fraction_live
1,4425,695,5120,2,20,11,3,52.35174189999816,84.52440815536943,-1.1595163117862597,-115.95163117862596,1.0,0.007585539928792666,0.09788638167083263,0.041426971554756165,0.2612524839739005,4425,0.1947444434962609,0.12170310772417059,0.4848635458542011,0.0
2,8826,1414,10240,4,40,61,13,65.55600330000016,134.63297876183947,-0.7271513453560978,-72.71513453560979,1.0,-0.008775627760915086,0.021780937835574152,0.009527482092380524,0.13383132681250573,4401,0.10208232656576305,0.048987526862914174,0.5475318318205069,0.0
3,12955,2405,15360,6,64,111,23,79.91781069999706,162.10404021991653,-0.7273111058785728,-72.73111058785727,1.0,-0.005876206853426993,0.03125608881935477,0.011393881402909756,0.15637961745262147,4129,0.15710548855424628,0.0633617299483323,0.630083231889228,0.0
4,16872,3608,20480,9,96,151,33,92.7118410999974,181.98322673586162,-0.7605292682218613,-76.05292682218612,1.0,-0.009716658972320148,0.026926675462163985,0.013235235586762428,0.1331201173365116,3917,0.18682439055983383,0.06336976881938376,0.6725584422272244,0.0
5,21162,4438,25600,12,120,201,43,106.97898069999792,197.8145600334778,-0.6823217235811935,-68.23217235811934,1.0,-0.006548523175297305,0.020898612588644026,0.01331376750022173,0.17504067227244377,4290,0.17446255681005893,0.040498373600943625,0.7876884741209154,0.0
6,25740,4980,30720,14,140,251,53,120.3893470999974,213.80629283270326,-0.919877655983782,-91.98776559837825,1.0,-0.010800791876390577,0.02783981032669544,0.01203098427504301,0.1410841067880392,4578,0.24460265134288459,0.0507972641151418,0.8049739686451964,0.0
7,29772,6068,35840,16,175,291,63,131.77354339999874,225.93306085446196,-0.8897775824130035,-88.97775824130032,1.0,-0.011200345182442107,0.023962263111025096,0.010519882664084435,0.1433105473406613,4032,0.2037754096093225,0.04455114694430963,0.7821125482326932,0.0
8,33401,7559,40960,19,198,331,73,143.3335686999999,233.02984990144898,-0.8390724711393027,-83.90724711393027,1.0,-0.009746308961621254,0.016907634516246616,0.012330833822488785,0.1360908655449748,3629,0.1997596185216441,0.028135458802911167,0.860273742994007,0.0
9,37613,8467,46080,22,220,381,83,155.67228969999996,241.61653992810776,-0.8992354171223491,-89.9235417122349,1.0,-0.008141531329602002,0.03104435622692108,0.012182758189737797,0.16550242450088262,4212,0.19397760091322733,0.05193360644501489,0.737854748190329,0.0
10,41792,9408,51200,24,240,431,93,168.7481278999985,247.65904380738536,-0.7641422860690088,-76.41422860690088,1.0,-0.0073373775696381925,0.02472254289314151,0.013547916896641254,0.1623322194069624,4179,0.1909616987499944,0.040302049891192473,0.8036807916184943,0.0
11,46115,10205,56320,26,263,481,103,180.97742679999646,254.81078394911128,-0.8228775804634254,-82.28775804634257,1.0,-0.008595107952132822,0.025988698899745942,0.012143257074058056,0.1569749793410301,4323,0.2540892175776675,0.04850047369867897,0.813546243435131,0.0
12,50156,11284,61440,28,294,521,113,192.56074899999658,260.4684509198751,-0.8540532136266009,-85.40532136266009,1.0,-0.01038432915611338,0.02107359133660793,0.011759532615542412,0.14043308906257151,4041,0.19482583846864265,0.04036234578919758,0.7970845220463301,0.0
13,53842,12718,66560,30,318,561,123,203.97056000000157,263.96946696621114,-0.837220961560511,-83.72209615605111,1.0,-0.012931644733180292,0.016337150312028825,0.011012517847120762,0.1334865501150489,3686,0.2661891380164693,0.030213385103457006,0.8880822083705844,0.0
14,57638,14042,71680,34,340,601,133,783.0059088999988,73.61119417473158,-0.771071643007306,-77.10716430073062,1.0,-0.010262010316364468,0.01360280642984435,0.011873377487063408,0.1379055972211063,3796,0.22938946525173146,0.026520520617309713,0.8882121646178123,0.0
15,61894,14906,76800,36,360,651,143,796.857898299997,77.67256888843494,-0.6250772373725635,-62.507723737256335,1.0,-0.01030556883662939,0.014600574076175689,0.01744575798511505,0.16913671880960465,4256,0.21728693870186178,0.028881791426344988,0.8708207378923598,0.0
16,66127,15793,81920,38,380,701,153,814.1171861999974,81.22540725206498,-0.6407217172282178,-64.07217172282179,1.0,-0.014035156244644895,0.022682954221963883,0.016131233423948288,0.16457601457834245,4233,0.28044452286766974,0.04254769118677291,0.851707618905623,0.0
17,70294,16746,87040,40,402,751,163,829.3214110999979,84.76086479759786,-0.7022653190406585,-70.22653190406585,1.0,-0.010240972433239222,0.01444048784673214,0.01988735981285572,0.1820584836602211,4167,0.25980797729143695,0.027280170466527687,0.9027031432261323,0.0
18,74419,17741,92160,42,424,801,173,842.0824920000014,88.37495222498923,-0.8264180885203216,-82.64180885203217,1.0,-0.011147977400105447,0.02110341208986938,0.01970754563808441,0.1830812230706215,4125,0.15090668032770527,0.03393797492203924,0.7920269110121914,0.0
19,78392,18888,97280,45,456,841,183,854.1034355000011,91.78279438029482,-0.9208946417545647,-92.08946417545647,1.0,-0.010596303302736487,0.014424150623381139,0.010347760282456875,0.12132886757608503,3973,0.19403031702135606,0.025408333591790812,0.8732519667769244,0.0
20,82465,19935,102400,48,480,881,193,866.4523074999961,95.17546353813637,-0.8050782449370163,-80.50782449370162,1.0,-0.011099694290896878,0.01793141837697476,0.0138730863109231,0.15476896110922098,4073,0.17822913834888895,0.03141578967750739,0.8239040672144095,0.0
21,86591,20929,107520,50,500,917,201,880.3532376000003,98.35938155468422,-0.7608364115738995,-76.08364115738993,1.0,-0.006038718001061195,0.02452005521469825,0.04615876078605652,0.157794905071323,4126,0.1772777562432573,0.03889581539234469,0.7826827889798935,0.0
