rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction
1,5120,0,5120,0,0,50,10,39.6148278999608,129.24453472143108,,,,-0.0066678788047283884,217.790048828125,0.004276728257536888,0.040078125
2,10240,0,10240,0,0,100,20,59.96644209994702,170.7621736659452,,,,-0.006354063344188035,138.19754013061524,0.008040723390877247,0.051171875
3,15360,0,15360,2,20,150,30,81.5198261999758,188.42042133800035,-123.36284092878648,-269.9111087637536,0.0,-0.0015057227050419898,702.6134094238281,0.0018254148308187723,0.00451171875
4,20480,0,20480,2,20,200,40,101.33639979996951,202.09914739842733,-123.36284092878648,-269.9111087637536,0.0,-0.0007006734726019203,1120.0591662597656,0.0008833523606881499,1.953125e-05
5,25600,0,25600,4,40,250,50,120.881075399986,211.77839389078568,-390.9832528055839,-542.8761712533149,0.0,-0.0019321354711428285,389.0024737548828,0.002280781278386712,0.00419921875
6,30720,0,30720,4,40,300,60,140.9508147999877,217.94836761740152,-390.9832528055839,-542.8761712533149,0.0,-0.0030492593813687564,866.1109033203124,0.00560395885258913,0.01599609375
7,35840,0,35840,4,40,350,70,161.29263280000305,222.20481728040417,-390.9832528055839,-542.8761712533149,0.0,-0.0011603517725598067,1209.0109240722657,0.0006602976354770362,0.0
8,40960,0,40960,6,60,400,80,182.61755109997466,224.29388497043362,-464.37788706453864,-618.1056536370419,0.0,-0.002049896498210728,655.0448168945312,0.002780010923743248,0.00365234375
9,46080,0,46080,6,60,450,90,202.0439826999791,228.06915298450394,-464.37788706453864,-618.1056536370419,0.0,-0.002382096997462213,261.06123992919925,0.0021119455341249704,0.00787109375
10,51200,0,51200,8,80,500,100,222.65053519996582,229.95677937183714,-415.27079784348825,-568.7988933355595,0.0,-0.0046905791433528065,518.9788317871094,0.004010292235761881,0.02720703125
11,56089,231,56320,8,82,550,110,239.87854019994847,233.82250014214506,-403.6460870637672,-556.5174678869973,0.024390243902439025,-0.0017949528543977067,737.285849609375,0.004855793435126543,0.009918722435832023
12,60841,599,61440,10,100,600,120,257.90197279996937,235.90746258924014,-410.27188859296956,-563.8452051271555,0.02,-0.0053633730515139175,358.05710693359373,0.005724126938730478,0.04222656261175871
13,65918,642,66560,10,102,650,130,277.3342640999472,237.68429845453255,-409.6090733812697,-562.1718750481742,0.04,-0.0022083380434196444,837.2537573242188,0.002476255875080824,0.0072287525655701755
14,70323,1357,71680,10,103,700,140,295.51822199998423,237.96502132448452,-409.8174417267492,-562.1250521283255,0.05,-0.005387196291703731,597.8213970947265,0.004689881578087807,0.04703137639909983
15,75333,1467,76800,12,121,750,150,316.750499399961,237.8307221068561,-442.8737232128085,-595.1789794132937,0.06,-0.0024736684614970273,817.448193359375,0.0024662429932504892,0.0035494307335466146
16,80099,1821,81920,12,122,800,160,337.7927347999648,237.12469733084484,-441.74687365270125,-593.4430049152176,0.07,-0.003352440668240888,459.71823974609373,0.002942912746220827,0.012359316684305668
17,85011,2029,87040,14,140,850,170,357.53148809995037,237.77206436215934,-406.55225287170174,-556.2604345955705,0.07,-0.002580781055439729,1076.402530517578,0.0030753302853554487,0.009196921028196811
18,90131,2029,92160,14,140,900,180,376.85894929995993,239.16375123218967,-406.55225287170174,-556.2604345955705,0.07,-0.0026625189697369934,956.8919885253906,0.0034041511826217175,0.0140625
19,95251,2029,97280,16,160,950,190,395.9674117999966,240.55262418441478,-420.30093255867047,-570.6551519942359,0.07,-0.0018555018492043018,1894.6760278320312,0.003556419163942337,0.01466796875
20,100217,2183,102400,16,162,1000,200,414.66578889999073,241.68137975850806,-414.47632720682174,-563.6633735155297,0.09,-0.00244906019535847,1105.0752880859375,0.0027291004080325365,0.0066930226236581805
