time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/clip_fraction,train/entropy_loss,train/std,train/learning_rate,train/explained_variance,train/value_loss,train/loss,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/clip_range,rollout/ep_rew_mean,rollout/ep_len_mean
5120,1,19,262,,,,,,,,,,,,,
10240,1,18,275,0.040078125,-1.8419401812553406,0.6084794998168945,0.0003,0.011229991912841797,217.790048828125,98.32023620605469,10,0.0042767283,-0.0066678788047283884,0.2,,
15360,1,19,257,0.051171875,-1.8413366985321045,0.6055461168289185,0.0003,0.15893369913101196,138.19754013061524,63.607879638671875,20,0.008040723,-0.006354063344188035,0.2,-123.36284092878648,600.0
20480,1,18,283,0.00451171875,-1.8343389081954955,0.6065936088562012,0.0003,-0.01865231990814209,702.6134094238281,279.4548645019531,30,0.0018254148,-0.0015057227050419898,0.2,-123.36284092878648,600.0
25600,1,17,287,1.953125e-05,-1.8394003558158873,0.6071157455444336,0.0003,0.03783327341079712,1120.0591662597656,472.9109802246094,40,0.00088335236,-0.0007006734726019203,0.2,-390.9832528055839,600.0
30720,1,18,282,0.00419921875,-1.8409202647209169,0.6080769300460815,0.0003,0.0719982385635376,389.0024737548828,189.1022186279297,50,0.0022807813,-0.0019321354711428285,0.2,-390.9832528055839,600.0
35840,1,18,276,0.01599609375,-1.844402587413788,0.6089617609977722,0.0003,0.024447083473205566,866.1109033203124,418.85906982421875,60,0.005603959,-0.0030492593813687564,0.2,-390.9832528055839,600.0
40960,1,19,262,0.0,-1.846713330745697,0.6095710396766663,0.0003,0.0030437111854553223,1209.0109240722657,596.8324584960938,70,0.00066029764,-0.0011603517725598067,0.2,-464.37788706453864,600.0
46080,1,17,297,0.00365234375,-1.8475648498535155,0.60922771692276,0.0003,0.0040721893310546875,655.0448168945312,313.16131591796875,80,0.002780011,-0.002049896498210728,0.2,-464.37788706453864,600.0
51200,1,18,271,0.00787109375,-1.8479972577095032,0.6107022166252136,0.0003,0.008291840553283691,261.06123992919925,119.10127258300781,90,0.0021119455,-0.002382096997462213,0.2,-415.27079784348825,600.0
56320,1,15,330,0.02720703125,-1.8575023627281189,0.6142324805259705,0.0003,0.0033522844314575195,518.9788317871094,227.22679138183594,100,0.0040102922,-0.0046905791433528065,0.2,-403.6460870637672,592.6951219512196
61440,1,16,310,0.009918722435832023,-1.864245948791504,0.6145268082618713,0.0003,0.21650934219360352,737.285849609375,324.288330078125,110,0.0048557934,-0.0017949528543977067,0.2,-410.27188859296956,594.01
66560,1,17,291,0.04222656261175871,-1.8664772963523866,0.6162046194076538,0.0003,0.4002857804298401,358.05710693359373,156.41668701171875,120,0.005724127,-0.0053633730515139175,0.2,-409.6090733812697,588.14
71680,1,16,307,0.0072287525655701755,-1.870295259952545,0.6164209842681885,0.0003,0.0683739185333252,837.2537573242188,382.3438720703125,130,0.0024762559,-0.0022083380434196444,0.2,-409.8174417267492,585.95
76800,1,19,267,0.04703137639909983,-1.8739157271385194,0.6191799640655518,0.0003,0.45846641063690186,597.8213970947265,293.3164367675781,140,0.0046898816,-0.005387196291703731,0.2,-442.8737232128085,581.73
81920,1,19,268,0.0035494307335466146,-1.8825392293930054,0.6215164661407471,0.0003,0.12238794565200806,817.448193359375,368.75299072265625,150,0.002466243,-0.0024736684614970273,0.2,-441.74687365270125,579.71
87040,1,18,279,0.012359316684305668,-1.887530107498169,0.6220042705535889,0.0003,0.3412199020385742,459.71823974609373,214.2845458984375,160,0.0029429127,-0.003352440668240888,0.2,-406.55225287170174,579.71
92160,1,17,290,0.009196921028196811,-1.889812958240509,0.6231555938720703,0.0003,0.22091424465179443,1076.402530517578,569.1661987304688,170,0.0030753303,-0.002580781055439729,0.2,-406.55225287170174,579.71
97280,1,17,292,0.0140625,-1.8912706470489502,0.6223530769348145,0.0003,-0.057646870613098145,956.8919885253906,429.5870056152344,180,0.0034041512,-0.0026625189697369934,0.2,-420.30093255867047,579.71
102400,1,17,300,0.01466796875,-1.888692500591278,0.622113823890686,0.0003,-0.012115955352783203,1894.6760278320312,839.7508544921875,190,0.0035564192,-0.0018555018492043018,0.2,-414.47632720682174,572.57
