waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0.0,3000.0,4.0,407.0,1.0,78.0,0.0,0.0,-424.878431595414
0.0,3000.0,0.0,0.0,1.0,274.0,2.0,884.0,-256.8037268556678
0.0,3000.0,1.0,163.0,0.0,0.0,1.0,1139.0,-308.15012156393476
0.0,3000.0,0.0,0.0,1.0,395.0,2.0,249.0,-232.07081455987668
0.0,3000.0,2.0,238.0,0.0,0.0,1.0,229.0,-256.8464138500354
0.0,3000.0,3.0,238.0,0.0,0.0,0.0,0.0,-226.1618864036366
0.0,3000.0,0.0,0.0,1.0,24.0,0.0,0.0,-13.06058009141285
0.0,3000.0,4.0,252.0,0.0,0.0,1.0,696.0,-332.5311044161835
0.0,3000.0,0.0,0.0,3.0,372.0,1.0,723.0,-283.9983655851721
0.0,3000.0,2.0,144.0,0.0,0.0,2.0,171.0,-160.18407860371258
0.0,3000.0,1.0,61.0,0.0,0.0,2.0,259.0,-93.29688608644766
0.0,3000.0,0.0,0.0,1.0,348.0,0.0,0.0,-174.81895015495223
0.0,3000.0,0.0,0.0,3.0,383.0,1.0,573.0,-269.3434689172487
0.0,3000.0,2.0,103.0,0.0,0.0,1.0,2271.0,-403.25571434683775
0.0,3000.0,1.0,74.0,1.0,32.0,1.0,781.0,-191.782445065164
0.0,3000.0,1.0,74.0,2.0,539.0,1.0,1114.0,-489.9254298843069
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,2659.0,-357.8226205867182
0.0,3000.0,1.0,30.0,1.0,234.0,1.0,976.0,-277.30621101106243
0.0,3000.0,0.0,0.0,2.0,326.0,1.0,1592.0,-377.93447362660027
0.0,3000.0,2.0,134.0,0.0,0.0,1.0,1045.0,-268.05045207068747
0.0,3000.0,2.0,198.0,5.0,1523.0,0.0,0.0,-949.7107993918424
0.0,3000.0,0.0,0.0,1.0,102.0,1.0,1274.0,-222.79893161203472
0.0,3000.0,0.0,0.0,6.0,1341.0,0.0,0.0,-671.384082435204
0.0,3000.0,2.0,241.0,7.0,1487.0,0.0,0.0,-972.5069938674409
0.0,3000.0,2.0,83.0,7.0,918.0,1.0,171.0,-561.4946464545067
0.0,3000.0,2.0,95.0,3.0,593.0,0.0,0.0,-387.09478493257654
0.0,3000.0,2.0,121.0,7.0,1744.0,0.0,0.0,-987.467820666525
0.0,3000.0,3.0,239.0,5.0,864.0,0.0,0.0,-659.0203480199235
0.0,3000.0,1.0,34.0,3.0,282.0,0.0,0.0,-174.15939362684304
0.0,3000.0,4.0,273.0,6.0,1182.0,0.0,0.0,-850.0026661527373
0.0,3000.0,7.0,957.0,8.0,1598.0,0.0,0.0,-1704.8314568757135
0.0,3000.0,4.0,432.0,8.0,1517.0,0.0,0.0,-1167.89395638077
0.0,3000.0,2.0,428.0,4.0,892.0,2.0,569.0,-927.9242549075459
0.0,3000.0,3.0,244.0,8.0,1599.0,0.0,0.0,-1031.1564023413566
0.0,3000.0,2.0,101.0,4.0,688.0,0.0,0.0,-440.3423875837411
0.0,3000.0,0.0,0.0,1.0,144.0,1.0,1950.0,-335.13037379678013
