completion_index,native_return,learning_return,shaping_return
0,-424.878431595414,-272.45176362987104,152.42666796554295
1,-256.8037268556678,-128.2556994452768,128.54802741039097
2,-308.15012156393476,-166.3007617865778,141.84935977735697
3,-232.07081455987668,-83.15938629305411,148.91142826682255
4,-256.8464138500354,-70.0806666699544,186.765747180081
5,-226.1618864036366,-80.07771448451933,146.08417191911727
6,-13.06058009141285,137.29651651113525,150.3570966025481
7,-332.5311044161835,-178.20227781209607,154.32882660408742
8,-283.9983655851721,-138.56113386776448,145.43723171740763
9,-160.18407860371258,-1.5360368033887877,158.6480418003238
10,-93.29688608644766,38.00702983440069,131.30391592084834
11,-174.81895015495223,-56.5243625067819,118.29458764817034
12,-269.3434689172487,-163.32737181676978,106.0160971004789
13,-403.25571434683775,-157.23848473127188,246.01722961556587
14,-191.782445065164,-66.23877534296312,125.54366972220089
15,-489.9254298843069,-333.9606420385396,155.96478784576726
16,-357.8226205867182,-189.16134750709287,168.66127307962532
17,-277.30621101106243,-164.84354346212146,112.46266754894097
18,-377.93447362660027,-227.9607511251299,149.97372250147038
19,-268.05045207068747,-164.6796455980927,103.37080647259478
20,-949.7107993918424,-797.4974033282664,152.21339606357606
21,-222.79893161203472,-71.39451080150906,151.40442081052566
22,-671.384082435204,-541.891580948929,129.49250148627505
23,-972.5069938674409,-815.1644023091856,157.34259155825532
24,-561.4946464545067,-408.07389155314235,153.42075490136432
25,-387.09478493257654,-237.61647337979855,149.478311552778
26,-987.467820666525,-849.8803186712448,137.58750199528015
27,-659.0203480199235,-507.69715048068315,151.32319753924037
28,-174.15939362684304,25.226375192404216,199.38576881924726
29,-850.0026661527373,-669.7114806782095,180.29118547452788
30,-1704.8314568757135,-1543.6131180119057,161.21833886380773
31,-1167.89395638077,-1036.0365996044886,131.85735677628145
32,-927.9242549075459,-750.1091997963144,177.81505511123146
33,-1031.1564023413566,-815.3759345301074,215.7804678112492
34,-440.3423875837411,-319.67996140001515,120.66242618372593
35,-335.13037379678013,-167.9052374735069,167.22513632327323
36,-1212.38045285973,-1066.777940217151,145.6025126425791
37,-1002.7833702729886,-872.7541988243715,130.02917144861703
38,-1126.6856964297174,-944.56676690278,182.11892952693734
39,-932.0558562495495,-781.5534999284243,150.50235632112515
40,-1362.068338647415,-1195.1335649182097,166.9347737292053
41,-961.565023350528,-784.1975922435992,177.36743110692885
42,-1342.4582272510863,-1202.6792944967767,139.7789327543096
43,-600.2635704096737,-417.74686869530893,182.51670171436473
44,-1483.9687469437358,-1334.9988973946367,148.96984954909908
45,-189.9832458578677,-35.39298473132848,154.59026112653922
46,-891.9009162162577,-741.0047777338475,150.89613848241015
47,-719.1978589636944,-565.504572854678,153.6932861090164
48,-745.680691389583,-572.4109664855381,173.2697249040449
49,-1008.9954779550159,-866.056318480287,142.93915947472885
50,-866.5785706438569,-703.4865487690957,163.09202187476114
51,-225.09664504411413,-43.165308023667876,181.93133702044625
52,-379.0599558782718,-269.3011308707124,109.75882500755938
53,-918.3184443880551,-769.7077178652349,148.6107265228202
54,-249.738418509121,-97.83096255138051,151.9074559577405
55,-272.8845317961004,-103.727212068492,169.1573197276084
56,-1522.3282189344643,-1324.923894680998,197.40432425346626
57,-428.5635539772721,-272.46400316704523,156.09955081022684
58,-294.22139138819773,-165.50972205698548,128.71166933121225
59,-908.4205405456069,-758.1007735611435,150.3197669844634
60,-593.8116079181688,-474.1010898325329,119.71051808563584
61,-308.7277153585965,-71.754235105019,236.97348025357752
62,-297.0265313587826,-122.46961114726506,174.55692021151756
63,-299.5619276595001,-106.71592948983363,192.84599816966647
64,-468.5093648645676,-348.1023622113062,120.40700265326143
65,-110.7195618083829,38.56803434321855,149.28759615160146
66,-264.0314883789718,-72.31599027007954,191.71549810889226
67,-454.6909271367476,-326.629437817267,128.0614893194806
68,-228.00043887943622,-104.97581216114551,123.0246267182907
69,-310.4427918487921,-146.1002102592241,164.34258158956803
70,-581.8171282843006,-452.1175869748263,129.69954130947428
71,-596.6124567331349,-468.5178639932444,128.09459273989046
72,-242.79934699215934,-112.26674937286147,130.53259761929786
73,-514.1233991499478,-372.1698305842265,141.9535685657213
74,-87.74799419514444,42.40124423401047,130.1492384291549
75,-507.4493467064828,-362.11873736678075,145.33060933970205
76,-506.5782772546895,-332.5191187349451,174.05915851974441
77,-468.7379929226026,-288.64255713602086,180.09543578658173
78,-739.7986544531424,-586.9882696030639,152.81038485007844
79,-836.385296718698,-691.4544901243263,144.9308065943717
80,37.33017756729034,146.83474977992387,109.50457221263352
81,-167.85107745631367,-24.15006152977567,143.701015926538
82,-512.923305932036,-341.2582429695627,171.6650629624733
83,-1019.0220112472138,-915.6774828392705,103.34452840794324
84,-487.7420788023188,-359.77297834461064,127.96910045770818
85,-367.1247781124235,-180.7625747690854,186.36220334333808
86,-493.0925223361162,-351.73469510669304,141.35782722942315
87,-459.5924189959828,-280.0028977860697,179.58952120991313
88,-370.2881733569768,-179.41393014317836,190.87424321379845
89,-517.9357923786829,-365.8953621968216,152.04043018186127
90,-740.1860827631468,-633.2451106789736,106.94097208417327
91,-784.2256437102704,-574.6257826843805,209.59986102588994
92,-510.08432265551613,-354.1349509135848,155.94937174193132
93,-505.07580033117586,-379.8426199797841,125.23318035139175
94,-363.97485969441584,-202.3854705901444,161.58938910427145
95,-563.643601726381,-377.88422863555206,185.75937309082894
96,-910.3728771503476,-755.5742251824654,154.79865196788217
97,-554.9150495420341,-379.9585035071538,174.95654603488032
98,-912.8445275797743,-751.4275488288752,161.41697875089915
99,-677.0442996669577,-544.6131149118368,132.43118475512097
100,-196.56729202648717,-112.53612956362913,84.03116246285803
101,-317.7818585264655,-221.8898123415221,95.89204618494341
102,-303.46782957905,-187.1375963345431,116.33023324450687
103,-265.34923279403455,-87.39279019227648,177.95644260175806
104,-320.8787364299556,-202.0695799146669,118.80915651528872
105,-1069.5680520403084,-899.7253769529929,169.84267508731557
106,-656.7344533946084,-516.8483481506935,139.88610524391493
107,-877.0007196610734,-722.7267073318208,154.27401232925263
108,-400.7195455039744,-190.56031744145673,210.15922806251768
109,-363.3124524510268,-212.68195262315356,150.63049982787322
110,-1534.0027254426236,-1402.7370927339196,131.26563270870406
111,-42.663045731291625,126.05643008367016,168.71947581496178
112,-280.08058971416784,-150.41442079391618,129.66616892025166
113,-833.6055201888706,-618.6180537949327,214.9874663939379
114,-450.90281740336394,-325.073612861446,125.82920454191793
115,-200.57186193394935,-71.03127288998877,129.54058904396058
116,-714.8912807391898,-594.7470355270757,120.14424521211413
117,-0.6585222142163735,144.61792555239055,145.2764477666069
118,-315.62465390840117,-203.73800133770112,111.88665257070005
119,-313.7170341911416,-148.04665735333774,165.67037683780384
120,-23.2121794065228,72.362718615138,95.5748980216608
121,-49.20148180442927,41.29044520921293,90.4919270136422
122,-1475.4608229772389,-1327.6932129986828,147.76760997855604
123,-505.21113412753084,-369.1745638107159,136.03657031681496
124,-761.2701303076257,-621.9573250004032,139.31280530722245
125,-300.1649478760646,-166.7810590337642,133.38388884230042
126,-450.37845021515517,-284.68070714952063,165.69774306563454
127,-1247.1046801145053,-1101.6550008432816,145.44967927122366
128,-445.22175027996946,-318.85351796219925,126.36823231777021
129,-387.1321655529917,-246.89212005443198,140.2400454985597
130,-1594.4505197225549,-1446.5435092143584,147.90701050819644
131,-300.9384601009227,-172.44558427465296,128.49287582626977
132,-362.6594954847172,-218.34754191603082,144.31195356868636
133,-519.8428383360796,-338.5146646082544,181.32817372782517
134,-578.241668277681,-421.35769171601544,156.88397656166558
135,-388.1936551544224,-237.61334944338992,150.58030571103248
136,-257.03554862246403,-137.5468408941413,119.48870772832274
137,-346.11949408893224,-236.61968999301416,109.49980409591808
138,-404.2775026645579,-184.1543024065259,220.12320025803203
139,-1102.354647985523,-952.8886200985351,149.46602788698783
140,-356.07954372798076,-141.85406821196423,214.22547551601653
