rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction
1,5120,0,5120,0,0,50,10,23.526492100034375,217.6270044097445,,,,-0.011305191842839122,0.048312147669494154,0.007839754223823547,0.07564453125
2,10210,30,10240,0,1,100,20,36.65275170002133,278.5602588193688,-1.0704180562826136,-215.1567215939136,1.0,-0.012235747578088194,0.030122765824198722,0.008948350325226784,0.08980704544344917
3,15242,118,15360,2,20,150,30,49.99330810003448,304.88080463692074,-1.4389094968028275,-290.35590078146504,0.05,-0.00634736969252117,0.04055673561990261,0.005247832275927067,0.04154013109393418
4,20243,237,20480,2,21,200,40,62.70868070004508,322.8101719573483,-1.5460422118464208,-301.2138189985551,0.09523809523809523,-0.006450436756713316,0.03852779656648636,0.005615909583866596,0.029347785711288453
5,25187,413,25600,4,40,250,50,75.40607780002756,334.01816849292214,-3.998132428077189,-552.1621436206535,0.05,-0.009294055534992367,0.02911356009542942,0.006881927140057087,0.06198850248008966
6,30141,579,30720,4,41,300,60,87.90989140002057,342.8624415294517,-3.874120788125082,-538.2109030362358,0.07317073170731707,-0.006020946516655385,0.05912670824676752,0.0053194426000118256,0.03887042000889778
7,35005,835,35840,4,41,350,70,100.20709219999844,349.3265719170379,-3.874120788125082,-538.2109030362358,0.07317073170731707,-0.007241063480032608,0.05876269318163395,0.005208013113588095,0.05353515620110556
8,40117,843,40960,6,60,400,80,113.22577920003096,354.30977188619806,-4.4691592458881875,-597.5835002953997,0.05,-0.010333648786181584,0.046066947504878046,0.008249886333942413,0.07203663237392903
9,45085,995,46080,6,62,450,90,125.81270549999317,358.3501349949306,-4.297577062615443,-579.5205225054291,0.08064516129032258,-0.007494103998542414,0.06149350628256798,0.006817911751568317,0.05389334868639708
10,50013,1187,51200,8,80,500,100,138.85888449999038,360.1714084056571,-4.395372121086908,-589.044517766175,0.0625,-0.009959806688129902,0.026139063574373723,0.007530348841100931,0.0755994589626789
11,54970,1350,56320,8,82,550,110,151.5328620999935,362.759597081499,-4.253095906087486,-573.7711955584354,0.08536585365853659,-0.010746533786877989,0.01021703539416194,0.007251410745084286,0.07322580926120281
12,59722,1718,61440,10,100,600,120,164.17952460004017,363.7603418909241,-3.698398568452764,-518.6351286262537,0.07,-0.010875291465781629,0.009258568044751883,0.007095412816852331,0.06600847959518433
13,64842,1718,66560,10,100,650,130,177.01757990004262,366.3026013383227,-3.698398568452764,-518.6351286262537,0.07,-0.010263195568695664,0.011027989368885755,0.007376895751804113,0.05689453125
14,69893,1787,71680,10,101,700,140,190.8182665000204,366.28044726521256,-3.725210818616935,-521.7234818778542,0.07,-0.009529181704856456,0.00607260886579752,0.006214513443410397,0.08017731534317135
15,74959,1841,76800,12,121,750,150,210.16232160001528,356.6719259157373,-3.6447703139225154,-515.8600082622312,0.07,-0.01171356457285583,0.017661068718880416,0.007455651648342609,0.08040552511811257
16,79823,2097,81920,12,121,800,160,225.58161450002808,353.85419231490636,-3.6447703139225154,-515.8600082622312,0.07,-0.01042413963470608,0.006789883999153971,0.008411798626184464,0.0991861980035901
17,84839,2201,87040,14,140,850,170,239.65521090000402,354.00440358210705,-2.7431187584341035,-429.99904309439876,0.07,-0.010892347134649753,0.00930170524865389,0.007215848658233881,0.07661752685904503
18,89739,2421,92160,14,141,900,180,254.44603120000102,352.6838268090842,-2.7500358504949993,-430.97903132115425,0.07,-0.009622197185830714,0.011818179413676261,0.008791369386017323,0.07241138068493455
19,94543,2737,97280,16,160,950,190,268.4008731000358,352.24550094798997,-1.8783542669391,-349.3011497054771,0.08,-0.011963309440761804,0.00677637305110693,0.007097859866917133,0.08383176654577255
20,99663,2737,102400,16,160,1000,200,283.073926400044,352.07410752184524,-1.8783542669391,-349.3011497054771,0.08,-0.008954067029990256,0.01783594274893403,0.007308459375053644,0.06623046875
21,104783,2737,107520,16,161,1050,210,298.076977299992,351.5300005694295,-1.8828542120790899,-349.9871796326627,0.08,-0.010799728382844478,0.012484556129202247,0.006856353487819433,0.060078125
