time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/std,train/clip_range,train/clip_fraction,train/learning_rate,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/entropy_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates
5120,424,12,1,,,,,,,,,,,,,
10240,424,12,1,0.6058459877967834,0.2,0.07564453125,0.0003,0.048312147669494154,0.007839754,-0.011305191842839122,-0.01859157904982567,-1.838071026802063,0.48955899477005005,-1.0704180562826136,482.0,10
15360,417,12,1,0.5995911359786987,0.2,0.08980704544344917,0.0003,0.030122765824198722,0.00894835,-0.012235747578088194,-0.03259093314409256,-1.8262796449661254,0.3571021556854248,-1.4389094968028275,594.1,20
20480,442,11,1,0.5997384786605835,0.2,0.04154013109393418,0.0003,0.04055673561990261,0.0052478323,-0.00634736969252117,-0.017512425780296326,-1.812723820209503,0.5070729851722717,-1.5460422118464208,580.3333333333334,30
25600,442,11,1,0.5983951091766357,0.2,0.029347785711288453,0.0003,0.03852779656648636,0.0056159096,-0.006450436756713316,-0.02318732626736164,-1.8149131083488463,0.5859816074371338,-3.998132428077189,589.675,40
30720,447,11,1,0.5985389947891235,0.2,0.06198850248008966,0.0003,0.02911356009542942,0.006881927,-0.009294055534992367,-0.016531648114323616,-1.8101569938659667,0.5495113730430603,-3.874120788125082,579.439024390244,50
35840,453,11,1,0.6004140973091125,0.2,0.03887042000889778,0.0003,0.05912670824676752,0.0053194426,-0.006020946516655385,-0.013814684003591537,-1.8143688726425171,0.4270061254501343,-3.874120788125082,579.439024390244,60
40960,430,11,1,0.5988720655441284,0.2,0.05353515620110556,0.0003,0.05876269318163395,0.005208013,-0.007241063480032608,-0.015500804409384727,-1.8157679009437562,0.6648396253585815,-4.4691592458881875,585.95,70
46080,444,11,1,0.6010149121284485,0.2,0.07203663237392903,0.0003,0.046066947504878046,0.008249886,-0.010333648786181584,-0.023019826039671898,-1.814765326976776,0.5657692551612854,-4.297577062615443,580.8548387096774,80
51200,429,11,1,0.6001232266426086,0.2,0.05389334868639708,0.0003,0.06149350628256798,0.0068179118,-0.007494103998542414,-0.014526121318340302,-1.8187279772758485,0.7109557390213013,-4.395372121086908,585.1625,90
56320,440,11,1,0.5971437692642212,0.2,0.0755994589626789,0.0003,0.026139063574373723,0.007530349,-0.009959806688129902,-0.026097889989614487,-1.8119920420646667,0.767092764377594,-4.253095906087486,579.0487804878048,100
61440,441,11,1,0.5967146158218384,0.2,0.07322580926120281,0.0003,0.01021703539416194,0.0072514107,-0.010746533786877989,-0.03401343151926994,-1.804732460975647,0.8565254211425781,-3.698398568452764,582.82,110
66560,437,11,1,0.5962611436843872,0.2,0.06600847959518433,0.0003,0.009258568044751883,0.007095413,-0.010875291465781629,-0.03574177622795105,-1.804023461341858,0.8400806784629822,-3.698398568452764,582.82,120
71680,417,12,1,0.5968326330184937,0.2,0.05689453125,0.0003,0.011027989368885755,0.0073768958,-0.010263195568695664,-0.02905905991792679,-1.803415288925171,0.6963995695114136,-3.725210818616935,583.15,130
76800,281,18,1,0.5946484804153442,0.2,0.08017731534317135,0.0003,0.00607260886579752,0.0062145134,-0.009529181704856456,-0.028421960771083832,-1.802351517677307,0.7776196599006653,-3.6447703139225154,582.12,140
81920,363,14,1,0.5934624671936035,0.2,0.08040552511811257,0.0003,0.017661068718880416,0.0074556516,-0.01171356457285583,-0.03359314799308777,-1.7951553678512573,0.6592397689819336,-3.6447703139225154,582.12,150
87040,396,12,1,0.5908613204956055,0.2,0.0991861980035901,0.0003,0.006789883999153971,0.008411799,-0.01042413963470608,-0.028873100876808167,-1.7887598919868468,0.7542840242385864,-2.7431187584341035,582.12,160
92160,381,13,1,0.5920717716217041,0.2,0.07661752685904503,0.0003,0.00930170524865389,0.0072158487,-0.010892347134649753,-0.03345780074596405,-1.7866695547103881,0.8093491792678833,-2.7500358504949993,582.3,170
97280,395,12,1,0.5894076824188232,0.2,0.07241138068493455,0.0003,0.011818179413676261,0.008791369,-0.009622197185830714,-0.023173457011580467,-1.7846320247650147,0.735439121723175,-1.8783542669391,581.06,180
102400,392,13,1,0.5874689817428589,0.2,0.08383176654577255,0.0003,0.00677637305110693,0.00709786,-0.011963309440761804,-0.039988767355680466,-1.7758119583129883,0.7841256260871887,-1.8783542669391,581.06,190
107520,367,13,1,0.5896643400192261,0.2,0.06623046875,0.0003,0.01783594274893403,0.0073084594,-0.008954067029990256,-0.026952562853693962,-1.775530047416687,0.56064772605896,-1.8828542120790899,582.8,200
