waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
1.0,2410.0,1.0,30.0,1.0,234.0,1.0,794.0,-215.1567215939136
0.0,3000.0,4.0,555.0,0.0,0.0,1.0,230.0,-556.7411443008259
0.0,3000.0,0.0,0.0,1.0,273.0,1.0,1158.0,-292.99915926566905
0.0,3000.0,3.0,370.0,0.0,0.0,1.0,404.0,-405.04997518908925
0.0,3000.0,1.0,47.0,1.0,350.0,0.0,0.0,-220.2927064196591
0.0,3000.0,3.0,326.0,0.0,0.0,1.0,229.0,-340.00876495824986
0.0,3000.0,3.0,252.0,0.0,0.0,0.0,0.0,-239.3443740799808
0.0,3000.0,1.0,56.0,1.0,24.0,0.0,0.0,-66.05733297300117
0.0,3000.0,5.0,524.0,0.0,0.0,1.0,727.0,-594.0475724105125
0.0,3000.0,0.0,0.0,3.0,563.0,2.0,324.0,-325.8995726651172
0.0,3000.0,2.0,144.0,1.0,96.0,1.0,108.0,-199.5848034673642
0.0,3000.0,0.0,0.0,0.0,0.0,2.0,1331.0,-179.63667353128582
0.0,3000.0,0.0,0.0,2.0,431.0,0.0,0.0,-216.27690978228287
0.0,3000.0,1.0,70.0,1.0,9.0,2.0,1657.0,-294.14081248732424
0.0,3000.0,2.0,103.0,0.0,0.0,1.0,2309.0,-408.6906520269991
0.0,3000.0,1.0,73.0,1.0,32.0,1.0,758.0,-187.7289067907855
0.0,3000.0,2.0,143.0,0.0,0.0,1.0,1007.0,-271.41609541761744
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,2439.0,-328.29191599012984
0.0,3000.0,0.0,0.0,2.0,326.0,2.0,727.0,-261.69690012042815
0.0,3000.0,1.0,73.0,0.0,0.0,1.0,998.0,-204.05702215906547
1.0,1523.0,3.0,514.0,2.0,139.0,0.0,0.0,-518.3721833403556
0.0,3000.0,0.0,0.0,3.0,499.0,0.0,0.0,-250.48990031681967
0.0,3000.0,0.0,0.0,1.0,220.0,1.0,2101.0,-392.95871285518
0.0,3000.0,1.0,108.0,5.0,2127.0,0.0,0.0,-1166.588042816035
0.0,3000.0,3.0,402.0,3.0,452.0,0.0,0.0,-607.2428424807035
0.0,3000.0,1.0,108.0,4.0,1189.0,0.0,0.0,-697.6813503909673
0.0,3000.0,1.0,227.0,2.0,581.0,0.0,0.0,-505.9830371294946
0.0,3000.0,0.0,0.0,1.0,495.0,0.0,0.0,-248.40522057397533
0.0,3000.0,1.0,102.0,2.0,349.0,0.0,0.0,-271.94264307505966
0.0,3000.0,4.0,587.0,2.0,446.0,0.0,0.0,-779.2336733523723
0.0,3000.0,1.0,68.0,9.0,1747.0,0.0,0.0,-938.7093966221977
0.0,3000.0,3.0,263.0,4.0,1701.0,0.0,0.0,-1100.234836358509
0.0,3000.0,2.0,162.0,2.0,1400.0,0.0,0.0,-854.1269094541424
0.0,3000.0,4.0,576.0,6.0,1595.0,1.0,171.0,-1366.103789424918
0.0,3000.0,3.0,250.0,6.0,1404.0,0.0,0.0,-939.3592154110167
0.0,3000.0,5.0,333.0,7.0,2340.0,0.0,0.0,-1486.0543435126538
0.0,3000.0,1.0,116.0,7.0,1631.0,0.0,0.0,-926.1086212920899
0.0,3000.0,0.0,0.0,8.0,1992.0,0.0,0.0,-996.81722565174
0.0,3000.0,0.0,0.0,5.0,1933.0,0.0,0.0,-967.3587690202132
0.0,3000.0,3.0,526.0,5.0,1534.0,0.0,0.0,-1265.5970161183945
1.0,848.0,0.0,0.0,1.0,35.0,0.0,0.0,19.838720340471077
0.0,3000.0,5.0,1013.0,1.0,34.0,0.0,0.0,-975.9392720593172
0.0,3000.0,3.0,150.0,4.0,1337.0,0.0,0.0,-811.4018273033693
0.0,3000.0,2.0,99.0,7.0,1913.0,0.0,0.0,-1051.1956554053345
0.0,3000.0,2.0,178.0,3.0,655.0,0.0,0.0,-496.5711240716659
0.0,3000.0,0.0,0.0,1.0,136.0,1.0,971.0,-199.07156375268906
0.0,3000.0,4.0,249.0,6.0,1464.0,0.0,0.0,-968.2448682122895
0.0,3000.0,3.0,504.0,1.0,50.0,0.0,0.0,-502.8149450016954
0.0,3000.0,4.0,651.0,1.0,33.0,0.0,0.0,-633.3280632661014
0.0,3000.0,1.0,80.0,3.0,1459.0,0.0,0.0,-806.1271267864183
0.0,3000.0,5.0,898.0,7.0,1229.0,0.0,0.0,-1464.5103874143858
0.0,3000.0,0.0,0.0,6.0,1539.0,0.0,0.0,-770.2575947085384
0.0,3000.0,4.0,1124.0,1.0,812.0,0.0,0.0,-1469.927329173564
0.0,3000.0,1.0,96.0,1.0,605.0,0.0,0.0,-394.0480101256989
0.0,3000.0,6.0,621.0,6.0,673.0,0.0,0.0,-924.878735807397
0.0,3000.0,0.0,0.0,3.0,515.0,0.0,0.0,-258.76720887700634
0.0,3000.0,0.0,0.0,1.0,191.0,0.0,0.0,-96.51990089776756
0.0,3000.0,0.0,0.0,1.0,1.0,2.0,1514.0,-204.72637057088042
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,1083.0,-146.54554826317158
0.0,3000.0,4.0,1113.0,8.0,1120.0,0.0,0.0,-1613.4874615410324
1.0,2008.0,1.0,57.0,0.0,0.0,0.0,0.0,-16.79778597448332
1.0,2266.0,0.0,0.0,1.0,191.0,0.0,0.0,-58.46459163812956
0.0,3000.0,3.0,276.0,1.0,379.0,0.0,0.0,-451.43091311930465
0.0,3000.0,4.0,1333.0,0.0,0.0,1.0,333.0,-1306.54143857513
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,1719.0,-231.98981904547674
0.0,3000.0,6.0,714.0,1.0,314.0,0.0,0.0,-833.2653034338257
0.0,3000.0,3.0,449.0,2.0,324.0,0.0,0.0,-587.3302839162084
0.0,3000.0,1.0,71.0,0.0,0.0,1.0,1860.0,-318.03954681700964
0.0,3000.0,4.0,1333.0,0.0,0.0,1.0,815.0,-1371.1487497233086
0.0,3000.0,3.0,152.0,1.0,83.0,1.0,988.0,-319.13760631402505
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,2369.0,-319.2220712075052
0.0,3000.0,1.0,78.0,2.0,528.0,0.0,0.0,-338.71786380381604
0.0,3000.0,3.0,119.0,2.0,445.0,0.0,0.0,-335.76866950509367
0.0,3000.0,4.0,531.0,3.0,692.0,0.0,0.0,-848.874413452392
0.0,3000.0,2.0,166.0,3.0,1025.0,0.0,0.0,-670.4818913720302
0.0,3000.0,1.0,264.0,2.0,274.0,0.0,0.0,-387.6999484056022
0.0,3000.0,0.0,0.0,0.0,0.0,1.0,275.0,-38.1115094480718
0.0,3000.0,4.0,419.0,5.0,1598.0,0.0,0.0,-1196.0337256913222
0.0,3000.0,4.0,360.0,4.0,1058.0,0.0,0.0,-870.1837770559875
0.0,3000.0,2.0,352.0,2.0,871.0,0.0,0.0,-769.3114950712823
1.0,1474.0,0.0,0.0,0.0,0.0,0.0,0.0,37.183493042863255
1.0,1867.0,0.0,0.0,0.0,0.0,0.0,0.0,37.13989245942987
0.0,3000.0,1.0,47.0,1.0,24.0,1.0,761.0,-159.72038436276162
0.0,3000.0,1.0,92.0,0.0,0.0,2.0,1884.0,-341.14853888148684
0.0,3000.0,1.0,78.0,1.0,143.0,2.0,1532.0,-351.99645866254775
