Metric | Reference | Candidate | Change [95% interval]
waypoint_reached | 0.9935 | 0.9930 | -0.0005 [-0.0050, +0.0040]
flight_time | 994.0735 | 1001.9095 | +7.8360 [-3.1626, +19.1424]
intrusion_events | 0.0510 | 0.0490 | -0.0020 [-0.0150, +0.0120]
intrusion_time | 2.5360 | 2.5270 | -0.0090 [-0.7060, +0.7741]
restricted_area_events | 0.0210 | 0.0195 | -0.0015 [-0.0065, +0.0035]
time_in_restricted_area | 0.9275 | 0.9560 | +0.0285 [-0.0895, +0.1400]
sector_exit_events | 0.0000 | 0.0000 | +0.0000 [+0.0000, +0.0000]
time_outside_sector | 0.0000 | 0.0000 | +0.0000 [+0.0000, +0.0000]
clean_completion_rate | 0.9380 | 0.9445 | +0.0065 [-0.0040, +0.0165]
all_aircraft_clean_completion_rate | 0.7300 | 0.7350 | +0.0050 [-0.0400, +0.0500]
