Metric | Reference | Candidate | Change [95% interval]
waypoint_reached | 0.9700 | 0.9900 | +0.0200 [+0.0000, +0.0450]
flight_time | 1221.2050 | 1198.7500 | -22.4550 [-72.8900, +23.4754]
intrusion_events | 0.3350 | 0.3300 | -0.0050 [-0.0650, +0.0500]
intrusion_time | 18.6350 | 16.0800 | -2.5550 [-6.7951, +1.3101]
restricted_area_events | 0.0300 | 0.0250 | -0.0050 [-0.0250, +0.0150]
time_in_restricted_area | 0.9250 | 1.6100 | +0.6850 [-0.8600, +2.7350]
sector_exit_events | 0.0100 | 0.0050 | -0.0050 [-0.0150, +0.0000]
time_outside_sector | 0.4650 | 0.3200 | -0.1450 [-0.3950, +0.0000]
clean_completion_rate | 0.6800 | 0.6850 | +0.0050 [-0.0450, +0.0550]
all_aircraft_clean_completion_rate | 0.6800 | 0.6850 | +0.0050 [-0.0450, +0.0550]
