episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL001,1,915.0,0,0.0,0,0.0,0,0.0,249.96996169059184
1,KL001,1,1103.0,2,77.0,0,0.0,0,0.0,177.09119544990983
2,KL001,1,744.0,0,0.0,0,0.0,0,0.0,249.98155309778457
3,KL001,1,784.0,0,0.0,0,0.0,0,0.0,249.96990666348697
4,KL001,1,963.0,2,86.0,0,0.0,0,0.0,168.61839150210469
5,KL001,1,1138.0,0,0.0,0,0.0,0,0.0,249.8921720428559
6,KL001,1,1164.0,0,0.0,0,0.0,0,0.0,249.94407755517688
7,KL001,1,1184.0,0,0.0,0,0.0,0,0.0,249.91927944651917
8,KL001,1,1012.0,1,52.0,0,0.0,0,0.0,200.7817626785494
9,KL001,1,1023.0,0,0.0,0,0.0,0,0.0,249.96198244005356
10,KL001,1,1737.0,0,0.0,0,0.0,0,0.0,249.831508793003
11,KL001,1,746.0,0,0.0,0,0.0,0,0.0,249.98930202651297
12,KL001,1,1045.0,0,0.0,0,0.0,0,0.0,249.96494006651807
13,KL001,1,679.0,0,0.0,0,0.0,0,0.0,249.97784388828686
14,KL001,1,852.0,0,0.0,0,0.0,0,0.0,249.96001993434723
15,KL001,1,707.0,0,0.0,0,0.0,0,0.0,249.97418534653497
16,KL001,1,739.0,1,30.0,0,0.0,0,0.0,221.609716535369
17,KL001,1,948.0,0,0.0,0,0.0,0,0.0,249.94843321920965
18,KL001,1,705.0,0,0.0,0,0.0,0,0.0,249.97424191832638
19,KL001,1,597.0,0,0.0,0,0.0,0,0.0,249.98997790649565
