episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL001,1,782.0,0,0.0,0,0.0,0,0.0,249.97537006757003
1,KL001,1,1552.0,0,0.0,0,0.0,0,0.0,249.86016873864327
2,KL001,1,1112.0,0,0.0,0,0.0,0,0.0,249.9182819935607
3,KL001,1,868.0,1,42.0,0,0.0,0,0.0,210.24592612221687
4,KL001,1,1124.0,0,0.0,0,0.0,0,0.0,249.91011953913815
5,KL001,1,644.0,0,0.0,0,0.0,0,0.0,249.99383979669233
6,KL001,1,723.0,0,0.0,0,0.0,0,0.0,249.9757674915948
7,KL001,1,896.0,1,31.0,0,0.0,0,0.0,220.64546977203935
8,KL001,1,2022.0,0,0.0,0,0.0,0,0.0,249.77728117919557
9,KL001,1,2498.0,1,28.0,0,0.0,0,0.0,223.24317332473726
10,KL001,1,914.0,0,0.0,0,0.0,0,0.0,249.97107839748983
11,KL001,1,1428.0,1,44.0,0,0.0,0,0.0,208.2702730148776
12,KL001,1,1303.0,1,75.0,0,0.0,0,0.0,178.98773927550343
13,KL001,1,991.0,0,0.0,0,0.0,0,0.0,249.94300194082476
14,KL001,1,983.0,2,67.0,0,0.0,0,0.0,186.55384176290914
15,KL001,1,600.0,0,0.0,0,0.0,0,0.0,249.9856932067241
16,KL001,1,1418.0,0,0.0,0,0.0,0,0.0,249.84552169566
17,KL001,1,680.0,1,12.0,0,0.0,0,0.0,238.62519798473286
18,KL001,1,1178.0,1,41.0,0,0.0,0,0.0,211.14403953604258
19,KL001,1,1348.0,0,0.0,0,0.0,0,0.0,249.8805129524416
20,KL001,1,806.0,0,0.0,0,0.0,0,0.0,249.9657920153284
21,KL001,1,1006.0,1,18.0,0,0.0,0,0.0,232.94744989756373
22,KL001,1,1143.0,0,0.0,0,0.0,0,0.0,249.93423089293242
23,KL001,1,1520.0,0,0.0,0,0.0,0,0.0,249.8507742004055
24,KL001,1,1928.0,0,0.0,0,0.0,0,0.0,249.82054281097768
25,KL001,1,630.0,0,0.0,0,0.0,0,0.0,249.98833002672094
26,KL001,1,1306.0,0,0.0,0,0.0,0,0.0,249.8829297839313
27,KL001,1,850.0,0,0.0,0,0.0,0,0.0,249.9539866147006
28,KL001,1,1671.0,1,55.0,0,0.0,0,0.0,197.8480252445114
29,KL001,1,985.0,0,0.0,0,0.0,0,0.0,249.95416452157696
30,KL001,1,741.0,0,0.0,0,0.0,0,0.0,249.98613706569108
31,KL001,1,732.0,0,0.0,0,0.0,0,0.0,249.98161118291705
32,KL001,1,834.0,0,0.0,0,0.0,0,0.0,249.94012665457663
33,KL001,1,2971.0,1,26.0,0,0.0,0,0.0,225.04464788386005
34,KL001,1,2287.0,0,0.0,0,0.0,0,0.0,249.78223790141342
35,KL001,1,2071.0,0,0.0,0,0.0,0,0.0,249.81455252946506
36,KL001,1,850.0,0,0.0,0,0.0,0,0.0,249.94103110634876
37,KL001,1,710.0,1,16.0,0,0.0,0,0.0,234.83056437873748
38,KL001,1,930.0,1,7.0,0,0.0,0,0.0,243.3357934950398
39,KL001,1,693.0,0,0.0,0,0.0,0,0.0,249.973499887887
40,KL001,1,1004.0,0,0.0,0,0.0,0,0.0,249.9267277627986
41,KL001,1,751.0,0,0.0,0,0.0,0,0.0,249.97607458626615
42,KL001,1,642.0,0,0.0,0,0.0,0,0.0,249.9852770159931
43,KL001,1,755.0,0,0.0,0,0.0,0,0.0,249.97914176189678
44,KL001,1,1482.0,0,0.0,0,0.0,0,0.0,249.87471370459232
45,KL001,1,998.0,1,35.0,0,0.0,0,0.0,216.8270771107106
46,KL001,1,1110.0,0,0.0,0,0.0,0,0.0,249.96470549260005
47,KL001,1,1646.0,0,0.0,1,100.0,0,0.0,199.8377257304332
48,KL001,1,907.0,0,0.0,0,0.0,0,0.0,249.97769792969757
49,KL001,1,1129.0,0,0.0,0,0.0,0,0.0,249.94460391568896
50,KL001,1,1277.0,0,0.0,0,0.0,0,0.0,249.93380267485355
51,KL001,1,944.0,0,0.0,0,0.0,0,0.0,249.96910308782884
52,KL001,1,1730.0,1,88.0,0,0.0,0,0.0,166.62643545586786
53,KL001,1,1271.0,0,0.0,0,0.0,0,0.0,249.89676906553993
54,KL001,1,1342.0,0,0.0,0,0.0,0,0.0,249.89275339082502
55,KL001,1,1029.0,0,0.0,0,0.0,0,0.0,249.94294824459354
56,KL001,1,1235.0,1,23.0,0,0.0,0,0.0,228.16155988512594
57,KL001,1,1059.0,0,0.0,0,0.0,0,0.0,249.92718335045487
58,KL001,1,1201.0,1,57.0,0,0.0,0,0.0,195.99471030905704
59,KL001,1,905.0,0,0.0,0,0.0,0,0.0,249.95679441486482
60,KL001,1,1538.0,1,59.0,0,0.0,0,0.0,194.03616665469306
61,KL001,1,841.0,1,22.0,0,0.0,0,0.0,229.15325311954084
62,KL001,1,1176.0,0,0.0,0,0.0,0,0.0,249.9341277170418
63,KL001,1,1034.0,1,61.0,0,0.0,0,0.0,192.28806302725872
64,KL001,1,2570.0,0,0.0,0,0.0,0,0.0,249.75794364027988
65,KL001,1,745.0,0,0.0,0,0.0,0,0.0,249.9789777426449
66,KL001,1,966.0,0,0.0,0,0.0,0,0.0,249.9593159122191
67,KL001,1,2350.0,1,55.0,0,0.0,0,0.0,197.718101883608
68,KL001,1,1085.0,0,0.0,0,0.0,0,0.0,249.95513691654116
69,KL001,1,708.0,1,40.0,0,0.0,0,0.0,212.1377304063691
70,KL001,1,1153.0,0,0.0,0,0.0,0,0.0,249.96372312880183
71,KL001,1,807.0,0,0.0,0,0.0,0,0.0,249.97759759490964
72,KL001,1,754.0,0,0.0,0,0.0,0,0.0,249.98068017428528
73,KL001,1,798.0,1,53.0,0,0.0,0,0.0,199.84427170903714
74,KL001,1,640.0,0,0.0,0,0.0,0,0.0,249.9865330695499
75,KL001,1,978.0,0,0.0,0,0.0,0,0.0,249.96857409061633
76,KL001,1,1083.0,0,0.0,0,0.0,0,0.0,249.95443912908854
77,KL001,1,1120.0,0,0.0,0,0.0,0,0.0,249.9534746945887
78,KL001,1,1216.0,0,0.0,0,0.0,0,0.0,249.96929615695964
79,KL001,1,1628.0,0,0.0,0,0.0,0,0.0,249.88351583103534
80,KL001,1,1687.0,0,0.0,0,0.0,0,0.0,249.81197245114507
81,KL001,1,2029.0,2,251.0,0,0.0,0,0.0,12.403443628865318
82,KL001,1,1450.0,1,28.0,0,0.0,0,0.0,223.40664069740544
83,KL001,1,790.0,0,0.0,0,0.0,0,0.0,249.9760221286819
84,KL001,1,1313.0,0,0.0,0,0.0,0,0.0,249.91841133545768
85,KL001,1,890.0,0,0.0,0,0.0,0,0.0,249.9829270402866
86,KL001,1,1140.0,1,35.0,0,0.0,0,0.0,216.8399486584124
87,KL001,1,2008.0,1,54.0,0,0.0,0,0.0,198.72041965164476
88,KL001,1,612.0,0,0.0,0,0.0,0,0.0,249.9832890425978
89,KL001,1,1130.0,0,0.0,1,47.0,0,0.0,226.42229894904298
90,KL001,1,1016.0,0,0.0,0,0.0,0,0.0,249.93146131102498
91,KL001,1,995.0,0,0.0,0,0.0,0,0.0,249.9598130529797
92,KL001,1,826.0,0,0.0,0,0.0,0,0.0,249.9645544601841
93,KL001,1,825.0,1,12.0,0,0.0,0,0.0,238.60788174915123
94,KL001,1,800.0,0,0.0,0,0.0,0,0.0,249.97833379768036
95,KL001,1,754.0,1,59.0,0,0.0,0,0.0,194.1658154531021
96,KL001,1,1255.0,0,0.0,0,0.0,0,0.0,249.96143287900944
97,KL001,1,954.0,0,0.0,0,0.0,0,0.0,249.9511932172107
98,KL001,1,1447.0,2,105.0,0,0.0,0,0.0,150.5792555772506
99,KL001,1,932.0,0,0.0,0,0.0,0,0.0,249.98600513814782
100,KL001,1,776.0,0,0.0,0,0.0,0,0.0,249.98412718974168
