episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL001,1,849.0,0,0.0,0,0.0,0,0.0,37.38157858266805
1,KL001,1,1098.0,2,78.0,0,0.0,0,0.0,-36.43350025464617
2,KL001,1,723.0,0,0.0,0,0.0,0,0.0,37.41716380266115
3,KL001,1,752.0,0,0.0,0,0.0,0,0.0,37.39761685921508
4,KL001,1,1890.0,1,41.0,0,0.0,0,0.0,-1.5442068800250226
5,KL001,1,1475.0,1,47.0,0,0.0,0,0.0,-7.181589454804083
6,KL001,1,826.0,0,0.0,0,0.0,0,0.0,37.40509111612047
7,KL001,1,1155.0,0,0.0,0,0.0,0,0.0,37.34972032398181
8,KL001,1,983.0,1,52.0,0,0.0,0,0.0,-11.781583332610275
9,KL001,1,894.0,0,0.0,0,0.0,0,0.0,37.38870211205626
10,KL001,1,1634.0,0,0.0,0,0.0,0,0.0,37.27666995356932
11,KL001,1,735.0,0,0.0,0,0.0,0,0.0,37.41716379504759
12,KL001,1,1177.0,0,0.0,0,0.0,0,0.0,37.357142518078525
13,KL001,1,647.0,0,0.0,0,0.0,0,0.0,37.41264115320722
14,KL001,1,842.0,0,0.0,0,0.0,0,0.0,37.38830081062577
15,KL001,1,689.0,0,0.0,0,0.0,0,0.0,37.404248163286745
16,KL001,1,827.0,1,30.0,0,0.0,0,0.0,9.017000748204197
17,KL001,1,945.0,0,0.0,0,0.0,0,0.0,37.37055807104565
18,KL001,1,1863.0,0,0.0,0,0.0,0,0.0,37.22881576119427
19,KL001,1,596.0,0,0.0,0,0.0,0,0.0,37.41069910901879
20,KL001,1,674.0,0,0.0,0,0.0,0,0.0,37.41403747508331
21,KL001,1,1309.0,0,0.0,0,0.0,0,0.0,37.343197848202095
22,KL001,1,850.0,1,17.0,0,0.0,0,0.0,21.29338806366452
23,KL001,1,777.0,0,0.0,0,0.0,0,0.0,37.41716380531937
24,KL001,1,739.0,0,0.0,0,0.0,0,0.0,37.41686070560453
25,KL001,1,1356.0,2,120.0,0,0.0,0,0.0,-76.17837700399
26,KL001,1,767.0,0,0.0,0,0.0,0,0.0,37.38754147057353
