episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL001,1,2779.0,0,0.0,0,0.0,0,0.0,22.086901105060626
1,KL001,1,1077.0,2,455.0,0,0.0,0,0.0,-430.72924377504495
2,KL001,1,784.0,1,55.0,0,0.0,0,0.0,-30.000196778668215
3,KL001,1,814.0,0,0.0,0,0.0,0,0.0,24.8033379798863
4,KL001,1,886.0,3,620.0,0,0.0,0,0.0,-595.2354428475714
5,KL001,1,1767.0,2,100.0,0,0.0,0,0.0,-76.79476606346269
6,KL001,1,864.0,3,140.0,0,0.0,0,0.0,-115.0016667573001
7,KL001,1,1247.0,1,23.0,0,0.0,0,0.0,1.3319805451064788
8,KL001,1,1048.0,3,170.0,0,0.0,0,0.0,-145.21967569841647
9,KL001,1,1000.0,0,0.0,0,0.0,0,0.0,24.639778285245082
10,KL001,1,1850.0,0,0.0,0,0.0,0,0.0,23.398852762527113
11,KL001,1,797.0,0,0.0,0,0.0,0,0.0,24.999558836732074
12,KL001,1,2204.0,2,114.0,0,0.0,0,0.0,-91.17142161392017
13,KL001,1,694.0,3,90.0,0,0.0,0,0.0,-65.00534179440427
14,KL001,1,1065.0,1,56.0,0,0.0,0,0.0,-31.452650330460422
15,KL001,1,710.0,2,113.0,0,0.0,0,0.0,-88.00160379400894
16,KL001,1,765.0,2,139.0,0,0.0,0,0.0,-114.00115015716318
17,KL001,1,1223.0,1,41.0,0,0.0,0,0.0,-16.90759855571079
18,KL001,1,705.0,1,62.0,0,0.0,0,0.0,-37.005623910230575
19,KL001,1,632.0,1,57.0,0,0.0,0,0.0,-32.00532460238297
