episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL001,1,2779.0,0,0.0,0,0.0,0,0.0,37.11626038171295
1,KL001,1,1935.0,1,26.0,1,2.0,0,0.0,11.62652488366533
2,KL001,1,855.0,0,0.0,0,0.0,0,0.0,37.399040442546486
3,KL001,1,814.0,0,0.0,0,0.0,0,0.0,37.39685364978416
4,KL001,1,1058.0,1,41.0,0,0.0,0,0.0,-1.3879053141923592
5,KL001,1,1799.0,0,0.0,0,0.0,0,0.0,37.22522371784892
6,KL001,1,894.0,0,0.0,0,0.0,0,0.0,37.40594805773289
7,KL001,1,1247.0,0,0.0,0,0.0,0,0.0,37.34721136778054
8,KL001,1,983.0,1,52.0,0,0.0,0,0.0,-11.781583562421993
9,KL001,1,1000.0,0,0.0,0,0.0,0,0.0,37.38004474600015
10,KL001,1,1829.0,0,0.0,0,0.0,0,0.0,37.25626157052676
11,KL001,1,797.0,0,0.0,0,0.0,0,0.0,37.4171637954973
12,KL001,1,2227.0,0,0.0,0,0.0,0,0.0,37.19276805525596
13,KL001,1,1068.0,0,0.0,0,0.0,0,0.0,37.348785987733066
14,KL001,1,1072.0,0,0.0,0,0.0,0,0.0,37.36645112550917
15,KL001,1,746.0,0,0.0,0,0.0,0,0.0,37.404255959418876
16,KL001,1,827.0,1,30.0,0,0.0,0,0.0,9.017001178794771
17,KL001,1,1808.0,0,0.0,0,0.0,0,0.0,37.244041976704004
18,KL001,1,2017.0,1,28.0,0,0.0,0,0.0,10.732891521608177
19,KL001,1,647.0,0,0.0,0,0.0,0,0.0,37.41029815434272
