episode_index,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,1,965.0,2,147.0,0,0.0,0,0.0,-101.64463943538323
1,1,990.0,0,0.0,0,0.0,0,0.0,37.371862243134274
2,1,1070.0,0,0.0,0,0.0,0,0.0,37.36825268370243
3,1,1232.0,0,0.0,0,0.0,0,0.0,37.3608614191938
4,1,1445.0,0,0.0,0,0.0,0,0.0,37.35155311917625
5,1,1509.0,0,0.0,0,0.0,0,0.0,37.22320978700384
6,1,1545.0,3,308.0,0,0.0,0,0.0,-254.0425790306287
7,1,2020.0,1,144.0,0,0.0,0,0.0,-98.90423411422682
8,1,2106.0,1,84.0,0,0.0,0,0.0,-42.19533008268618
9,1,2311.0,1,67.0,0,0.0,0,0.0,-26.130879406273614
10,1,1056.0,1,38.0,0,0.0,0,0.0,1.4387967356267595
11,1,1058.0,1,114.0,0,0.0,0,0.0,-70.44081917139944
12,1,1070.0,3,177.0,0,0.0,0,0.0,-130.02186208672288
13,1,1073.0,3,266.0,0,0.0,0,0.0,-214.18754449566944
14,1,1302.0,1,53.0,0,0.0,0,0.0,-12.763542156400916
15,1,1376.0,0,0.0,0,0.0,0,0.0,37.285216182008746
16,1,1387.0,0,0.0,0,0.0,0,0.0,37.35408704130471
17,1,1397.0,1,472.0,0,0.0,0,0.0,-409.01532798439666
18,1,1494.0,1,472.0,0,0.0,0,0.0,-409.0183453090563
19,1,1892.0,1,66.0,0,0.0,0,0.0,-25.070771757074652
