train/n_updates,time/total_timesteps,train/actor_loss,time/episodes,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,time/time_elapsed,time/fps
792,12000,0.556864308193326,40,2.5739133059978485,0.7894390374422073,-0.7959918901324272,0.0003,57,206
5592,24000,27.247619152069092,80,14.591875314712524,0.20122583024203777,-3.7337319254875183,0.0003,189,126
10392,36000,60.318116664886475,120,27.01213574409485,0.061128766275942326,-2.900031864643097,0.0003,334,107
15192,48000,97.04857730865479,160,56.18144750595093,0.04250722378492355,0.15865178126841784,0.0003,485,98
19992,60000,139.25025939941406,200,72.2655611038208,0.042207394260913134,-0.607661503367126,0.0003,606,98
24792,72000,182.25376319885254,240,123.81311798095703,0.04571401933208108,2.1329763680696487,0.0003,706,101
29592,84000,224.90725898742676,280,121.48231887817383,0.0612205364741385,-0.3727038223296404,0.0003,812,103
34392,96000,260.1214256286621,320,115.39502048492432,0.06107641709968448,-0.6133656287565827,0.0003,958,100
39192,108000,294.2513999938965,360,146.89389610290527,0.06911527551710606,-0.44748207181692123,0.0003,1099,98
43992,120000,321.17618560791016,400,120.79117107391357,0.06602087710052729,-0.029847336933016777,0.0003,1264,94
48792,132000,346.6979637145996,440,112.60948371887207,0.06428784783929586,-0.7457311442121863,0.0003,1444,91
53592,144000,365.82166290283203,480,198.087797164917,0.07527410052716732,0.46600217651575804,0.0003,1604,89
58392,156000,383.4117431640625,520,188.5554027557373,0.07546891458332539,0.8109817486256361,0.0003,1732,90
63192,168000,395.4841842651367,560,188.15680408477783,0.0778800006955862,-0.1898354054428637,0.0003,1878,89
67992,180000,405.4953269958496,600,91.99867725372314,0.07797711249440908,0.2713225483894348,0.0003,2012,89
72792,192000,411.56382751464844,640,72.49710988998413,0.08121316693723202,0.3742507863789797,0.0003,2235,85
77592,204000,416.60221099853516,680,150.79066944122314,0.09696346521377563,1.235011924058199,0.0003,2460,82
82392,216000,409.4996452331543,720,97.48014068603516,0.11580965761095285,0.20458306930959225,0.0003,2700,79
87192,228000,397.9462547302246,760,79.08345079421997,0.13593781925737858,0.4619542136788368,0.0003,2907,78
91992,240000,385.3717727661133,800,151.3898639678955,0.15187503956258297,-0.4330733958631754,0.0003,3088,77
96792,252000,362.8557319641113,840,142.7870330810547,0.15437967143952847,-0.091896484605968,0.0003,3277,76
101592,264000,340.14387130737305,880,100.97464084625244,0.14440444484353065,-0.07421290641650558,0.0003,3475,75
