episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL001,1,898.0,0,0.0,0,0.0,0,0.0,37.357778317849544
0,KL005,1,904.0,0,0.0,1,345.0,0,0.0,-135.10664933062594
0,KL002,1,1240.0,0,0.0,0,0.0,2,562.0,-38.16682183336541
0,KL008,1,1343.0,1,5.0,1,21.0,0,0.0,22.068782453533018
0,KL003,1,1914.0,1,70.0,0,0.0,4,94.0,-41.59848514150329
0,KL004,1,1953.0,1,5.0,0,0.0,1,506.0,-35.48489548245732
0,KL006,0,3000.0,5,440.0,0,0.0,0,0.0,-416.5236090700669
0,KL007,0,3000.0,6,449.0,0,0.0,0,0.0,-425.0225565065451
0,KL009,0,3000.0,1,70.0,0,0.0,0,0.0,-66.69935968630918
0,KL0010,0,3000.0,1,9.0,1,85.0,0,0.0,-51.4929277951985
1,KL006,1,693.0,0,0.0,0,0.0,0,0.0,37.39620107742349
1,KL004,1,831.0,0,0.0,0,0.0,0,0.0,37.39973285672824
1,KL001,1,1084.0,0,0.0,1,139.0,0,0.0,-32.1399139024485
1,KL005,1,1108.0,0,0.0,0,0.0,1,219.0,7.936330790146236
1,KL002,1,1179.0,1,61.0,2,222.0,0,0.0,-131.38171050814566
1,KL003,1,1223.0,0,0.0,1,229.0,0,0.0,-77.16176327501381
1,KL009,1,1323.0,0,0.0,2,422.0,0,0.0,-173.70687904642415
1,KL008,1,1441.0,0,0.0,1,670.0,0,0.0,-297.6765286364043
1,KL007,0,3000.0,0,0.0,2,541.0,0,0.0,-270.8945405853325
1,KL0010,0,3000.0,1,61.0,1,121.0,0,0.0,-118.55027748295272
2,KL003,1,852.0,1,72.0,1,14.0,0,0.0,-37.69735713142098
2,KL006,1,864.0,0,0.0,0,0.0,0,0.0,37.357650395918654
2,KL0010,1,1015.0,1,38.0,0,0.0,0,0.0,1.435515183767052
2,KL009,1,1172.0,2,98.0,0,0.0,0,0.0,-55.34218043824907
2,KL005,1,1365.0,1,72.0,1,68.0,0,0.0,-64.7738526558139
2,KL004,1,1381.0,1,66.0,0,0.0,0,0.0,-25.147416298450068
2,KL008,1,1459.0,0,0.0,1,36.0,0,0.0,19.25928071012521
2,KL007,1,1570.0,1,60.0,0,0.0,0,0.0,-19.472216085556546
2,KL002,1,2239.0,0,0.0,2,277.0,0,0.0,-101.32403695342289
2,KL001,0,3000.0,1,66.0,1,3.0,0,0.0,-64.30075089353319
3,KL005,1,850.0,0,0.0,0,0.0,0,0.0,37.39117274022766
3,KL008,1,933.0,0,0.0,0,0.0,0,0.0,37.3816894817527
3,KL006,1,1400.0,2,68.0,0,0.0,0,0.0,-27.010876163567822
3,KL003,1,1454.0,4,183.0,0,0.0,1,198.0,-162.38996988733757
3,KL001,0,3000.0,2,85.0,0,0.0,0,0.0,-80.75810531440908
3,KL002,0,3000.0,2,63.0,0,0.0,0,0.0,-59.98574667582026
3,KL004,0,3000.0,0,0.0,0,0.0,8,393.0,-53.16107385059512
3,KL007,0,3000.0,2,53.0,0,0.0,0,0.0,-50.5342302452279
3,KL009,0,3000.0,0,0.0,2,90.0,1,63.0,-53.8835496484674
3,KL0010,0,3000.0,0,0.0,1,43.0,3,469.0,-84.86517631019547
4,KL005,1,807.0,0,0.0,0,0.0,0,0.0,37.37310298900044
4,KL007,1,1163.0,0,0.0,1,53.0,0,0.0,10.82154396682181
4,KL0010,1,2234.0,1,142.0,0,0.0,1,1153.0,-251.94752691222612
4,KL003,1,2550.0,0,0.0,1,23.0,0,0.0,25.58267179571734
4,KL002,1,2910.0,0,0.0,1,24.0,0,0.0,25.031878919455952
4,KL006,1,2975.0,2,89.0,0,0.0,1,87.0,-58.7934480430442
4,KL001,0,3000.0,1,142.0,0,0.0,0,0.0,-134.68155453967634
4,KL004,0,3000.0,1,13.0,0,0.0,1,23.0,-15.765358142630536
4,KL008,0,3000.0,0,0.0,0,0.0,1,148.0,-20.290870139357157
4,KL009,0,3000.0,1,76.0,1,334.0,3,151.0,-259.5254184788782
