time/time_elapsed,train/actor_loss,time/episodes,train/ent_coef,train/ent_coef_loss,train/learning_rate,time/total_timesteps,train/n_updates,time/fps,train/critic_loss
200,148.22982788085938,40,0.16079556196928024,0.16230532713234425,0.0003,403520,153396,59,77.49051189422607
386,105.4540901184082,80,0.09862402267754078,0.11484240554273129,0.0003,412960,157172,55,68.56389617919922
595,80.81010627746582,120,0.08293788507580757,-0.3675687350332737,0.0003,423410,161352,53,41.420382499694824
801,70.26272773742676,160,0.06968580186367035,-0.22158063389360905,0.0003,433340,165324,52,31.372020721435547
992,63.738823890686035,200,0.06384055688977242,-0.6185286454856396,0.0003,443420,169356,52,35.91173028945923
1165,58.75926971435547,240,0.06455654092133045,0.2348613739013672,0.0003,451900,172748,51,33.91212272644043
1347,53.78478240966797,280,0.06529690511524677,0.23820487782359123,0.0003,460220,176076,50,53.533480644226074
1518,44.4153413772583,320,0.0588934076949954,-0.07625773921608925,0.0003,468260,179292,50,37.07010269165039
1709,41.13552284240723,360,0.055060284212231636,0.2976287677884102,0.0003,476110,182432,49,45.57031965255737
1887,39.12228584289551,400,0.049153776839375496,-0.046796999871730804,0.0003,484040,185604,49,36.80076885223389
