train/n_updates,train/learning_rate,train/ent_coef_loss,time/fps,time/episodes,time/total_timesteps,train/ent_coef,train/actor_loss,time/time_elapsed,train/critic_loss
6,0.0003,-0.004509786609560251,144,40,5080,0.9986509382724762,-1.3725446462631226,35,30.490188598632812
550,0.0003,-0.5510154068470001,124,80,10520,0.8482977449893951,1.5965426564216614,84,14.471007823944092
1142,0.0003,-1.1225587725639343,106,120,16440,0.711108386516571,5.420932292938232,153,20.591938972473145
1700,0.0003,-1.6465235948562622,109,160,22020,0.6031670868396759,11.458912372589111,201,23.713364601135254
2308,0.0003,-2.085964798927307,112,200,28100,0.5052052438259125,13.279256343841553,250,29.56194496154785
3002,0.0003,-2.45720374584198,111,240,35040,0.41624176502227783,21.550442695617676,315,31.991238594055176
3862,0.0003,-2.576362371444702,113,280,43640,0.3315029442310333,28.97036838531494,384,35.9502067565918
4890,0.0003,-2.203428626060486,108,320,53920,0.2549818605184555,38.58889198303223,496,56.573787689208984
5774,0.0003,-2.9453179836273193,112,360,62760,0.20330136269330978,45.93379211425781,558,55.325931549072266
6712,0.0003,-2.940941572189331,114,400,72140,0.16109291464090347,57.04690933227539,628,78.46685791015625
7326,0.0003,-2.7419934272766113,117,440,78280,0.13898364454507828,61.77789115905762,668,63.78915214538574
8128,0.0003,-2.6025986671447754,119,480,86300,0.11520447209477425,71.41434097290039,719,90.51123046875
9000,0.0003,-2.3174039125442505,124,520,95020,0.09539183229207993,76.19711685180664,761,89.4072036743164
9564,0.0003,-1.3708444833755493,125,560,100660,0.08533066883683205,79.34120559692383,800,139.27110290527344
10094,0.0003,-0.9713692665100098,126,600,105960,0.07886753976345062,87.63252639770508,836,107.00566864013672
10652,0.0003,-0.1519210860133171,127,640,111540,0.07387609407305717,86.74669647216797,876,124.87303161621094
