episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL009,1,710.0,1,155.0,2,113.0,0,0.0,-267.05647670658976
0,KL0010,1,1000.0,0,0.0,0,0.0,0,0.0,0.8513404817150524
0,KL001,0,3000.0,1,56.0,1,63.0,1,1861.0,-1986.0575870324246
0,KL002,0,3000.0,1,56.0,2,857.0,1,1318.0,-2237.2460715284087
0,KL003,0,3000.0,1,155.0,3,606.0,1,1308.0,-2074.288533143121
0,KL004,0,3000.0,0,0.0,1,420.0,1,2097.0,-2521.969257337719
0,KL005,0,3000.0,0,0.0,2,281.0,1,1643.0,-1930.4677903943566
0,KL006,0,3000.0,0,0.0,4,634.0,1,1097.0,-1736.0294958729664
0,KL007,0,3000.0,0,0.0,2,628.0,1,1043.0,-1675.7657344615134
0,KL008,0,3000.0,0,0.0,2,220.0,1,2214.0,-2439.5959978066103
