time/time_elapsed,time/total_timesteps,time/fps,time/episodes,train/n_updates,train/ent_coef_loss,train/actor_loss,train/learning_rate,train/critic_loss,train/ent_coef
43,394520,69,1400,,,,,,
227,406520,66,1440,154596,-0.3850243389606476,156.65734100341797,0.0003,78.88455581665039,0.13938645645976067
439,418520,61,1480,159396,0.04886062443256378,128.9808406829834,0.0003,57.073564529418945,0.08229186199605465
590,428110,61,1520,163232,-0.012852367013692856,105.06342887878418,0.0003,58.85927200317383,0.07585902698338032
745,438290,62,1560,167304,-0.06398667953908443,94.32108306884766,0.0003,61.73155975341797,0.08160869032144547
904,447830,62,1600,171120,-0.36200396344065666,81.99452590942383,0.0003,55.165534019470215,0.07041557878255844
1069,456930,61,1640,174760,0.031903550028800964,71.65010452270508,0.0003,43.73938751220703,0.056435915641486645
1258,466740,59,1680,178684,0.09597833082079887,72.47316360473633,0.0003,39.762014389038086,0.06612887233495712
1398,474340,59,1720,181724,-0.17610758543014526,69.81518936157227,0.0003,87.30419063568115,0.06398667022585869
1594,484710,58,1760,185872,0.6810215562582016,70.40615463256836,0.0003,58.616943359375,0.060417831875383854
1808,495010,57,1800,189992,0.15997271984815598,75.3488826751709,0.0003,64.74133682250977,0.06700978800654411
1983,503780,56,1840,193500,-0.1500978320837021,77.20125579833984,0.0003,73.65560913085938,0.07322425954043865
2164,512010,55,1880,196792,-0.3847082108259201,79.4811954498291,0.0003,81.53889846801758,0.06787999533116817
2337,520450,55,1920,200168,0.04830155335366726,79.74410629272461,0.0003,70.06035041809082,0.06511076726019382
2479,526470,54,1960,202576,-0.6392863485962152,78.32219505310059,0.0003,72.72994899749756,0.06593391299247742
2623,532350,53,2000,204928,-0.18264631181955338,76.61836051940918,0.0003,90.66177368164062,0.06193563900887966
2833,543050,53,2040,209208,0.41088805720210075,76.09315490722656,0.0003,64.31471061706543,0.06110878009349108
2966,552680,54,2080,213060,0.017308153212070465,72.1588945388794,0.0003,79.89600372314453,0.06125508714467287
3124,560100,53,2120,216028,0.40368473529815674,64.29544448852539,0.0003,69.52448081970215,0.05696475598961115
3248,566400,53,2160,218548,0.3703616075217724,66.53857803344727,0.0003,56.485533714294434,0.05362593661993742
3459,576690,53,2200,222664,0.08926939964294434,56.580830574035645,0.0003,45.413689613342285,0.056718396954238415
