time/total_timesteps,train/ent_coef,time/time_elapsed,train/critic_loss,train/n_updates,time/episodes,train/ent_coef_loss,time/fps,train/actor_loss,train/learning_rate
12000,0.7894746214151382,60,2.6627701222896576,792,40,-0.7953711301088333,199,0.5731276534497738,0.0003
24000,0.20310016721487045,163,9.758750200271606,5592,80,-3.735420674085617,147,27.346740245819092,0.0003
36000,0.06234809895977378,267,18.152584671974182,10392,120,-1.4673165008425713,134,61.97986125946045,0.0003
48000,0.046016739681363106,366,32.238067388534546,15192,160,0.24134420230984688,131,102.61495304107666,0.0003
60000,0.05873687518760562,496,76.60813236236572,19992,200,-0.3527678605169058,120,153.91530799865723,0.0003
72000,0.07462142873555422,606,75.60059118270874,24792,240,-0.13608607463538647,118,199.12196731567383,0.0003
84000,0.07439130172133446,714,103.543616771698,29592,280,0.13739850372076035,117,232.12527084350586,0.0003
96000,0.07124108541756868,830,83.85226392745972,34392,320,0.07222133036702871,115,273.825740814209,0.0003
108000,0.06735527329146862,980,79.57650327682495,39192,360,-0.009961365722119808,110,303.97998809814453,0.0003
120000,0.05850307643413544,1111,86.09522247314453,43992,400,0.06886710319668055,107,330.7867202758789,0.0003
132000,0.06007962767034769,1213,104.87675189971924,48792,440,0.29510987363755703,108,357.2691192626953,0.0003
144000,0.06418097019195557,1357,105.02982425689697,53592,480,-0.10280150733888149,106,370.32776641845703,0.0003
156000,0.06330724060535431,1491,93.90852737426758,58392,520,-0.2742624916136265,104,385.88235092163086,0.0003
168000,0.0770017672330141,1608,83.45180034637451,63192,560,-0.3360811769962311,104,391.390438079834,0.0003
180000,0.06993449106812477,1732,72.60901927947998,67992,600,0.23345956951379776,103,398.8465270996094,0.0003
192000,0.07126853708177805,1879,78.0335283279419,72792,640,-0.42862726002931595,102,398.81705474853516,0.0003
204000,0.08670095540583134,1993,200.87417554855347,77592,680,-0.3675252888351679,102,400.2913398742676,0.0003
216000,0.09942080825567245,2109,176.80816650390625,82392,720,0.0993498545140028,102,390.5870666503906,0.0003
228000,0.1120624728500843,2214,198.96989488601685,87192,760,0.12445700727403164,102,384.1627883911133,0.0003
240000,0.12295867409557104,2349,149.3135290145874,91992,800,-0.022396430373191833,102,369.6647186279297,0.0003
252000,0.11899390909820795,2478,122.10763645172119,96792,840,0.06969022285193205,101,356.7477264404297,0.0003
264000,0.1315606702119112,2599,127.94448757171631,101592,880,-0.0029719285666942596,101,340.4955024719238,0.0003
276000,0.13024896569550037,2702,255.61138153076172,106392,920,-0.12929246574640274,102,321.0092239379883,0.0003
288000,0.14042969420552254,2798,98.13019180297852,111192,960,0.46863619703799486,102,305.35176849365234,0.0003
300000,0.14408390782773495,2881,154.1646966934204,115992,1000,0.26573928259313107,104,283.08374786376953,0.0003
310200,0.15570486895740032,2951,154.7595453262329,120072,1040,-0.013387184590101242,105,261.10995864868164,0.0003
320760,0.14884934946894646,3053,157.64013671875,124296,1080,-0.08638382609933615,105,243.3102264404297,0.0003
331860,0.14365832321345806,3155,126.30990314483643,128736,1120,0.15688111074268818,105,222.92547607421875,0.0003
341740,0.13420739956200123,3222,124.97496700286865,132688,1160,-0.10121280886232853,106,217.39960861206055,0.0003
352080,0.11572417430579662,3292,116.37416553497314,136824,1200,-0.07954719010740519,106,208.7528305053711,0.0003
363200,0.12228980753570795,3380,108.4102258682251,141272,1240,-0.0941831124946475,107,201.77973556518555,0.0003
370540,0.1212522154673934,3440,107.63527584075928,144208,1280,0.3521373886615038,107,188.65348052978516,0.0003
379300,0.13019667193293571,3507,101.23434638977051,147712,1320,-0.0002756803296506405,108,180.92416381835938,0.0003
385880,0.14019005559384823,3554,96.64313983917236,150344,1360,-0.42024587630294263,108,172.5398406982422,0.0003
