episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL009,1,815.0,0,0.0,0,0.0,0,0.0,37.379969680877174
0,KL001,1,820.0,0,0.0,0,0.0,0,0.0,37.38707232329082
0,KL002,1,889.0,0,0.0,0,0.0,0,0.0,37.350813101198014
0,KL008,1,967.0,0,0.0,0,0.0,0,0.0,37.37785861291033
0,KL0010,1,1106.0,1,56.0,0,0.0,0,0.0,-15.593178033201447
0,KL004,1,1125.0,0,0.0,0,0.0,0,0.0,37.32593438131296
0,KL007,1,1140.0,0,0.0,0,0.0,0,0.0,37.339019489256344
0,KL006,1,1264.0,0,0.0,0,0.0,0,0.0,37.3344149527754
0,KL003,1,1409.0,1,45.0,0,0.0,0,0.0,-5.24835728217532
0,KL005,1,2198.0,2,101.0,0,0.0,0,0.0,-58.34737375625379
1,KL002,1,762.0,2,126.0,2,125.0,0,0.0,-144.2693445392498
1,KL006,1,776.0,0,0.0,0,0.0,0,0.0,37.399881930417884
1,KL004,1,835.0,1,178.0,0,0.0,0,0.0,-130.94875869904905
1,KL005,1,949.0,0,0.0,0,0.0,0,0.0,37.38549872082482
1,KL009,1,968.0,1,56.0,0,0.0,0,0.0,-15.62371022850732
1,KL008,1,1090.0,2,80.0,0,0.0,0,0.0,-38.27368694949319
1,KL001,1,1148.0,1,178.0,0,0.0,0,0.0,-130.97242901715083
1,KL007,1,1323.0,2,67.0,0,0.0,0,0.0,-26.04690268595492
1,KL003,1,1522.0,3,181.0,2,122.0,0,0.0,-194.90890262484206
1,KL0010,1,1755.0,2,98.0,0,0.0,0,0.0,-55.40659426253703
2,KL006,1,684.0,0,0.0,0,0.0,0,0.0,37.382006529159604
2,KL003,1,712.0,0,0.0,0,0.0,0,0.0,37.39948645622314
2,KL007,1,777.0,0,0.0,0,0.0,0,0.0,37.392628755475855
2,KL008,1,823.0,0,0.0,0,0.0,0,0.0,37.36942080051382
2,KL009,1,860.0,1,24.0,0,0.0,0,0.0,14.683763198393706
2,KL005,1,861.0,2,81.0,0,0.0,0,0.0,-39.24494806189495
2,KL004,1,897.0,0,0.0,0,0.0,0,0.0,37.340543092472
2,KL0010,1,921.0,1,57.0,0,0.0,0,0.0,-16.520259976759995
2,KL001,1,1092.0,0,0.0,0,0.0,0,0.0,37.381685872198474
2,KL002,1,1841.0,0,0.0,0,0.0,0,0.0,37.21162281326534
3,KL002,1,794.0,0,0.0,0,0.0,0,0.0,37.40039069562749
3,KL006,1,823.0,0,0.0,0,0.0,0,0.0,37.39794932072978
3,KL005,1,901.0,0,0.0,0,0.0,0,0.0,37.375560936324604
3,KL003,1,931.0,0,0.0,0,0.0,0,0.0,37.35476455073886
3,KL008,1,970.0,1,102.0,0,0.0,0,0.0,-59.0800128187202
3,KL007,1,1079.0,2,148.0,0,0.0,0,0.0,-102.60429507223657
3,KL001,1,1194.0,1,46.0,1,92.0,0,0.0,-52.157268614743934
3,KL004,1,1254.0,0,0.0,0,0.0,0,0.0,37.350458297352105
3,KL009,0,3000.0,0,0.0,1,69.0,0,0.0,-34.969686926553216
3,KL0010,0,3000.0,0,0.0,0,0.0,0,0.0,-0.3609252682116708
4,KL003,1,703.0,0,0.0,0,0.0,0,0.0,37.40033634846659
4,KL007,1,738.0,0,0.0,0,0.0,0,0.0,37.39116069428261
4,KL005,1,801.0,0,0.0,0,0.0,0,0.0,37.39423704235276
4,KL009,1,841.0,0,0.0,0,0.0,0,0.0,37.370331274402055
4,KL0010,1,1119.0,0,0.0,1,5.0,0,0.0,34.849594426076166
4,KL008,1,1148.0,0,0.0,0,0.0,0,0.0,37.31754441805744
4,KL002,1,1170.0,0,0.0,0,0.0,0,0.0,37.32571647339661
4,KL006,1,1347.0,0,0.0,0,0.0,0,0.0,37.325192610698764
4,KL001,1,1431.0,0,0.0,1,196.0,0,0.0,-60.697351415407766
4,KL004,1,1931.0,0,0.0,1,159.0,0,0.0,-42.29370186045347
