time/total_timesteps,time/episodes,train/n_updates,time/time_elapsed,train/ent_coef,train/learning_rate,time/fps,train/critic_loss,train/actor_loss,train/ent_coef_loss
393050,1400,153208,28,0.1408580057322979,0.0003,52,91.1947135925293,162.13025283813477,-0.5031663179397583
399640,1440,155844,121,0.1519683636724949,0.0003,66,84.87889862060547,143.97176361083984,-0.6730735898017883
406330,1480,158520,208,0.1456763781607151,0.0003,70,96.5329418182373,135.67388916015625,0.05883210711181164
414210,1520,161672,325,0.1461128033697605,0.0003,69,88.58961486816406,124.57104301452637,-0.006175953894853592
420810,1560,164312,439,0.1276044361293316,0.0003,66,76.66199493408203,117.80748748779297,-0.3417791686952114
428070,1600,167216,562,0.12055557779967785,0.0003,64,73.91995048522949,103.05016326904297,1.1931560933589935
435450,1640,170168,678,0.11024530418217182,0.0003,64,95.9183235168457,102.06554412841797,-0.046919966116547585
444850,1680,173928,800,0.10142906196415424,0.0003,66,93.95901489257812,105.61518478393555,-0.5259347259998322
450490,1720,176184,866,0.10244555026292801,0.0003,68,65.9586992263794,98.85910987854004,-0.2854953557252884
459230,1760,179680,986,0.10084747523069382,0.0003,68,78.31435012817383,87.49129104614258,-0.08840729761868715
465560,1800,182212,1074,0.09304842539131641,0.0003,68,70.58171081542969,87.16224098205566,-0.6832034178078175
473770,1840,185496,1181,0.11112045869231224,0.0003,69,85.32265663146973,83.31905174255371,-0.6564600840210915
480040,1880,188004,1330,0.11012875474989414,0.0003,66,73.7678632736206,78.29158020019531,-0.6573011726140976
485960,1920,190372,1462,0.11379904672503471,0.0003,64,74.31227684020996,64.72325038909912,0.16819068789482117
490860,1960,192332,1577,0.10373923555016518,0.0003,62,56.73014259338379,64.48085594177246,0.7205571606755257
498070,2000,195216,1746,0.09855064749717712,0.0003,61,58.22616195678711,67.78721618652344,0.1769996527582407
504140,2040,197644,1893,0.09182038344442844,0.0003,59,48.82202434539795,63.59803485870361,-0.2708033509552479
511510,2080,200592,2029,0.08918457292020321,0.0003,59,61.57091236114502,58.08340835571289,0.36322399973869324
517720,2120,203076,2144,0.07823586650192738,0.0003,58,44.994300842285156,56.70451068878174,-0.5089068040251732
525200,2160,206068,2282,0.07066935859620571,0.0003,58,44.96629524230957,51.920796394348145,0.7827901244163513
532690,2200,209064,2425,0.0707435067743063,0.0003,58,38.71022033691406,49.61897087097168,-0.3869878426194191
538990,2240,211584,2568,0.06167284119874239,0.0003,57,40.09587574005127,44.99587154388428,-0.765853762626648
546790,2280,214704,2678,0.057390677742660046,0.0003,57,43.77828311920166,46.17840576171875,2.8836042881011963
552040,2320,216804,2789,0.052933028899133205,0.0003,57,39.43190574645996,45.47225284576416,0.6040817126631737
561760,2360,220692,2990,0.046435149386525154,0.0003,56,35.35074520111084,43.53951072692871,0.6029031872749329
568230,2400,223280,3104,0.04988139495253563,0.0003,56,28.686817169189453,43.2554292678833,-0.7112839929759502
575740,2440,226284,3248,0.04889909643679857,0.0003,56,29.921474933624268,42.5220422744751,-0.9335829764604568
582950,2480,229168,3407,0.051899950951337814,0.0003,56,33.18204975128174,44.02014636993408,-0.3952474035322666
591080,2520,232420,3542,0.05641069449484348,0.0003,56,26.265281200408936,42.403005599975586,-0.4579198323190212
