train/learning_rate,train/ent_coef,time/episodes,time/time_elapsed,time/fps,train/ent_coef_loss,train/n_updates,train/actor_loss,train/critic_loss,time/total_timesteps
0.0003,0.7674029171466827,40,56,124,-0.8147316500544548,824,3.084944099187851,19.648427724838257,7080
0.0003,0.42691441625356674,80,133,92,-2.109113335609436,2928,13.830463886260986,33.638869762420654,12340
0.0003,0.1691365260630846,120,277,76,-2.492975950241089,6480,35.668864250183105,71.05387306213379,21220
0.0003,0.09104172792285681,160,366,76,-1.5522494614124298,9176,59.153335094451904,90.23011016845703,27960
0.0003,0.057556253392249346,200,485,75,-0.5911609642207623,12632,80.15007591247559,118.76736164093018,36600
0.0003,0.06046625738963485,240,577,78,0.16381610836833715,16216,102.66090202331543,160.64211082458496,45560
0.0003,0.0759556945413351,280,657,82,-0.1816732743754983,19752,132.49126815795898,181.7269344329834,54400
0.0003,0.08077587652951479,320,784,80,-0.07876448426395655,23168,156.1461124420166,215.64108657836914,62940
0.0003,0.08382190950214863,360,826,82,0.1552725387737155,25392,168.55987930297852,264.81828117370605,68500
0.0003,0.079189314506948,400,876,85,-0.2564430274069309,27864,180.35891723632812,271.7455577850342,74680
