episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL009,1,988.0,1,157.0,0,0.0,0,0.0,-132.71999902956168
0,KL006,1,1085.0,1,157.0,0,0.0,0,0.0,-132.51691268888126
0,KL004,1,1100.0,1,56.0,1,70.0,0,0.0,-101.71898584485686
0,KL0010,1,1115.0,0,0.0,0,0.0,0,0.0,24.52186874715135
0,KL008,1,1148.0,0,0.0,0,0.0,0,0.0,24.236144451812848
0,KL005,1,1540.0,1,56.0,0,0.0,0,0.0,-32.40333195688544
0,KL003,1,1880.0,0,0.0,2,216.0,0,0.0,-192.57905703591302
0,KL007,1,2405.0,0,0.0,1,366.0,0,0.0,-343.7743495068974
0,KL002,1,2980.0,0,0.0,0,0.0,0,0.0,21.07452853565927
0,KL001,0,3000.0,0,0.0,1,274.0,0,0.0,-277.5779011214793
1,KL006,1,750.0,1,37.0,0,0.0,0,0.0,-12.333056679808411
1,KL009,1,821.0,0,0.0,1,197.0,0,0.0,-172.43732382594447
1,KL004,1,870.0,0,0.0,0,0.0,0,0.0,24.645177123695916
1,KL005,1,1148.0,0,0.0,1,119.0,0,0.0,-94.5589240439973
1,KL008,1,1322.0,0,0.0,0,0.0,0,0.0,24.293938245542126
1,KL007,1,1399.0,1,37.0,1,41.0,0,0.0,-54.055511246163306
1,KL001,1,1620.0,0,0.0,0,0.0,0,0.0,23.821835192780235
1,KL0010,1,1935.0,0,0.0,0,0.0,0,0.0,23.397231944919696
1,KL003,1,1946.0,1,28.0,1,61.0,0,0.0,-66.06569224010434
1,KL002,1,2165.0,1,28.0,1,312.0,0,0.0,-317.405998003849
2,KL006,1,695.0,1,44.0,1,114.0,0,0.0,-133.32841414616647
2,KL004,1,702.0,0,0.0,0,0.0,0,0.0,24.63416947543656
2,KL005,1,861.0,1,49.0,0,0.0,0,0.0,-24.454841242840384
2,KL009,1,899.0,4,496.0,0,0.0,0,0.0,-471.43060356449024
2,KL003,1,901.0,1,49.0,0,0.0,0,0.0,-24.38896187635575
2,KL007,1,906.0,0,0.0,0,0.0,0,0.0,24.6808504783748
2,KL0010,1,936.0,4,519.0,0,0.0,0,0.0,-494.3866846669068
2,KL001,1,1245.0,2,107.0,0,0.0,0,0.0,-82.55098412307525
2,KL002,1,1830.0,2,113.0,0,0.0,0,0.0,-89.91390320742664
2,KL008,1,2561.0,1,69.0,0,0.0,0,0.0,-47.20238009061793
