episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL009,1,975.0,1,157.0,0,0.0,0,0.0,-132.68255342592937
0,KL004,1,1045.0,1,51.0,0,0.0,0,0.0,-26.648507447629722
0,KL006,1,1082.0,1,157.0,0,0.0,0,0.0,-132.5171388454824
0,KL0010,1,1083.0,0,0.0,0,0.0,0,0.0,24.6022162920178
0,KL008,1,1135.0,0,0.0,0,0.0,0,0.0,24.274780358294652
0,KL005,1,1522.0,1,51.0,0,0.0,0,0.0,-27.38069037193181
0,KL003,1,1879.0,0,0.0,0,0.0,0,0.0,23.407478556999706
0,KL007,1,2312.0,0,0.0,0,0.0,0,0.0,22.391737857723093
0,KL001,1,2905.0,0,0.0,0,0.0,0,0.0,21.633394520995328
0,KL002,1,2974.0,0,0.0,0,0.0,0,0.0,21.079398009886724
1,KL006,1,731.0,1,25.0,0,0.0,0,0.0,-0.2859606421588161
1,KL009,1,812.0,0,0.0,1,178.0,0,0.0,-153.38821860786612
1,KL004,1,890.0,0,0.0,0,0.0,0,0.0,24.58027308490453
1,KL005,1,1080.0,0,0.0,0,0.0,0,0.0,24.568204008078744
1,KL008,1,1300.0,0,0.0,0,0.0,0,0.0,24.394875709178624
1,KL003,1,1368.0,1,59.0,0,0.0,0,0.0,-35.10096568609122
1,KL007,1,1461.0,2,84.0,0,0.0,0,0.0,-60.12926081647398
1,KL001,1,1613.0,0,0.0,0,0.0,0,0.0,23.758686835276997
1,KL0010,1,1952.0,1,50.0,0,0.0,0,0.0,-26.658377696265134
1,KL002,1,2059.0,1,50.0,0,0.0,0,0.0,-27.30897412836641
2,KL006,1,691.0,1,54.0,0,0.0,0,0.0,-29.31270198503088
2,KL004,1,702.0,0,0.0,0,0.0,0,0.0,24.64041948250028
2,KL005,1,852.0,1,48.0,0,0.0,0,0.0,-23.431037996548255
2,KL007,1,873.0,0,0.0,0,0.0,0,0.0,24.7950025308852
2,KL009,1,890.0,3,574.0,0,0.0,0,0.0,-549.4033369880739
2,KL003,1,901.0,1,48.0,0,0.0,0,0.0,-23.39652180439376
2,KL0010,1,934.0,3,605.0,0,0.0,0,0.0,-580.4132316780604
2,KL001,1,1250.0,2,101.0,0,0.0,0,0.0,-76.58078381562478
2,KL002,1,1828.0,2,135.0,0,0.0,0,0.0,-111.91171006408229
2,KL008,1,2761.0,1,81.0,0,0.0,0,0.0,-59.51924953809558
