episode,agent,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL009,1,910.0,2,498.0,0,0.0,0,0.0,-473.49488971954304
0,KL004,1,1017.0,1,56.0,0,0.0,0,0.0,-31.713701855751488
0,KL008,1,1086.0,1,42.0,0,0.0,0,0.0,-17.50189306960333
0,KL006,1,1109.0,1,419.0,0,0.0,0,0.0,-394.48549562208035
0,KL0010,1,1129.0,0,0.0,0,0.0,0,0.0,24.498377135024963
0,KL003,1,1229.0,1,659.0,0,0.0,0,0.0,-634.5625328151625
0,KL005,1,1477.0,2,109.0,0,0.0,0,0.0,-85.17299607734371
0,KL007,1,2489.0,3,1165.0,0,0.0,0,0.0,-1142.756049598552
0,KL001,0,3000.0,5,1260.0,0,0.0,0,0.0,-1263.5991167233144
0,KL002,0,3000.0,2,738.0,0,0.0,0,0.0,-742.2763390536328
